,count,condition,treatment
CTRL_ctrl_1,35.79615022,CTRL,CTRL
CTRL_ctrl_2,24.7709947,CTRL,CTRL
CTRL_ctrl_3,15.82137304,CTRL,CTRL
CTRL_ctrl_4,25.03022865,CTRL,CTRL
CTRL_chx_1,9.146538404,CTRL,CHX
CTRL_chx_2,9.319651989,CTRL,CHX
CTRL_chx_3,8.063970457,CTRL,CHX
CTRL_chx_4,4.093379045,CTRL,CHX
DOX_ctrl_1,5.718597547,DOX,CTRL
DOX_ctrl_2,1.716246525,DOX,CTRL
DOX_ctrl_3,2.470847691,DOX,CTRL
DOX_ctrl_4,0.5,DOX,CTRL
DOX_chx_1,5.248363624,DOX,CHX
DOX_chx_2,4.171059085,DOX,CHX
DOX_chx_3,5.573141948,DOX,CHX
DOX_chx_4,5.861224266,DOX,CHX
