,count,condition,treatment
CTRL_ctrl_1,544.9163776,CTRL,CTRL
CTRL_ctrl_2,649.9918181,CTRL,CTRL
CTRL_ctrl_3,623.5691702,CTRL,CTRL
CTRL_ctrl_4,608.6452519,CTRL,CTRL
CTRL_chx_1,329.9331132,CTRL,CHX
CTRL_chx_2,416.7875739,CTRL,CHX
CTRL_chx_3,368.2980634,CTRL,CHX
CTRL_chx_4,326.5991483,CTRL,CHX
DOX_ctrl_1,37.03018283,DOX,CTRL
DOX_ctrl_2,69.82605194,DOX,CTRL
DOX_ctrl_3,52.72746382,DOX,CTRL
DOX_ctrl_4,50.45838993,DOX,CTRL
DOX_chx_1,169.541745,DOX,CHX
DOX_chx_2,192.1292842,DOX,CHX
DOX_chx_3,152.6942585,DOX,CHX
DOX_chx_4,152.7587692,DOX,CHX
