Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
AAAS	gene	AAAS	Expert Review Green;UKGTN	Hereditary ataxia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Achalasia-addisonianism-alacrimia syndrome, OMIM:231550;Triple-A syndrome, MONDO:0009279						False	3	100;0;0	1.303	True		ENSG00000094914	ENSG00000094914	HGNC:13666													
ABCB7	gene	ABCB7	Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Hereditary ataxia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Anemia, sideroblastic, with ataxia, OMIM:301310						False	3	100;0;0	1.303	True		ENSG00000131269	ENSG00000131269	HGNC:48													
ABHD12	gene	ABHD12	Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen	Hereditary ataxia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract ;Polyneuropathy, Hearing Loss, Ataxia, Retinitis Pigmentosa and Cataract (PHARC) 						False	3	100;0;0	1.303	True		ENSG00000100997	ENSG00000100997	HGNC:15868													
AFG3L2	gene	AFG3L2	Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Hereditary ataxia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Spinocerebellar ataxia 28, OMIM:610246;Spastic ataxia 5, autosomal recessive, OMIM:614487						False	3	100;0;0	1.303	True	Other - please provide details in the comments	ENSG00000141385	ENSG00000141385	HGNC:315													
AMPD2	gene	AMPD2	Expert Review;Expert Review Green	Hereditary ataxia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Pontocerebellar hypoplasia 9 (#615809);Spastic paraplegia homozygous frameshift reported in single family (Novarino et al, 2014).				PMID: 24482476		False	3	100;0;0	1.303	True		ENSG00000116337	ENSG00000116337	HGNC:469													
ANO10	gene	ANO10	Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Hereditary ataxia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Spinocerebellar ataxia, autosomal recessive 10, 						False	3	100;0;0	1.303	True		ENSG00000160746	ENSG00000160746	HGNC:25519													
AP1S2	gene	AP1S2	Expert Review Green;UKGTN	Hereditary ataxia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Pettigrew syndrome, OMIM:304340						False	3	100;0;0	1.303	True		ENSG00000182287	ENSG00000182287	HGNC:560													
APTX	gene	APTX	Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Hereditary ataxia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Ataxia with Oculomotor Apraxia ;Ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia 						False	3	100;0;0	1.303	True		ENSG00000137074	ENSG00000137074	HGNC:15984													
ARSA	gene	ARSA	Expert Review;Expert Review Green	Hereditary ataxia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Metachromatic leukodystrophy (#250100) 						False	3	100;0;0	1.303	True		ENSG00000100299	ENSG00000100299	HGNC:713													
ATCAY	gene	ATCAY	Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Hereditary ataxia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Ataxia, cerebellar, Cayman type OMIM:601238;Cayman type cerebellar ataxia MONDO:0011025				29449188;14556008;23226316;26343454		False	3	100;0;0	1.303	True		ENSG00000167654	ENSG00000167654	HGNC:779													
ATM	gene	ATM	Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Hereditary ataxia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Ataxia-telangiectasia, OMIM:208900						False	3	100;0;0	1.303	True		ENSG00000149311	ENSG00000149311	HGNC:795													
ATP1A3	gene	ATP1A3	Expert List;Expert Review Green	Hereditary ataxia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Cerebellar ataxia, areflexia, pes cavus, optic atrophy and sensorineural hearing loss (CAPOS, #601338);Alternating hemiplegia of childhood 2 (#614820) and Dystonia 12 (#128235)						False	3	100;0;0	1.303	True		ENSG00000105409	ENSG00000105409	HGNC:801													
CA8	gene	CA8	Expert Review Green;Radboud University Medical Center, Nijmegen	Hereditary ataxia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Cerebellar ataxia and mental retardation with or without quadrupedal locomotion 3 						False	3	100;0;0	1.303	True		ENSG00000178538	ENSG00000178538	HGNC:1382													
CACNA1A	gene	CACNA1A	Eligibility statement prior genetic testing;Expert Review Green;Radboud University Medical Center, Nijmegen;UKGTN	Hereditary ataxia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Episodic ataxia, type 2, OMIM:108500;Migraine, familial hemiplegic, 1, with progressive cerebellar ataxia, OMIM:141500						False	3	100;0;0	1.303	True		ENSG00000141837	ENSG00000141837	HGNC:1388													
CACNA1G	gene	CACNA1G	Expert Review;Expert Review Green	Hereditary ataxia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Spinocerebellar ataxia 42, 61679						False	3	100;0;0	1.303	True	Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype -please provide details in the comments	ENSG00000006283	ENSG00000006283	HGNC:1394													
CACNA2D2	gene	CACNA2D2	Expert Review Green;Other	Hereditary ataxia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	epilepsy;ataxia;developmental delay;cerebellar atrophy				30410802;31402629;24358150;23339110;29997391;14660671;15331424		False	3	100;0;0	1.303	False		ENSG00000007402	ENSG00000007402	HGNC:1400													
CAMTA1	gene	CAMTA1	Expert Review Green;Radboud University Medical Center, Nijmegen	Hereditary ataxia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Cerebellarataxia, nonprogressive, with mental retardation, 614756						False	3	100;0;0	1.303	True		ENSG00000171735	ENSG00000171735	HGNC:18806													
