UniqueCount	AmbigCount
0	14
0	1
21	1709
1	1
0	1
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
6	57
0	23
0	2
0	0
0	9
0	2
4	2
2	395
1	35
0	29
118	79
0	68
5	245
0	0
0	0
1	42
0	4
28	62
0	1
52	2143
3	258
0	281
5	260
0	257
0	214
28	50
1	0
0	74
0	0
0	0
0	0
0	8
0	10
0	5
0	4
0	0
0	1
1	23
8	23
0	5
0	9
0	2
164	548
2	26
0	418
0	227
0	251
2	258
0	335
5	251
0	37
1	255
0	283
25	22
0	65
2	30
0	55
2	54
0	40
4	75
9	8
0	0
0	7
0	0
0	0
0	5
2	5
0	2
0	7
0	5
4	69
0	5
0	0
41	8123
3118	41113
545	62007
48	0
12	5860
0	224
17345	23430
21	5014
0	0
0	4
0	36
0	5
0	9
0	0
464	1975
0	0
0	0
0	54
0	29
0	29
0	15
0	13
0	15
0	13
0	15
0	18
0	17
0	15
0	15
0	21
0	15
0	15
0	15
0	13
0	16
0	15
0	0
0	4
0	1
0	1
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	21
8	12
0	0
3	0
0	12
0	1
0	16
34	6
0	338
0	362
294	993
41	258
5	1216
31	68
0	727
0	1037
15	57
0	1023
0	716
0	429
0	314
1	173
5	382
0	57
0	24
0	443
1	447
1	366
0	91
2	60
0	121
0	262
0	431
0	656
0	747
0	352
0	72
0	413
0	361
0	70
0	27
0	142
0	58
0	326
3	35
4	1
2	1
0	9
0	2
0	9
0	0
0	0
79	0
931	66
10	65
706	323
0	242
0	83
0	2244
2	2241
0	114
5	1975
0	1190
1	1069
0	1031
0	1227
0	1312
0	1806
54	1011
9	22
5	308
26	64
25	118
751	8949
36	3301
276	8117
1	0
42	2715
112	262
853	322
192	102
57	216
123	15
0	8
0	5
0	8
0	0
0	1
0	20
0	20
0	18
0	3
46	3
25	304
41	274
73	250
2	164
0	7
0	3
0	28
0	0
0	5
0	8488
0	8289
0	7857
0	8056
0	186
12	324
27	263
8	59
11	244
425	2435
0	205
0	89
0	97
0	88
2	97
0	88
0	76
0	79
6	0
1	1
7	49
5	60
0	0
0	685
2	623
0	733
0	694
114	542
0	641
22	685
0	135
11	507
2	301
1	193
0	198
2	99
15	55
0	45
0	88
0	54
2	27
6	12
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
17	4222
2	4625
0	4222
2	3890
225	2387
17	2082
1	1358
0	874
2620	5
1	0
2	0
7	0
5	2
0	2
5	0
6	2712
16	2945
0	2734
5	1596
4	1645
4	1435
0	1389
4	364
0	1274
8	1052
1	298
0	401
0	510
0	391
4	436
2	68
0	129
1	217
13	290
89	17
7	0
18	4
0	142
0	100
27	135
0	137
0	13
0	134
3	0
4	30
309	3978
31	4109
70	2913
0	2271
36	71
0	0
0	307
11	466
32	86
353	691
0	350
341	303
0	221
2	21
42	510
5	199
11	69
1	314
21	267
1	1207
0	2001
0	1992
0	1406
0	410
3	1683
0	2047
0	1411
270	1253
18	1036
1	1355
0	1996
0	1440
0	1270
0	1660
0	1782
0	493
0	339
11	256
0	1430
0	358
0	0
0	560
0	474
9	365
0	394
0	783
0	73
21	168
0	796
5	435
0	428
2	673
0	598
0	600
0	45
2	30
0	379
31	0
0	668
0	581
67	435
1	398
0	378
0	204
1	159
0	194
0	225
0	38
0	48
1	14
4	309
710	424
10	146
29	0
0	2567
83	2586
18	469
0	569
11	267
0	163
0	0
25	279
0	253
1	373
0	390
1	274
0	390
0	124
0	117
13	135
5	7
0	10
19	2924
16	2718
165	2717
77	2870
95	278
11	197
0	0
0	4300
44	5484
6	4508
34	2948
7	7581
4	5084
14	6370
0	6301
0	2810
4	3731
1	1248
10	1102
1	912
7	1071
0	1764
61	321
9	716
5	141
1	362
0	1017
0	1087
1	1008
0	1108
1	1015
0	1103
0	1088
0	1088
0	928
0	1085
0	63
0	1085
0	916
0	1087
0	46
0	1016
0	1048
0	1044
0	387
346	2361
6	1345
97	1841
51	291
29	1037
0	15
4	402
378	30
0	16
0	16
0	16
0	4
0	1
0	0
3	0
0	7
1	2
0	6
0	7
0	48
2	251
40	299
0	13
44	246
4	1
4	12
24	2162
0	1601
201	1925
13	270
278	1320
195	935
3	10
0	4
0	8
0	2586
68	2087
0	2475
0	2189
3	2371
0	46
0	322
7	568
27	103
0	103
25	9
341	3087
8	2268
0	929
1000	382
2	11
30	11
0	0
1183	1
70	0
330	1
32	996
0	958
0	1003
0	1013
0	860
3	945
0	996
88	76
1	60
0	971
1	67
0	781
6	88
0	22
0	86
0	1009
10	616
0	70
0	875
2	784
14	24
15	27
3	802
8	153
12	36
0	82
14	146
0	292
0	253
6	189
0	96
2	91
0	2
0	13
13	14
1	11
0	4
0	3
0	5
0	3
0	3
4	3
117	3601
0	3263
0	3007
0	2991
0	2802
0	2793
0	2791
0	2793
0	613
5	0
10	880
26	7163
2	7070
40	2602
32	810
2	0
0	2
0	12
63	2726
0	2348
314	2081
0	787
2	1878
0	2138
0	1866
0	2222
0	2303
0	2141
0	2067
78	141
0	314
0	117
0	34
1	422
0	76
0	141
5	487
8	487
10	303
2	63
0	71
23	70
7	0
11	0
55	832
62	117
8	782
2	0
0	580
1	2
4	2322
1	2233
0	2090
2	1099
7	39
4	504
2	241
0	166
5	457
0	232
2	141
0	325
9	421
1	377
7	375
14	252
0	0
104	31743
8	28513
99	32726
43	4417
2	9152
22	4524
16	6408
10	3583
0	151
0	846
0	8
0	8
0	2
0	8
2	9
1	9
15	11
0	8
0	92
0	81
0	23
1	22
0	22
0	5
0	7
0	0
0	7
0	0
0	4
8	0
0	0
0	0
0	0
0	0
1	3
0	3
0	91
0	174
0	101
0	124
0	168
6	124
0	37
0	125
0	127
0	100
0	0
0	159
0	51
0	30
4	81
0	35
0	51
0	21
0	95
0	0
0	0
46	1515
2	174
6	54
0	30
2	30
1	35
32	1416
2	104
0	1238
0	191
0	281
0	215
0	277
0	218
2	319
0	297
0	240
0	149
0	100
1	220
0	53
4	0
0	1265
1	273
0	929
4	890
1	78
70	1
27	1
17	784
8	797
25	1312
0	1499
1	894
392	967
1	774
0	1238
6	1108
4	1111
48	1061
4	546
0	1013
1	0
0	0
2	0
3832	127
0	2
0	31
29	93
1	44
12	44
2	152
0	0
2	140
102	4
0	4
9	153
0	27
6	0
26	47
2	32
86	96
0	108
54	24
2	23
0	11
23	4124
0	678
2	5034
4	1609
13	142
10	3071
6	1363
259	2219
8	848
10	807
0	840
0	696
0	672
2	157
0	59
9	27
0	23
0	27
0	18
55	1251
16	1144
0	1142
0	1278
9	957
3	0
2	0
34	669
28	532
4	996
0	833
0	613
4	176
8	59
7	22
9	31
0	100
0	297
7	109
8	8
0	33
0	0
2	20
0	20
0	0
0	0
0	0
0	0
0	0
0	0
0	5
0	5
0	5
0	5
0	6
0	5
0	3
0	5
0	5
0	5
1	10
0	4
0	3
0	1
0	0
0	0
0	0
0	0
0	0
0	233
0	234
3	1584
0	1616
0	1663
0	1603
0	415
0	1640
0	341
0	104
1	73
3	114
0	1568
8	62
11	1501
0	15
1	74
0	48
0	53
0	0
1	0
0	6
5	9
0	0
0	0
21	2
0	1
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
19	62
0	62
0	62
0	2
1	0
0	9
3	50
0	0
135	223
4	197
6	21
0	170
0	15
0	24
1	9
0	0
0	11
0	5
0	11
3	5
0	11
0	4
0	2
296	1600
0	1600
187	1516
85	1517
407	194
28	832
0	330
0	198
2	86
0	637
0	512
4	136
2	1378
0	1231
0	546
0	1255
0	1234
4	0
0	390
0	407
0	473
0	480
0	1305
9	297
0	21
0	471
0	0
1	256
0	397
0	83
0	1049
0	894
0	1173
26	2579
0	668
2	41
0	1368
2	29
0	0
0	1549
8	1704
0	2101
2	1978
2	839
0	1199
0	1090
1	1009
0	1300
4	1731
0	1103
0	264
0	328
0	135
0	1131
2	983
26	231
0	921
0	84
0	0
0	0
0	0
4	42
0	19
4	40
0	4
2988	791
5	787
2	245
1	0
5	0
7	1250
0	1553
0	1510
0	1516
0	1517
0	1356
0	1385
0	1436
0	1440
0	1381
0	1489
0	1504
0	1465
0	1253
4	1329
0	1335
0	69
3	1038
0	427
8	996
0	90
0	120
4	627
0	370
1	243
1	201
0	32
0	433
3	418
3	396
4	415
0	414
0	427
3	413
0	405
1	23
0	81
7	732
45	769
0	755
0	732
0	752
0	709
0	708
0	702
0	711
1	388
0	85
