UniqueCount	AmbigCount
0	18
0	5
4	1469
0	0
0	4
0	2
0	0
0	1
0	1
0	0
0	0
0	0
0	0
5	49
0	26
0	3
0	2
0	19
0	6
5	6
1	280
1	23
0	27
89	57
0	51
5	307
0	0
0	0
4	38
0	6
36	58
0	5
31	1888
4	270
2	291
1	266
0	261
0	231
40	42
0	0
0	81
0	0
0	0
0	0
0	3
0	3
0	4
0	13
0	0
0	3
3	23
9	31
0	11
0	18
0	6
121	447
2	20
0	488
0	253
7	272
3	304
0	333
6	247
0	35
1	240
0	280
24	34
0	48
3	8
1	56
4	62
0	42
7	81
4	15
0	4
0	10
0	0
0	0
0	11
1	11
2	1
0	8
0	10
1	82
0	17
0	0
23	5896
2465	32867
484	44299
30	0
23	4229
0	149
11887	16054
14	3548
0	0
0	2
0	45
0	11
0	18
0	6
446	1989
0	0
0	0
0	95
0	27
0	27
0	7
0	6
0	6
0	6
0	5
0	8
0	5
0	5
0	5
0	8
0	5
0	5
0	6
0	6
0	7
0	4
5	6
0	1
0	3
0	3
0	7
0	0
3	0
0	3
0	5
0	5
0	4
0	5
0	3
0	5
2	24
9	6
0	7
2	8
0	6
0	0
0	15
19	2
0	400
0	451
288	1063
65	252
1	1292
30	63
0	835
0	1098
22	46
0	1100
0	824
0	508
0	349
1	189
1	436
0	50
1	19
0	510
0	521
0	454
0	73
0	43
0	142
0	258
2	515
0	751
0	840
0	372
0	50
0	490
0	424
0	50
0	19
0	167
0	44
0	379
1	54
0	2
0	2
1	18
0	3
0	17
0	3
0	0
54	0
835	51
11	48
446	201
0	167
0	35
0	1950
0	1948
1	132
14	1774
0	1037
0	949
0	911
0	1110
0	1174
0	1601
53	932
2	13
2	310
5	87
14	130
689	9192
16	3606
170	8417
2	2
35	2735
53	230
800	276
121	99
50	177
83	11
2	0
0	0
0	0
0	0
0	0
0	6
0	5
0	4
0	2
33	0
34	293
49	256
45	231
9	148
0	8
0	7
0	26
0	0
0	7
3	8813
0	8649
0	8112
0	8276
0	168
6	385
16	248
0	47
10	224
198	2455
0	260
0	68
0	73
0	60
7	65
0	74
0	60
0	62
0	0
1	2
8	39
4	44
0	0
4	642
2	592
2	670
0	658
83	507
0	626
13	650
0	130
7	476
1	266
1	185
0	200
2	80
7	60
0	40
0	45
0	27
3	18
3	13
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	0
19	4232
5	4624
0	4232
8	3867
99	2285
3	1957
0	1389
0	883
2595	5
1	3
0	3
0	4
1	1
0	1
2	0
3	2799
10	3058
0	2806
5	1757
4	1729
6	1610
9	1499
2	391
0	1342
7	1149
0	325
0	451
2	574
0	365
9	394
8	97
0	120
1	195
8	268
74	19
4	0
14	0
1	104
0	75
24	97
0	97
0	5
0	99
0	0
3	26
138	2799
29	2951
24	2031
0	1684
10	36
0	0
1	234
6	360
28	57
148	516
1	267
147	144
0	140
1	17
49	484
1	164
5	92
0	304
12	248
0	1061
0	1836
0	1830
0	1327
0	357
0	1567
0	1918
0	1343
129	1188
12	761
4	1254
0	1833
1	1373
0	1161
0	1510
0	1626
0	484
2	257
1	209
0	1347
0	295
0	0
0	444
0	394
4	276
0	338
0	696
1	48
12	219
0	751
4	473
0	410
1	616
0	534
0	533
1	63
0	13
0	296
17	0
0	588
0	450
76	352
1	381
0	338
1	239
2	193
0	131
0	182
0	35
0	45
8	5
4	216
710	325
5	123
10	0
1	2499
80	2527
17	487
0	575
10	295
2	169
0	0
11	229
0	222
0	312
0	320
0	213
0	319
1	108
0	83
5	103
0	10
0	8
18	2935
18	2782
239	2775
88	2917
68	281
13	146
2	0
0	3084
55	4168
7	3267
17	2066
6	5740
1	3612
11	4815
0	4543
0	2011
3	2927
1	894
8	812
3	672
2	963
0	1587
34	341
5	657
5	148
4	385
1	945
0	1003
0	932
0	1026
1	961
0	1021
0	1005
0	1005
0	889
0	1000
0	43
0	999
0	872
0	1004
0	29
1	934
0	974
0	971
0	406
418	2640
2	1497
42	2070
30	298
22	1161
0	6
7	457
333	43
0	8
0	8
0	8
0	3
0	0
0	0
6	0
0	0
5	1
0	0
0	1
0	41
0	239
38	279
0	7
51	221
0	6
2	15
24	1769
0	1308
99	1566
6	244
145	1058
95	738
0	7
0	2
6	11
0	2363
48	1902
0	2250
0	1985
0	2180
2	51
0	362
2	546
24	121
0	121
27	10
380	3275
7	2457
0	993
990	348
1	11
11	11
0	0
1232	7
34	0
253	4
25	745
1	757
0	789
0	809
0	672
1	756
0	765
48	46
1	57
4	808
1	68
0	625
0	67
1	25
0	68
0	806
1	553
0	47
0	697
3	661
1	21
5	23
1	623
4	120
5	35
0	47
1	87
0	196
0	221
2	136
0	71
1	64
0	6
0	14
13	12
0	14
0	5
0	4
0	3
0	5
0	5
0	2
92	3616
0	3295
0	3043
0	3027
0	2888
0	2805
1	2804
0	2805
0	576
10	0
15	939
20	7886
0	7786
17	2952
31	908
6	0
0	1
0	13
71	2595
0	2195
293	1910
0	717
4	1807
0	2022
0	1736
0	2116
0	2200
0	2076
0	1913
33	129
0	299
0	95
0	18
2	436
0	42
0	84
7	402
0	439
7	275
2	64
1	44
10	48
1	0
15	0
45	901
73	132
6	869
1	0
0	657
0	1
15	2416
0	2319
1	2130
0	1180
11	35
0	521
0	258
0	167
7	464
0	241
0	139
1	357
6	448
2	368
4	365
1	247
0	0
142	36060
4	32196
107	37236
23	4826
4	10306
12	5162
24	7525
16	4403
0	176
0	1014
4	4
0	4
0	2
1	1
1	5
0	5
7	7
0	5
0	83
0	61
0	18
2	16
8	32
0	0
0	7
1	1
0	7
0	1
0	0
1	0
0	0
0	0
1	0
0	0
2	6
0	6
0	84
3	180
0	88
0	122
0	168
9	110
1	41
0	145
0	140
0	99
0	0
3	165
0	48
0	24
0	84
0	39
0	50
0	22
1	102
0	0
0	0
53	1676
1	220
7	47
0	51
1	51
0	39
25	1525
0	127
0	1397
0	212
0	310
0	231
0	306
0	237
2	339
0	340
0	266
0	155
0	123
1	259
1	74
0	0
0	1361
5	269
0	996
4	990
0	93
78	4
18	4
13	715
0	730
25	1242
1	1423
0	844
274	904
0	748
0	1211
3	1058
2	1059
70	1024
1	514
1	958
0	0
2	0
2	0
4024	192
0	1
0	64
36	118
1	40
8	40
2	127
0	0
2	101
115	6
0	6
7	125
0	10
3	0
48	32
1	20
86	74
0	80
65	12
0	17
0	13
18	4415
0	813
2	5475
3	1856
11	137
17	3302
11	1624
166	2522
3	890
7	904
0	939
0	796
0	746
0	177
0	59
0	27
0	22
0	19
1	12
39	1066
7	987
0	986
0	1071
2	830
2	0
1	0
19	549
35	461
7	1118
0	970
0	654
2	176
7	96
3	22
10	32
0	126
1	295
2	124
3	17
0	52
0	0
0	27
0	27
0	0
0	0
1	0
0	0
0	0
0	0
0	1
0	1
0	1
0	1
0	1
0	3
0	3
0	1
0	1
1	1
0	2
0	3
0	1
0	2
0	0
0	0
0	0
0	0
0	0
0	289
0	279
3	1506
0	1556
0	1622
0	1532
0	432
0	1580
0	398
0	103
0	75
1	133
2	1493
6	66
7	1420
0	16
0	84
0	55
0	70
0	2
0	4
0	9
2	8
0	0
0	0
17	0
0	0
0	1
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
31	49
0	49
0	48
0	6
0	1
0	5
1	29
2	0
127	175
0	152
0	25
0	106
0	7
0	16
0	7
0	0
0	13
0	6
0	13
0	4
0	13
0	3
0	0
298	1771
0	1769
184	1548
66	1549
247	146
30	848
0	321
0	198
0	72
0	633
0	475
0	163
0	1381
0	1251
0	593
0	1258
0	1244
2	0
0	438
0	452
0	496
0	523
0	1300
7	322
1	10
0	510
0	0
0	250
1	442
0	79
0	1088
0	903
0	1192
23	2628
1	698
2	37
0	1388
0	45
0	0
0	1538
9	1727
0	2081
0	1994
0	919
0	1221
0	1132
0	1016
0	1361
1	1721
0	1039
1	245
0	352
0	111
0	1095
3	956
8	198
0	883
0	62
2	0
0	0
0	0
0	40
0	22
0	40
5	5
3292	780
4	767
3	253
2	0
1	0
1	1556
0	1920
3	1873
0	1869
1	1870
5	1719
0	1735
0	1802
7	1777
0	1683
0	1852
0	1875
0	1810
0	1605
1	1709
0	1679
1	47
2	1344
0	549
8	1305
1	108
0	156
4	848
0	489
0	294
0	235
0	48
0	416
13	395
2	380
1	392
0	391
0	405
0	389
0	379
3	27
3	92
4	800
16	797
0	820
0	795
0	781
0	754
0	754
0	754
0	760
4	428
0	83
0	2
0	3
15	5
1	4
0	0
1	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
22	4
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	166
6	169
