UniqueCount	AmbigCount
0	6
0	0
13	3468
0	0
0	6
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
10	215
0	109
0	9
0	3
2	47
0	17
3	13
1	683
4	70
0	49
196	155
0	123
20	717
0	0
0	0
1	72
0	7
28	90
0	0
105	3930
5	266
7	332
1	265
0	303
0	229
71	124
0	0
0	139
0	0
0	0
0	0
0	15
0	15
0	9
0	33
0	0
0	6
5	84
17	66
0	31
0	40
0	13
340	1010
2	58
1	1224
0	654
4	707
7	801
0	888
29	711
7	108
16	663
0	773
34	61
0	115
9	56
4	129
11	159
0	64
13	202
3	20
0	3
0	35
0	0
0	0
0	13
5	13
5	1
0	6
0	12
3	256
0	34
0	0
12	4683
1674	22909
272	32493
16	0
13	3631
0	125
8430	11700
14	2881
0	0
0	10
0	162
0	31
0	47
0	9
971	5125
0	0
0	0
0	210
0	84
2	84
0	4
0	2
0	4
0	2
0	2
0	3
0	1
0	4
0	4
0	6
0	2
0	4
0	4
0	2
0	3
2	1
0	2
0	1
0	2
0	2
0	4
0	0
0	0
0	4
0	2
0	2
0	2
0	2
0	0
0	4
8	11
9	8
0	2
0	2
0	8
0	1
0	22
7	10
4	647
0	718
368	1499
30	182
1	1661
21	91
0	1172
0	1568
19	78
0	1559
0	1165
0	803
1	588
0	305
0	687
0	84
1	33
0	844
0	842
0	722
0	146
1	43
0	209
2	470
3	812
0	1051
0	1222
0	648
0	60
0	787
0	689
0	57
0	44
0	104
0	45
0	634
0	84
0	8
1	8
0	10
0	4
0	10
1	0
0	0
19	0
409	12
8	12
635	245
1	186
0	63
0	7667
11	7605
5	497
34	6859
0	3932
0	3748
4	3462
0	4178
0	4431
0	6259
288	3634
3	67
24	1234
66	251
60	467
1038	12180
23	4492
280	11032
1	0
32	3915
112	361
1615	662
170	201
145	462
148	56
11	13
0	13
0	11
0	1
0	1
0	13
0	12
0	10
0	3
38	0
33	421
69	365
62	326
9	208
1	35
0	26
0	15
0	0
1	22
1	4760
0	4653
0	4394
0	4501
0	91
6	193
9	131
12	35
10	153
258	1446
0	195
0	41
0	42
0	34
1	40
0	41
5	39
0	39
0	0
0	0
4	19
0	21
11	0
5	576
2	549
0	634
0	622
47	444
0	578
18	577
0	109
6	406
1	268
0	196
0	216
5	87
7	49
1	49
0	51
0	27
0	24
0	10
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	3
0	0
28	3542
2	3932
0	3542
13	3264
122	2012
10	1763
0	1235
0	684
1501	0
1	0
2	0
1	2
1	3
1	4
17	0
15	3177
10	3414
0	3171
10	2091
1	2041
1	1861
7	1768
1	431
0	1622
7	1386
0	376
0	590
4	771
0	527
9	512
0	151
0	198
1	247
9	278
130	33
0	0
14	0
0	159
0	130
12	150
0	150
0	19
0	150
1	3
4	55
118	3578
37	3692
23	2433
0	2161
12	69
0	0
3	325
18	491
16	72
93	696
1	392
140	188
0	234
0	29
39	584
10	241
13	111
0	368
4	322
1	1709
0	2948
0	2952
0	2176
0	584
0	2506
0	3039
0	2197
222	2045
22	1436
4	2013
0	2935
0	2221
0	1841
0	2349
0	2623
1	700
5	505
2	411
2	2144
0	553
0	0
0	854
0	809
3	561
0	684
0	1107
2	87
12	375
1	1171
3	760
0	739
0	972
0	827
0	827
0	74
6	45
0	463
26	0
0	775
1	601
26	413
0	478
0	493
0	269
0	224
0	223
0	269
0	33
0	46
0	4
17	247
673	343
2	115
32	0
2	2342
49	2370
14	461
0	514
17	261
4	173
0	0
21	239
0	162
1	228
0	242
0	173
2	242
0	70
0	52
0	63
0	7
0	5
29	2753
9	2565
147	2551
81	2690
50	281
5	209
0	0
0	5201
111	7045
55	5743
23	3639
3	8654
2	5778
28	7706
0	7119
0	3515
24	5030
1	1637
4	1413
0	1160
6	1307
0	2134
33	569
4	1006
3	245
5	592
4	805
0	805
1	805
0	840
5	783
0	837
0	803
0	803
0	742
0	803
0	22
0	803
0	747
0	803
0	17
0	799
0	786
0	785
0	322
347	2568
4	1452
56	2009
61	343
23	1141
0	9
1	431
780	70
0	3
0	3
0	3
0	1
0	1
0	0
5	0
1	0
0	0
0	0
0	0
0	21
3	176
18	195
0	3
21	531
3	7
0	16
95	5861
0	4444
712	5256
6	766
110	3391
125	2188
15	21
0	9
2	22
0	4329
198	3521
0	4143
0	3616
3	3981
0	172
0	725
4	966
27	91
0	91
11	6
378	4179
4	3159
0	1220
452	507
4	40
78	40
0	0
323	0
5	0
261	1
40	1145
4	1146
0	1164
0	1177
0	1069
2	1142
1	1150
83	91
0	148
8	1158
1	151
0	1013
0	117
1	42
3	156
0	1155
5	807
0	100
0	1056
7	945
11	76
11	44
12	932
3	124
12	37
0	85
3	200
0	285
0	274
7	227
0	122
1	118
3	2
0	20
20	10
1	20
0	18
0	9
0	17
0	17
2	8
3	7
170	7222
0	6507
0	5926
0	6017
0	5632
0	5528
0	5526
0	5527
0	1323
13	1
2	306
3	2575
0	2538
7	946
18	291
3	0
0	0
0	19
279	6591
0	5552
116	5205
3	1722
0	4493
3	5118
0	4948
1	5443
0	5666
0	5403
0	5407
87	346
0	997
3	328
0	119
6	1136
0	188
4	271
2	1253
3	945
29	858
5	240
0	161
54	160
1	5
1	5
22	287
12	41
6	269
0	0
0	212
0	0
15	2263
2	2158
2	1970
3	1109
62	52
7	501
3	279
0	152
7	452
1	234
0	151
6	379
3	475
8	416
1	403
5	274
0	0
50	20470
0	18245
63	21115
27	2974
0	5968
5	3026
14	4331
15	2433
0	118
0	535
2	0
0	0
0	0
0	0
1	3
0	3
2	2
0	1
0	51
0	46
0	11
0	8
2	6
0	0
0	11
0	2
0	13
0	3
0	0
6	4
0	4
0	1
0	1
0	0
0	0
0	0
1	63
1	131
0	74
0	92
0	125
0	80
0	31
0	99
0	101
0	75
0	0
0	121
0	39
0	19
1	65
0	26
0	44
0	16
0	72
0	0
0	0
45	1413
0	183
3	37
0	37
1	37
3	41
9	1284
3	94
0	1186
0	181
0	274
0	195
0	274
0	200
1	319
0	307
0	222
0	142
0	94
0	250
0	48
0	0
0	1143
0	267
0	912
4	791
2	96
42	0
9	0
7	779
8	792
8	1214
5	1391
0	667
290	630
4	560
0	902
4	815
4	815
44	781
2	353
0	640
1	0
1	0
0	0
3223	160
0	1
0	50
32	107
4	70
6	70
7	214
0	0
7	174
144	3
0	3
10	214
0	25
4	0
72	71
8	36
63	119
0	127
66	34
2	38
0	20
18	4284
0	906
0	5486
0	2072
5	183
26	3812
12	1816
231	2856
13	1051
11	1060
0	1086
0	896
0	879
14	214
0	73
0	27
1	32
2	41
2	6
12	406
1	399
0	399
0	395
2	336
0	0
2	0
2	173
5	170
22	2764
0	2388
5	1819
0	563
2	177
0	79
5	86
0	339
0	774
8	298
10	50
0	75
0	0
0	19
0	19
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	4
0	4
0	4
0	6
0	4
0	2
0	0
0	0
2	4
1	5
0	3
0	1
0	2
0	0
0	0
0	0
2	0
0	0
0	183
0	201
2	907
0	938
0	974
0	935
0	293
0	977
0	273
0	86
2	61
1	105
0	898
0	56
6	823
0	22
0	138
0	90
2	111
0	0
0	0
0	20
1	22
0	0
0	0
20	3
0	3
0	0
0	0
0	0
23	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
28	48
0	48
0	48
0	14
0	2
0	2
3	27
0	0
83	226
5	192
0	18
1	174
0	16
0	22
0	11
0	0
0	5
0	5
0	5
0	5
0	5
0	4
0	3
220	1339
0	1335
248	2038
91	2038
143	211
87	1210
0	348
0	249
0	57
1	754
0	670
4	196
0	674
0	608
0	300
0	618
0	615
2	0
0	225
0	228
0	265
0	268
0	640
1	174
1	13
0	262
0	0
0	140
0	478
0	67
0	1238
0	1039
0	1390
13	2732
0	824
1	44
0	1610
0	23
0	0
0	1753
14	1958
1	2261
0	2156
0	1040
0	1366
0	1355
1	1244
0	1408
2	1826
0	1191
0	243
0	421
0	160
0	1173
0	1080
10	211
0	1024
0	82
0	0
0	0
0	0
5	27
0	18
0	25
2	10
3950	1200
7	1193
20	414
2	0
5	0
0	2283
0	2625
1	2579
0	2564
4	2566
2	2364
0	2387
0	2473
8	2453
2	2362
0	2532
4	2570
0	2521
0	2220
1	2306
0	2272
1	83
4	1676
0	787
2	1628
0	173
0	206
0	956
0	536
0	288
1	237
0	23
0	229
0	206
4	209
0	214
0	213
0	217
0	213
0	210
3	12
6	33
5	502
15	506
0	508
0	502
0	499
0	479
0	482
0	480
0	482
1	262
0	66
0	0
0	1
5	2
0	2
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
8	3
1	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	472
9	486
13	2133
40	2439
7	2294
16	2002
9	61
1	150
16	146
0	1362
5	129
0	92
0	95
3	796
2	772
0	774
0	37
0	34
0	13
0	32
0	4
0	85
0	49
0	75
0	752
0	100
0	8
0	154
0	756
1	37
1	357
0	749
0	33
0	736
0	82
0	51
0	176
0	719
0	28
1	33
0	678
0	22
0	9
0	749
1	767
0	176
0	226
0	51
0	5
0	721
0	30
0	228
0	491
0	16
0	5
0	36
0	628
0	568
0	629
67	217
0	16
0	165
1	127
0	144
0	30
2	3174
4037	8157
114	8058
1	7897
6	5832
8	5195
0	3222
28	3237
9	0
2	0
22	296
0	0
17	19
31	299
0	6
1	1
0	48
6	49
779	1707
0	55
61	1653
0	823
0	5
2	4
0	5
0	0
951	0
2	5168
0	5251
29	4912
0	4896
13	4898
1	4643
0	4643
0	5249
0	2693
2	62
6	0
0	0
0	0
0	0
1	0
0	0
0	0
0	15
0	9
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	3
0	0
0	0
0	6
0	0
0	0
0	0
0	3
0	1
0	235
0	268
0	218
91	328
0	247
0	271
0	265
1	223
0	133
0	77
5	182
0	98
0	82
0	164
0	108
6	12
1	105
0	101
0	88
4	112
0	16
16	775
0	1187
1	1270
1	1270
0	1270
0	1173
0	1275
0	1270
1	1246
3	1271
4	1292
3	1292
0	1292
