UniqueCount	AmbigCount
0	27
0	5
13	1669
1	1
0	3
0	1
0	0
0	1
0	1
0	0
0	0
0	0
0	0
5	87
0	45
0	3
0	3
0	16
0	3
8	3
1	285
0	33
0	27
146	100
0	93
3	308
2	0
0	0
8	44
2	1
30	64
0	5
45	2069
1	371
2	406
6	385
0	387
0	333
62	69
0	3
0	92
0	0
0	0
0	0
0	4
0	7
3	4
0	13
0	0
0	1
4	25
15	22
0	12
0	18
0	4
130	475
9	22
0	489
0	281
1	315
1	287
0	374
18	277
0	46
6	297
0	313
32	41
0	71
13	38
9	79
0	85
0	51
10	98
1	11
0	1
0	10
0	0
0	0
2	11
3	11
0	0
0	6
0	8
0	91
0	16
0	0
26	10538
4074	52170
481	75627
40	0
23	6887
1	200
21597	27029
30	4620
0	0
0	3
0	46
0	12
0	18
0	4
486	2291
0	0
0	0
0	56
0	26
3	26
0	9
0	5
0	5
0	8
0	4
0	4
0	2
0	5
0	5
0	3
0	4
0	5
0	5
0	6
0	5
0	3
1	1
0	0
0	4
0	4
0	0
0	0
2	0
0	1
0	6
0	6
0	1
0	1
0	0
0	2
1	5
22	16
0	11
4	11
0	16
0	1
0	12
25	9
1	381
0	429
281	1189
27	176
0	1334
15	57
0	845
0	1220
11	43
0	1199
0	826
1	481
0	348
0	177
3	430
0	50
2	21
0	493
1	493
0	436
0	90
0	36
1	145
0	282
3	483
0	750
0	842
0	368
0	40
0	461
0	385
0	40
0	33
0	105
0	30
0	381
0	71
0	8
1	8
1	5
0	0
0	5
0	0
0	0
77	0
1322	59
9	56
844	371
1	280
0	93
0	1881
3	1853
1	163
5	1648
0	1037
0	964
0	887
0	1088
0	1153
1	1477
52	834
0	12
1	252
13	56
11	91
754	9873
34	3794
411	9033
2	2
16	3077
164	298
751	288
149	75
67	212
144	15
4	9
0	6
0	9
0	0
0	1
0	12
0	12
0	12
0	6
12	0
10	101
21	85
28	80
6	57
0	5
2	4
0	21
0	0
3	3
0	3867
0	3815
0	3599
0	3651
0	73
11	183
25	132
1	33
11	98
316	1134
0	142
0	21
0	24
0	19
3	24
0	24
1	20
0	20
2	0
0	1
2	16
1	19
1	0
7	605
0	582
0	655
0	618
119	484
0	586
25	626
0	107
6	477
0	253
0	187
0	192
1	92
8	62
0	50
0	50
0	37
1	42
1	22
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	0
0	0
0	0
0	0
21	4591
3	5090
0	4591
3	4179
191	2580
21	2186
0	1635
0	937
2271	8
0	1
0	1
0	5
1	4
2	4
3	0
4	2834
5	3045
0	2835
1	1749
7	1679
5	1555
3	1479
2	417
0	1348
7	1114
2	280
0	471
0	658
0	441
21	435
1	95
0	145
4	188
11	235
135	33
2	1
22	1
0	101
0	78
24	91
0	91
0	7
0	90
0	0
6	24
372	3643
26	3733
80	2688
0	2062
41	75
0	0
4	313
4	463
26	60
274	650
7	400
273	333
0	220
0	21
38	457
15	168
4	83
0	264
10	243
2	1295
0	2213
0	2187
0	1583
0	443
1	1866
0	2268
0	1604
343	1469
21	1062
3	1497
0	2211
1	1630
0	1356
0	1785
0	1949
1	532
0	327
8	252
0	1607
0	356
0	0
0	583
0	553
4	396
0	447
0	936
0	71
31	287
3	929
1	571
0	557
0	742
0	652
1	651
1	103
5	47
0	403
46	0
0	817
4	711
59	565
0	523
0	411
1	257
0	194
0	188
0	215
0	26
0	71
7	31
1	232
731	339
10	133
31	0
4	2797
69	2804
22	541
0	630
16	303
0	191
0	0
20	326
0	109
1	158
0	171
0	121
3	171
0	63
0	53
1	49
2	2
3	7
8	2513
4	2392
180	2375
65	2479
83	229
12	149
0	0
0	5056
41	6580
6	5308
49	3410
5	8929
4	5811
13	7547
0	7373
0	3378
5	4592
1	1498
15	1354
6	1070
15	1447
0	2191
87	432
6	972
10	171
2	617
0	962
0	970
4	957
0	1008
2	917
0	1004
0	971
0	971
0	867
0	969
0	53
0	968
0	863
0	970
0	43
1	951
0	953
0	943
0	388
362	2660
2	1592
87	2071
49	340
68	1105
0	24
1	356
306	48
0	7
0	7
2	9
0	1
0	2
0	0
0	0
0	0
0	1
0	0
0	1
0	54
0	220
31	270
1	14
37	282
0	2
2	11
34	2042
0	1510
220	1843
15	281
260	1308
195	899
10	15
0	6
0	14
0	2733
62	2263
1	2632
0	2272
1	2465
0	59
0	357
1	664
27	119
0	119
13	7
292	2309
7	1700
3	736
1520	379
5	19
18	19
0	0
1139	0
69	3
242	0
43	997
2	928
0	992
0	1011
0	875
4	930
0	987
119	121
0	87
1	965
3	98
0	774
1	130
0	32
1	119
0	998
7	636
0	76
0	863
1	781
25	34
17	30
2	802
7	155
10	45
0	64
4	137
2	254
0	232
2	204
0	84
1	81
0	5
0	21
16	16
4	19
0	14
0	11
0	12
0	14
1	13
3	11
122	3442
0	3135
0	2872
0	2855
0	2693
0	2658
0	2658
0	2658
0	550
12	0
18	876
21	7229
0	7116
50	2798
60	857
2	1
0	3
0	20
75	2609
0	2226
239	1989
0	758
4	1800
0	2001
0	1777
0	2131
0	2197
0	2061
0	1967
55	155
0	305
0	132
0	21
1	416
1	59
4	131
1	519
1	465
6	302
4	71
0	52
29	51
0	2
24	0
44	838
65	131
4	779
3	2
0	585
1	4
6	2388
0	2299
2	2126
0	1158
15	54
0	477
2	267
0	205
6	448
0	253
0	183
2	325
11	417
7	384
14	362
8	247
0	0
17	16529
3	14584
43	17199
48	2622
0	5641
4	2996
11	4125
5	2324
0	129
0	579
0	15
0	12
0	5
1	6
0	6
0	6
13	4
0	1
2	93
1	75
0	20
0	17
7	21
3	0
0	12
2	2
0	12
0	1
0	2
7	4
0	3
0	0
0	0
0	0
1	0
0	0
0	78
0	163
0	87
1	107
0	153
12	102
2	39
0	135
0	134
0	90
1	0
0	150
0	55
0	22
0	81
0	39
0	43
0	23
0	88
0	0
0	0
23	1443
2	181
2	40
0	35
2	35
0	48
34	1318
1	99
0	1191
0	190
0	295
0	215
0	292
0	219
0	311
0	311
0	238
1	140
0	97
0	239
0	60
0	1
0	1173
0	256
1	895
5	846
1	91
50	1
0	1
22	775
8	772
24	1372
1	1495
0	898
468	972
0	704
0	1220
4	1081
12	1081
36	1039
0	524
0	1024
3	0
1	0
0	0
3480	220
0	1
0	62
32	154
1	19
7	19
4	122
0	0
1	104
38	0
0	0
0	120
0	9
3	0
33	36
1	13
104	104
1	113
38	20
3	28
0	17
28	4186
0	839
3	5246
1	1980
9	123
13	3329
8	1720
320	2747
17	1002
15	864
0	896
0	724
0	715
1	139
1	47
0	20
1	26
1	27
0	14
45	1294
8	1181
0	1181
0	1301
3	995
0	0
3	0
36	663
26	510
2	914
0	772
0	563
0	142
2	57
5	23
18	40
0	102
2	256
6	88
6	24
1	31
0	0
0	35
0	35
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	4
0	4
0	4
0	4
0	11
0	1
0	10
0	9
0	4
0	4
0	2
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	184
0	186
0	1138
0	1166
0	1206
0	1157
0	335
0	1190
0	276
0	62
1	39
0	85
1	1128
5	35
8	1082
0	5
0	21
0	15
0	14
0	3
0	3
0	2
1	3
0	0
0	0
21	3
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
21	42
0	42
0	38
0	13
0	14
0	17
11	33
0	0
44	88
1	74
2	11
2	66
0	8
0	10
0	2
0	0
0	34
0	20
0	34
0	20
0	34
0	15
0	13
461	2080
2	2080
228	2005
77	2007
386	268
29	1161
0	506
1	295
2	101
0	866
0	694
11	203
1	706
0	619
0	295
0	638
0	622
2	0
0	199
0	215
0	253
0	255
0	663
3	149
2	7
0	258
0	0
0	149
0	349
0	110
0	958
0	836
0	1059
14	2199
0	624
2	57
0	1248
0	46
0	0
0	1277
13	1420
2	1740
0	1630
0	701
0	955
0	957
2	900
0	1124
7	1442
0	901
1	190
0	302
0	134
1	959
0	856
22	191
0	771
0	75
0	0
0	0
0	0
8	47
1	34
