UniqueCount	AmbigCount
0	34
0	1
0	1561
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	95
0	64
0	10
0	3
0	23
0	3
1	7
0	248
8	36
0	31
127	64
0	61
10	279
0	0
0	0
1	31
0	6
49	57
0	1
46	1873
2	403
1	417
0	405
0	395
0	369
43	48
6	1
0	112
0	0
0	0
0	1
0	6
0	6
0	12
0	25
0	0
0	8
2	26
7	34
0	15
0	13
0	7
154	419
5	19
0	466
0	248
0	270
0	332
0	438
17	326
0	55
2	323
0	361
28	37
0	53
9	26
2	52
5	56
0	26
6	76
1	14
0	0
0	20
0	0
0	0
3	12
0	12
2	0
0	5
0	12
5	115
0	25
0	0
23	5742
3120	39876
337	42268
18	0
20	3530
0	90
13334	15904
11	2280
0	0
0	8
0	60
0	15
0	13
0	7
548	2138
0	0
0	0
0	83
0	31
0	31
0	15
0	8
0	8
0	10
0	7
0	7
0	3
0	6
0	5
0	2
0	8
0	7
0	7
0	10
0	7
0	3
8	5
0	0
0	4
3	4
0	0
0	0
1	0
0	1
0	3
0	8
0	3
0	3
0	4
0	4
1	2
31	7
1	13
4	13
0	6
1	0
0	12
18	4
0	374
0	405
332	1106
24	255
0	1330
21	53
0	796
0	1159
19	48
0	1136
0	788
1	466
1	346
0	195
0	400
0	50
2	15
0	479
0	469
0	413
0	98
0	82
0	115
0	271
0	461
0	724
0	828
0	387
0	94
0	457
0	400
3	93
0	31
0	192
0	82
0	369
2	58
2	1
1	1
0	7
0	1
0	7
0	0
1	0
87	0
1265	69
14	68
596	350
0	268
0	79
0	1964
4	1954
4	143
2	1719
0	1055
0	1005
2	907
0	1139
0	1212
0	1561
47	920
0	12
3	273
24	68
11	107
790	10303
23	3979
215	9418
1	3
32	3182
98	282
781	277
130	88
49	188
81	13
2	2
0	2
0	2
0	0
0	0
0	11
0	11
0	10
0	4
19	0
11	105
45	86
21	77
1	34
0	6
1	3
1	8
0	0
3	6
1	3887
0	3854
0	3607
0	3640
0	72
3	214
24	124
0	27
14	94
191	1104
0	116
0	27
0	29
0	27
1	29
0	28
0	26
0	26
2	0
0	0
2	17
0	18
2	0
5	646
1	604
0	700
0	647
94	482
0	621
21	648
0	131
10	446
4	296
1	185
0	185
0	113
5	82
0	36
0	65
0	51
8	48
3	29
2	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	2
32	4869
6	5415
0	4869
0	4353
107	2702
17	2347
0	1586
0	981
2401	5
0	4
0	0
0	4
0	2
0	0
4	0
4	3164
12	3422
0	3184
9	1891
3	1914
1	1733
0	1597
1	421
0	1470
12	1247
0	312
0	522
0	634
0	474
24	495
0	71
0	149
1	247
0	292
140	22
1	0
6	0
0	79
0	59
16	75
0	73
0	13
2	75
1	0
1	15
279	3256
37	3381
31	2339
0	1993
15	52
0	0
4	282
13	465
21	80
157	655
8	358
167	221
0	159
0	8
46	383
20	129
10	90
0	270
8	179
1	1315
0	2285
0	2273
0	1645
0	466
0	1936
0	2363
0	1675
173	1505
26	1032
5	1580
0	2283
0	1705
0	1424
0	1822
0	2014
0	618
3	354
6	271
0	1666
0	374
0	0
0	612
0	532
3	398
0	397
0	860
0	55
17	261
0	894
4	564
0	522
0	752
0	661
0	662
0	74
1	25
0	369
19	0
1	751
0	608
35	452
3	458
1	403
0	243
1	200
0	174
2	230
0	24
0	43
6	14
3	294
706	409
4	135
30	0
7	3098
97	3102
29	605
0	745
13	368
7	222
0	0
10	358
0	142
0	205
0	213
0	139
2	213
0	77
0	61
10	64
0	10
0	8
21	2898
29	2727
193	2718
87	2841
93	246
10	178
0	0
0	4402
43	5532
16	4460
24	2923
1	7512
2	5066
11	6474
0	6303
0	2901
8	3839
2	1268
14	1124
2	1006
7	1149
0	1736
67	342
2	745
16	134
1	440
1	1058
0	1057
0	1047
0	1105
0	1013
0	1099
0	1052
0	1052
0	957
0	1046
0	58
0	1046
0	947
0	1052
0	49
0	1021
0	1029
0	1026
0	416
445	2789
3	1637
65	2148
38	322
23	1186
0	21
2	374
318	31
0	4
0	4
3	4
0	4
0	2
0	0
4	0
0	1
0	1
0	1
2	0
0	41
1	252
25	291
1	15
39	251
4	5
1	15
13	1873
0	1297
152	1686
7	282
166	1051
148	708
3	12
0	1
4	13
0	2819
41	2235
0	2672
0	2371
2	2551
2	75
2	405
0	645
23	159
0	159
30	14
364	2468
5	1831
0	741
1740	369
0	20
17	20
0	0
1176	1
47	0
255	1
36	965
0	954
0	1000
0	1012
0	851
0	960
0	968
65	98
0	70
3	1004
3	89
0	802
2	113
0	19
0	95
0	1008
2	672
0	71
0	903
4	833
8	32
15	32
0	838
1	140
9	26
0	29
4	129
0	255
0	261
4	175
0	106
7	104
0	6
0	23
8	23
0	19
0	18
0	10
0	11
0	10
0	7
1	6
104	3463
0	3150
0	2900
0	2931
0	2773
0	2669
1	2669
0	2669
0	566
17	0
5	1054
33	7811
0	7661
30	3056
35	977
2	0
0	2
0	23
43	2464
0	2072
247	1837
1	701
0	1723
1	1899
0	1640
0	2011
0	2095
0	1965
0	1826
29	111
0	302
0	100
0	20
3	401
0	57
0	115
6	429
8	453
9	239
3	41
0	33
12	33
1	0
16	0
55	1007
44	123
1	889
0	0
0	684
0	2
9	2511
1	2399
1	2214
0	1165
20	37
4	530
0	298
0	170
2	488
0	222
0	149
0	394
9	474
3	446
3	443
10	311
0	0
45	18635
0	16401
42	19345
54	3042
1	6391
7	3163
3	4458
2	2490
0	104
0	579
4	6
1	6
0	1
0	5
1	3
0	3
6	4
0	2
0	85
2	65
0	17
1	18
4	21
0	0
0	1
0	0
0	1
0	0
0	1
0	2
0	2
0	1
0	0
0	0
1	0
0	0
0	92
0	173
0	95
0	110
1	145
4	113
0	34
0	137
0	135
0	99
0	0
0	159
0	52
0	35
0	95
0	31
0	43
0	16
0	92
0	0
0	0
43	1577
0	185
5	49
0	27
3	27
1	39
43	1453
2	98
2	1298
0	198
0	290
2	206
0	291
0	209
1	353
0	316
0	235
0	120
0	86
0	251
0	46
0	0
0	1300
1	299
0	983
8	894
1	103
49	2
8	2
19	751
5	759
30	1314
1	1507
0	923
347	1030
1	842
1	1383
5	1213
1	1214
48	1163
6	590
0	1073
0	4
3	1
0	0
3952	183
0	0
0	49
17	133
0	20
6	20
1	133
0	0
0	112
25	1
0	1
1	133
0	3
9	0
31	34
0	7
81	103
1	117
30	10
0	22
0	14
44	4331
0	853
2	5458
0	1962
13	153
14	3451
8	1718
179	2780
15	1014
4	853
0	901
0	716
0	730
6	160
1	46
1	11
1	13
0	28
0	17
53	1286
5	1170
0	1170
0	1275
2	976
0	0
1	0
12	670
25	530
9	929
0	782
0	576
1	152
4	66
2	21
3	16
0	113
0	287
7	110
7	12
1	22
0	0
0	27
0	27
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	2
0	0
0	0
0	0
0	2
0	2
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	220
0	226
0	1215
0	1247
0	1294
0	1226
0	363
0	1269
0	322
0	83
0	49
0	90
3	1206
2	40
3	1148
0	5
0	20
0	11
0	12
0	2
0	2
0	0
2	3
0	0
0	0
31	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
15	36
0	36
0	31
0	4
0	1
0	6
8	22
0	0
30	63
1	51
0	5
0	51
1	8
0	12
0	7
0	0
0	19
0	15
0	19
0	14
0	19
0	14
0	10
441	2352
0	2351
252	2073
130	2077
269	190
29	1200
0	400
0	217
1	65
1	876
0	728
4	204
0	823
0	713
0	338
0	735
0	717
0	0
0	225
0	243
0	288
0	308
0	790
1	178
0	16
0	308
0	0
1	165
0	379
0	137
0	1000
0	892
0	1097
18	2205
0	701
5	65
0	1301
0	39
0	0
0	1297
10	1475
0	1678
2	1642
0	739
0	1004
0	987
0	880
0	1131
4	1448
0	919
0	191
0	346
0	124
0	953
0	892
18	176
0	816
3	66
2	0
0	0
0	0
4	44
1	22
2	37
1	8
2864	794
4	792
5	234
0	0
3	0
2	1541
0	1879
0	1833
1	1833
0	1833
0	1660
0	1678
0	1754
2	1737
0	1657
1	1808
1	1830
0	1759
0	1580
0	1686
0	1640
2	70
4	1246
0	521
8	1179
0	119
0	119
4	718
0	405
0	263
4	221
0	32
0	464
2	454
4	427
0	447
0	446
0	461
0	446
0	438
3	29
8	91
12	819
19	800
0	835
0	819
0	792
0	779
0	779
0	775
0	781
2	415
0	87
0	4
0	6
15	12
1	12
0	2
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
14	9
3	9
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	135
12	135
5	449
5	525
2	501
2	435
11	11
2	27
33	26
0	292
6	31
0	48
0	50
4	548
0	527
0	530
0	20
0	20
0	3
1	20
0	0
0	56
0	32
0	46
0	500
2	63
0	3
0	109
0	515
0	22
0	244
0	514
0	14
0	482
0	39
0	29
0	140
0	487
0	15
0	18
1	479
0	11
0	6
0	514
0	529
0	137
0	165
0	29
0	3
0	484
0	14
0	161
1	342
0	11
0	3
0	44
0	422
4	379
0	427
38	119
0	2
0	77
0	55
0	92
0	6
0	4758
5709	11537
111	11403
5	11168
5	8378
5	7750
1	4837
26	4842
31	1
0	0
18	273
0	0
22	12
41	271
0	3
1	2
0	32
2	48
2320	4218
0	125
47	4091
6	2114
0	3
0	1
1	3
2	0
1631	1
9	4610
0	4714
21	4354
0	4340
16	4340
0	4136
0	4135
0	4712
0	2444
1	45
6	0
0	0
0	0
0	0
1	1
0	1
0	0
0	12
2	12
0	0
0	1
0	1
0	1
0	0
0	0
0	0
0	6
0	6
0	0
0	6
0	5
0	6
0	1
0	1
0	0
0	136
0	153
0	165
78	235
0	143
0	158
0	157
0	132
0	80
0	62
0	107
0	63
0	56
0	96
0	99
0	10
0	51
0	54
0	38
5	54
0	16
20	491
17	716
4	775
3	775
0	774
0	705
0	780
0	774
0	766
0	774
1	785
15	785
0	785
15	791
0	770
0	551
0	692
7	157
2	52
0	133
0	40
0	43
0	14
0	64
0	64
3	36
0	42
0	35
2	6
1954	340
