UniqueCount	AmbigCount
0	7
0	0
9	3523
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
11	272
0	133
0	20
1	4
2	74
0	30
5	5
0	804
9	60
0	48
213	159
0	122
19	766
0	0
0	0
0	86
0	6
47	113
0	0
119	3875
1	310
4	403
6	375
0	388
0	272
98	167
0	0
0	130
0	0
0	0
0	0
0	10
0	16
0	19
0	30
0	0
0	27
8	84
38	77
0	33
0	80
0	8
345	1119
1	47
0	1405
0	745
1	753
2	839
0	994
21	735
10	107
15	714
0	837
41	61
0	116
19	36
9	168
9	173
0	61
7	216
14	62
1	12
0	44
0	0
0	0
2	40
0	40
9	12
0	37
0	39
12	264
0	36
0	0
15	1960
1235	13633
95	12310
3	0
12	1007
0	21
3735	4479
0	585
0	0
1	9
0	155
0	30
0	84
0	8
1385	5744
0	0
0	0
0	200
0	96
1	96
0	7
0	9
0	9
0	6
0	4
0	1
0	1
0	5
1	5
0	3
0	4
0	8
0	9
0	7
0	3
0	3
17	7
0	0
0	0
3	0
0	2
0	0
1	0
0	3
0	6
0	6
0	6
0	6
0	1
0	6
0	4
11	14
0	6
1	6
0	11
0	0
0	25
6	8
0	472
0	536
339	1401
10	131
5	1477
8	110
0	1007
0	1486
4	99
0	1483
0	1000
0	651
0	448
0	282
1	577
0	103
2	28
0	653
0	654
1	539
0	149
2	41
1	169
0	352
2	655
0	895
0	1050
0	504
0	50
0	613
0	517
0	50
0	35
0	72
0	38
0	478
1	69
13	10
16	10
0	9
0	0
0	9
5	1
0	0
47	0
727	40
12	36
505	233
0	173
0	60
0	9661
14	9688
13	685
37	8500
0	5167
2	4944
15	4434
0	5432
0	5844
0	7632
430	4466
6	88
24	1488
77	322
63	513
1102	12933
21	4840
157	11797
0	2
33	4065
70	346
1499	617
101	161
150	449
96	62
1	12
0	11
4	12
0	0
0	0
0	9
0	9
0	4
0	5
22	0
15	159
26	146
11	120
10	90
1	11
0	7
0	15
0	0
1	10
0	3653
0	3569
0	3361
0	3445
0	61
4	190
7	115
0	19
7	105
117	1050
0	107
0	14
0	18
0	14
0	18
0	17
1	13
0	13
0	0
0	0
1	9
0	2
30	0
2	666
8	618
1	714
0	681
58	530
0	655
13	660
0	124
7	485
1	283
2	191
0	203
2	82
8	53
0	31
0	37
0	23
3	23
2	12
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
0	0
19	3900
4	4305
0	3900
3	3519
86	2038
9	1716
0	1280
1	828
1603	4
1	2
2	2
3	5
2	0
0	3
5	0
4	3386
5	3644
0	3372
11	2060
3	2083
5	1887
1	1775
7	471
0	1609
14	1360
3	370
1	616
1	694
0	456
39	512
1	73
0	131
7	231
11	307
180	24
0	1
9	2
0	133
0	98
8	137
0	137
1	14
0	128
1	2
4	39
141	3531
40	3696
18	2610
0	2191
8	52
0	0
6	298
10	447
15	65
117	631
2	332
156	163
0	177
0	12
47	511
7	199
6	64
1	298
9	265
0	1566
0	2853
0	2842
0	2042
0	533
0	2341
0	2962
0	2056
203	1859
20	1191
7	1894
0	2841
0	2084
0	1755
0	2312
0	2520
3	702
3	452
6	355
7	2116
0	491
0	0
0	766
0	689
5	459
0	558
0	1043
6	60
14	296
0	1157
10	694
0	651
0	942
0	827
0	825
1	40
0	13
0	435
18	0
0	792
1	542
15	352
0	489
1	504
0	315
1	257
0	212
0	288
0	26
2	75
6	13
7	224
652	319
2	112
92	0
3	2591
55	2595
23	390
0	498
4	254
2	204
0	0
27	279
0	141
3	183
0	186
3	117
17	186
1	65
0	52
3	62
5	3
0	2
24	2529
8	2354
118	2337
57	2454
59	245
8	178
0	0
0	4430
91	6061
63	4870
14	3144
4	7034
3	4754
52	6517
0	5858
0	3031
32	4358
3	1314
14	1168
1	865
7	1081
0	1800
28	388
14	800
9	149
17	464
2	591
0	624
3	588
0	637
0	589
0	635
0	624
0	624
0	541
0	623
0	39
0	623
0	540
0	624
0	25
0	578
0	590
0	589
0	223
363	2516
8	1389
68	1911
85	292
25	1155
0	11
3	399
616	53
0	11
0	11
0	11
0	6
0	4
0	0
2	0
0	2
0	1
0	0
0	3
0	33
0	149
26	183
0	6
20	474
4	5
2	7
82	4935
0	3673
393	4383
0	599
71	2753
74	1787
23	24
0	9
2	13
0	4041
228	3237
0	3854
0	3417
4	3716
0	134
0	608
0	904
18	85
0	85
8	5
436	3490
1	2605
0	1015
570	454
3	17
75	17
0	0
599	1
12	1
165	0
22	1119
7	1103
0	1156
0	1170
0	1056
5	1109
0	1153
58	51
6	96
3	1161
0	145
0	1009
0	79
0	39
0	143
0	1158
6	771
