UniqueCount	AmbigCount
1	6
0	2
3	1269
0	0
0	16
0	12
0	0
0	1
0	1
0	0
0	1
0	0
0	4
25	137
0	7
7	4
2	15
0	7
0	100
5	4
9	161
18	5
0	31
156	63
1	57
56	634
25	61
4	12
32	94
0	0
1	0
0	2
53	1135
4	261
2	309
9	273
0	226
0	169
278	115
0	0
0	40
0	0
0	0
0	4
0	2
0	7
14	11
0	59
21	62
56	86
0	49
0	17
2	1
4	373
0	194
0	248
30	272
0	128
9	103
11	36
0	147
0	112
9	39
0	86
5	18
5	45
0	57
0	38
12	84
0	0
0	5
0	4
45	213
0	42
0	4
0	41
1	22
1	22
3	15
0	16
0	17
2	102
0	57
0	0
0	6
0	71
0	45
0	20
0	2
0	0
10	1471
744	18020
212	26149
5	0
5	1685
0	16
6910	7939
7	1494
0	0
0	3
394	1427
0	190
0	18
1	18
0	0
0	0
0	25
0	9
0	12
0	12
0	9
0	3
1	3
0	9
0	10
0	6
0	9
0	12
0	13
0	14
0	3
0	4
21	4
0	0
0	0
0	3
0	0
0	0
0	0
0	6
0	13
0	5
0	4
0	2
0	3
4	5
0	37
12	35
0	1
29	10
0	10
6	1
0	10
0	1137
0	1265
959	5029
24	128
3	4732
26	76
0	2785
0	5095
36	63
0	5057
0	2756
1	1361
4	1064
2	319
5	974
0	67
0	13
1	1342
1	1322
0	1292
1	140
0	33
0	192
1	664
0	1340
0	2587
0	2770
0	1139
0	33
0	1369
0	1179
1	33
0	33
0	76
0	32
0	933
3	108
5	2
6	21
17	21
11	16
0	5
1	12
2	0
5	0
9	0
204	5
1	5
302	203
1	171
0	33
0	924
3	925
3	92
2	867
0	448
0	442
0	480
1	327
0	373
0	739
12	236
0	2
0	35
0	2
0	10
216	2393
3	994
49	2154
0	0
3	795
14	34
369	98
48	23
32	74
21	2
8	8
0	5
0	8
0	0
0	2
0	2
0	2
0	2
0	0
80	0
17	138
32	119
90	77
1	51
3	67
2	42
20	67
0	1
1	0
0	5018
1	5428
0	5357
0	4947
0	41
10	227
37	203
1	42
17	115
588	1877
3	191
0	155
0	170
0	147
3	162
0	170
3	164
1	160
0	2
3	87
0	79
0	0
0	0
1	84
0	80
0	94
0	87
12	70
0	85
2	87
0	14
1	48
0	34
1	21
0	21
0	15
1	10
1	4
0	5
0	4
0	5
1	5
2	0
0	0
0	0
0	0
0	0
0	0
1	0
0	1
0	1
0	1
0	0
1	1
0	1
0	0
0	0
0	0
0	1
0	1
0	0
4	0
1	0
0	0
9	1404
8	1649
1	1150
0	1404
59	691
3	513
0	572
0	140
1170	3
1	2
0	1
2	2
0	2
0	1
3	0
2	1102
8	1199
0	1102
1	764
0	684
0	732
2	666
7	144
0	612
2	556
0	176
0	167
0	178
0	79
0	80
1	38
0	17
1	49
2	49
33	6
0	0
12	0
0	107
1	87
10	101
0	102
2	15
1	90
0	1
1	15
166	2755
17	2882
17	1746
0	1687
9	32
1	208
5	369
8	41
70	640
0	387
150	163
1	166
0	10
0	0
25	238
9	90
3	20
0	149
8	113
4	420
0	893
0	888
0	598
0	91
0	728
0	903
0	603
83	512
2	251
2	520
0	884
0	600
0	507
0	724
0	838
0	208
2	115
6	64
0	685
0	122
0	247
0	232
0	145
2	160
0	356
0	8
9	80
0	376
1	204
0	213
0	321
0	282
0	280
0	14
1	6
0	152
0	313
0	244
38	199
0	161
0	164
0	75
1	58
0	40
0	92
0	8
1	19
1	5
0	0
31	0
5	74
271	140
2	73
69	0
0	1235
48	1233
46	250
0	283
2	118
0	115
3	183
0	0
0	414
2	527
1	534
3	295
1	529
1	197
0	150
9	201
0	6
0	3
12	1011
3	992
22	981
27	989
1	23
1	23
0	0
0	1505
50	2050
7	1696
6	1038
9	3154
0	1825
1	2290
0	2603
0	882
0	1393
1	364
0	343
1	287
1	452
0	808
14	170
0	238
3	59
1	169
0	608
0	765
0	708
0	611
2	672
0	706
0	763
0	763
0	580
0	762
0	52
0	762
0	581
0	763
0	44
0	628
0	744
0	741
0	236
305	1096
3	769
15	906
10	61
3	333
4	122
0	3
105	23
0	138
1	135
0	138
0	28
7	18
0	0
81	0
0	0
0	0
0	0
0	0
0	59
0	286
55	343
0	5
25	42
0	2
0	2
0	483
0	312
72	464
0	57
22	240
33	132
2	4
0	2
2	2
0	726
5	543
0	696
0	606
2	695
0	29
0	92
0	152
25	196
0	196
4	6
310	2473
4	1865
0	651
1043	193
0	7
29	7
0	0
622	1
29	0
420	1
12	565
0	589
0	608
0	603
0	473
2	542
0	548
31	35
2	41
3	609
2	54
0	477
1	48
0	19
0	45
0	603
1	393
0	30
0	513
2	452
5	18
1	16
0	469
2	87
1	9
0	31
0	99
0	117
0	154
2	49
0	27
0	28
0	0
0	2
1	0
0	2
0	2
0	0
0	0
0	0
1	0
2	2
41	1806
0	1576
0	1536
0	1523
1	1389
0	1271
0	1271
0	1271
0	424
4	1
17	875
14	11404
0	11253
8	2874
30	811
1	0
0	0
0	0
106	1211
0	996
0	195
0	802
1	944
1	767
0	992
0	1060
0	909
0	956
4	23
0	93
0	37
0	13
1	145
0	28
0	36
0	181
2	166
11	169
1	25
0	15
9	15
266	909
0	1
3	2
0	0
0	0
88	844
138	107
10	722
0	574
1	1703
0	1656
2	1439
0	764
18	18
7	335
0	162
0	97
3	300
5	145
1	82
0	238
3	386
2	276
0	278
6	166
0	0
60	37623
2	33668
139	38784
29	2889
1	7347
16	3534
17	6373
3	3672
0	125
3	564
6	55
1	52
0	23
1	33
0	3
0	3
1	4
0	2
0	43
0	42
0	16
1	7
1	2
0	1
0	26
0	3
0	29
0	4
0	1
1	16
0	13
0	0
4	12
1	2
5	5
1	5
1	118
1	250
0	146
0	157
0	217
3	151
0	41
0	215
1	214
0	152
2	0
0	246
0	89
0	54
1	113
0	55
0	72
0	22
0	134
0	0
0	0
4	2693
0	138
0	0
0	0
0	0
0	1
270	2728
0	148
2	2561
0	301
0	525
0	327
0	514
0	330
3	641
0	610
0	375
2	207
0	122
1	443
7	31
0	2465
0	619
0	1859
0	1563
0	105
1	0
62	0
4	0
1	245
4	248
11	328
0	344
3	126
159	171
0	70
0	129
1	117
6	116
2	104
2	58
0	204
0	2
1	0
0	0
2877	52
0	1
0	14
9	35
0	9
5	9
4	103
1	81
1	103
0	4
76	13
2	7
18	55
0	65
19	4
0	7
1	9
4	0
17	3
0	3
22	0
3	2423
0	136
2	2853
0	562
4	17
12	1330
8	491
61	846
2	337
7	779
0	799
0	671
0	675
1	81
0	17
1	4
0	1
0	10
1	8
3	858
8	849
0	848
0	854
3	749
5	320
22	307
0	0
0	0
14	545
0	427
1	260
0	76
1	28
1	5
6	11
0	29
0	177
0	49
7	5
0	7
225	1
1	63
0	63
0	0
0	0
0	0
0	0
0	0
0	0
0	5
0	6
1	6
0	6
0	5
0	14
0	11
3	2
0	2
2	5
7	9
0	12
0	2
0	4
1	0
1	2
0	0
3	0
0	0
0	259
0	243
0	1862
1	1776
0	1913
0	1796
0	404
0	1818
0	423
0	54
0	24
0	98
5	1763
1	19
2	1751
0	3
0	62
0	48
0	47
0	0
0	1
0	5
0	6
0	0
42	0
56	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	1
0	0
0	0
0	0
0	1
0	48
0	3
0	59
46	63
0	50
0	43
0	0
0	50
0	20
0	1
0	0
0	0
2	0
0	0
1	0
0	0
11	28
0	28
0	28
0	5
0	1
0	4
4	19
1	0
115	83
2	81
2	22
1	43
0	2
0	3
0	1
0	0
0	11
0	5
0	11
0	5
0	11
0	4
0	4
350	1755
0	1754
29	249
5	249
73	14
3	155
0	43
0	32
2	6
0	114
0	79
0	16
0	33
0	29
0	12
0	29
0	30
0	6
0	7
0	11
0	9
0	32
0	5
0	0
0	9
0	4
0	0
0	0
0	150
0	60
0	475
0	365
0	552
9	986
0	260
0	20
0	565
0	33
0	574
3	625
2	761
0	700
0	329
0	426
0	442
2	414
0	451
1	566
0	323
1	72
1	85
0	35
0	419
0	341
4	62
0	313
1	14
0	0
0	0
0	0
0	0
1	10
0	3
0	10
1	2
1985	658
0	656
0	191
0	0
7	0
3	1345
2	1492
0	1527
0	1523
1	1359
2	1485
4	1484
9	1415
0	1377
1	1433
3	1356
0	1460
0	1519
0	1270
0	1276
0	1258
0	12
0	910
0	448
1	883
0	59
0	130
3	514
0	274
0	127
3	71
0	4
0	203
1	187
2	196
1	200
0	200
0	204
1	200
0	200
2	6
3	40
7	401
3	384
0	404
0	396
0	376
0	368
0	367
0	365
0	368
0	197
0	27
0	0
0	0
3	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	120
5	119
3	397
5	457
1	421
3	371
5	7
0	26
20	27
0	266
4	21
0	308
0	333
3	2469
0	2360
1	2421
0	36
0	74
0	0
0	27
0	0
0	233
0	75
0	199
0	2216
0	450
0	0
0	504
0	2256
0	80
0	1445
0	2335
0	79
0	2112
1	298
0	154
0	760
0	2147
0	63
0	78
1	1991
1	35
0	11
0	2333
0	2416
0	750
0	944
0	152
0	3
0	2141
0	95
12	1015
99	1683
0	49
1	9
0	159
0	1707
1	1371
0	1711
811	2312
0	125
0	1464
0	1002
0	1826
0	112
2	1729
7194	6125
48	6042
0	5610
5	3775
3	3152
0	1713
23	1721
0	0
3	1
25	198
0	2
9	4
21	204
0	1
0	0
0	25
4	27
1856	3844
5	213
84	3625
3	1449
4	20
1	9
1	19
58	0
3846	7
3	4999
0	5019
0	4841
0	4841
24	4841
0	4200
1	4200
0	5002
0	2695
1	16
0	0
10	4
0	4
0	2
137	3
0	3
1	0
0	48
1	23
0	2
0	3
0	8
0	0
0	0
0	13
0	5
0	0
0	26
0	1
0	5
0	4
0	12
0	3
0	0
0	0
2	73
0	85
0	106
100	152
0	72
0	72
0	72
0	58
0	21
0	8
1	41
0	12
0	10
0	34
0	30
3	2
0	29
0	29
0	26
1	40
0	6
1	364
11	580
0	678
1	685
0	678
0	629
0	686
0	678
1	684
0	654
1	698
0	698
0	698
0	698
0	673
5	514
0	622
1	106
0	26
0	95
0	20
0	34
0	9
0	80
0	80
2	29
0	36
0	29
0	0
1136	130
3	102
0	32
1	23
4	8
0	0
0	0
0	0
0	0
0	0
0	0
9	495
0	160
2	125
0	150
26	262
2	91
0	181
0	69
0	480
25	438
0	108
0	98
0	36
1124	133
0	127
103	342
1	0
13	275
111	59
0	234
3	205
8	153
1	47
4	718
0	2571
0	2371
0	1549
0	1742
3	2224
0	2112
1	2140
2	2289
5	1088
0	1559
0	1985
0	2370
2	1282
11	1833
0	581
0	492
17	457
0	188
0	436
0	148
0	397
0	290
4	290
4	169
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
5	258
1384	1334
10	223
16	341
33	114
1	222
1	187
1	154
0	76
0	90
1	73
0	78
4	7
84	1298
0	892
0	141
0	0
0	0
0	0
0	0
0	0
0	0
0	0
93	0
18	0
9	0
376	67
33	66
2	16
4	0
0	260
0	36
0	260
0	252
1	244
0	4
0	4
1	3
0	5
0	0
1	2
0	2
0	1
0	9
0	9
0	1
0	2
0	1
0	0
0	3809
13	417
14	4966
9	2914
269	4983
0	1377
1	4846
0	4194
0	1244
2	2221
0	0
13	1
5	0
1	0
0	53
1413	711
31	623
19	390
6	214
3	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
14	297
1	297
0	226
0	58
0	0
22	10375
80	10401
8	8498
1	187
0	4604
3	4602
0	217
3	3874
1	233
2	586
0	55
0	53
6	43
0	294
5	2130
12	2104
0	20
0	138
28	36
19	228
0	0
0	0
0	0
0	0
0	0
0	1
2	0
0	0
0	0
0	0
0	0
61	18999
42	14900
1	15154
5	16146
8	15236
2	6154
1	5982
0	5355
11	2383
0	3996
0	929
0	865
1	876
4	1237
29	1310
0	0
0	0
7	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
127	3
0	0
0	3
52	0
3	0
0	0
0	0
0	0
0	1
0	5
0	4
2	5
0	0
0	4
212	253
0	235
0	163
364	253
0	168
0	253
0	200
4	0
13	3
0	3
0	1
0	0
0	0
0	0
890	441
1	0
8	527
523	201
2	464
1	1
3	51
35	1661
0	1640
2	1
1	878
0	12
1	28
0	0
0	0
57	0
59	15441
2	15239
5	5097
79	12747
1	15726
0	1034
0	0
0	0
0	0
1304	987
9	989
0	461
0	286
0	0
0	0
11	255
2244	1134
0	1107
9	803
0	63
0	0
3	109
0	276
134	295
0	23
0	9
0	0
0	0
0	0
0	17
0	8
0	8
121	3263
2	4103
1	4106
1	259
0	26
0	432
4	257
0	135
1	481
0	27
0	0
0	0
0	0
0	9274
0	9156
0	50395
0	1965
0	29658
20	29017
0	28880
0	28900
0	50341
0	9000
1	102
5	1661
0	40582
460	40113
3	39929
2	3
2	168
0	547
0	1972
0	1956
20	8047
1	454
0	0
0	15
0	8
0	0
0	0
1	0
0	21
34	298
0	298
0	216
1	2796
4	6
2039	6495
5	1187
0	1810
3	1998
23	2167
2	447
0	2010
0	343
0	0
5	108
3	38
12	232
5	183
0	40
40	325
0	14
91	233
3	179
2	194
5	34
2859	466
6	289
202	475
0	0
1	1
520	148
1	143
1	0
0	0
0	0
2118	2395
0	162
12	111
14	2116
4	31
107	1594
19	381
0	171
0	0
4	0
0	0
0	1
0	2
0	2
0	0
0	2
0	0
0	464
0	1954
0	667
0	696
4	824
0	212
1	400
0	443
19	2659
0	737
1	436
1	1329
