UniqueCount	AmbigCount
1	3
0	0
0	927
0	0
0	16
0	21
0	0
0	3
0	1
0	0
0	5
0	1
1	0
24	128
0	11
8	7
0	20
0	3
0	68
0	3
11	217
19	7
0	43
255	68
0	65
53	674
24	77
8	17
38	130
0	0
0	0
0	0
31	866
5	267
2	340
15	307
0	253
0	170
352	171
4	0
0	49
0	0
0	0
0	1
0	8
0	15
16	13
0	62
26	54
42	88
0	50
0	10
3	4
1	356
0	169
1	240
26	281
0	137
11	97
12	37
0	151
0	98
22	49
1	95
13	29
10	51
5	66
0	62
20	98
0	0
0	5
0	2
43	269
3	65
0	16
0	40
1	32
4	33
9	24
0	26
0	31
2	114
0	58
0	0
1	19
0	67
0	44
0	14
0	1
0	1
13	1159
535	15532
286	28403
7	0
8	1322
0	10
5401	6492
10	1178
0	0
0	1
408	1552
0	218
0	15
0	15
0	0
0	0
0	19
0	9
0	11
0	10
0	9
0	2
0	1
0	9
0	9
0	10
0	9
0	10
0	11
0	10
0	2
0	2
18	2
0	2
2	2
0	4
0	0
0	0
0	0
0	3
0	10
0	2
0	2
0	0
0	2
3	17
0	26
12	26
0	0
19	19
0	15
9	6
0	28
0	1469
0	1591
1324	6223
53	182
0	5891
39	147
0	3502
0	6287
54	99
1	6341
0	3459
1	1771
2	1364
2	431
3	1249
0	105
1	14
0	1705
1	1746
1	1651
1	202
0	32
1	236
2	791
3	1746
0	3242
0	3531
0	1502
0	41
0	1737
0	1508
0	40
0	50
0	98
0	30
0	1159
9	132
20	1
12	34
9	34
14	27
2	1
0	26
1	0
0	0
24	0
294	8
0	8
365	210
0	164
0	52
0	977
3	958
4	96
17	897
0	451
0	460
0	483
1	346
0	399
0	782
8	288
0	2
0	57
0	4
0	6
333	2922
1	1149
55	2639
0	0
11	978
18	28
293	71
48	23
33	48
16	1
6	3
0	2
0	3
0	0
0	0
0	3
0	3
0	1
0	2
125	0
21	213
58	192
134	120
3	90
0	56
2	38
18	53
0	0
0	0
0	6851
1	7368
0	7175
0	6658
0	72
7	295
30	237
0	50
14	122
412	2471
2	229
1	188
0	219
0	160
2	196
0	215
10	189
3	188
1	3
4	117
0	88
2	0
0	0
0	106
4	95
1	108
0	108
23	81
0	106
1	108
0	12
1	67
2	39
0	31
0	32
1	15
1	11
0	2
0	7
0	5
1	6
1	3
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
16	1873
8	2157
2	1543
0	1873
53	902
3	687
1	684
0	239
1355	0
0	2
0	1
1	2
0	0
0	0
4	0
0	1483
12	1642
0	1488
2	1017
0	931
0	1006
3	888
9	228
0	830
0	735
0	202
0	235
0	214
0	100
0	115
0	39
0	30
1	57
4	65
21	5
3	0
14	0
0	91
0	74
9	81
0	81
1	2
0	75
6	2
0	14
167	2782
14	2908
23	1744
0	1673
5	18
0	179
3	347
3	35
59	639
1	346
116	137
0	164
0	5
0	0
41	285
5	94
3	27
0	161
8	155
3	613
0	1264
0	1252
0	886
0	161
0	1044
0	1293
0	897
96	794
2	352
1	774
0	1256
6	901
0	762
0	1011
0	1160
0	294
0	158
1	73
0	922
0	169
0	351
0	332
4	204
2	245
1	426
0	15
15	116
0	474
8	253
0	269
0	401
1	340
0	337
0	20
2	9
0	182
0	340
0	251
36	175
1	164
1	193
0	85
