UniqueCount	AmbigCount
1	8
0	0
4	2577
0	0
1	16
0	36
0	2
0	1
0	0
0	0
0	3
0	1
0	6
33	220
0	10
6	7
0	14
0	4
0	123
0	7
2	370
21	19
0	51
228	120
2	106
87	1109
29	95
6	26
32	163
0	0
0	0
0	0
118	2203
7	343
1	453
18	372
1	363
0	236
465	249
3	2
0	83
0	0
0	0
0	0
0	0
0	9
19	14
0	96
34	113
90	153
0	88
0	34
4	5
3	599
0	282
0	347
45	451
0	278
6	199
14	80
1	235
0	220
20	44
0	89
11	27
4	76
10	101
0	48
9	133
0	0
0	9
0	5
84	469
4	54
0	11
0	70
1	25
2	26
6	20
0	19
0	24
3	206
0	91
0	0
1	21
0	143
0	81
0	42
0	0
0	0
11	2034
950	22765
310	33537
11	0
21	2374
3	19
11525	13868
10	2165
0	0
0	5
645	2669
0	409
0	35
0	35
0	0
0	0
0	19
0	17
0	17
0	9
0	16
0	6
0	2
0	16
0	16
0	24
0	15
0	16
0	17
0	9
0	12
0	9
41	2
0	5
2	5
0	9
0	0
0	0
0	0
0	4
0	9
0	1
0	1
0	0
0	1
8	36
2	27
24	28
0	1
11	29
0	28
10	4
2	37
1	1225
1	1334
1145	5196
38	206
4	4953
42	150
0	2858
0	5266
58	114
3	5302
0	2830
0	1486
15	1178
6	421
8	1096
2	121
1	26
1	1447
0	1467
0	1359
0	214
0	47
0	209
3	744
3	1487
0	2657
0	2881
1	1280
0	53
0	1470
0	1287
2	53
0	52
0	124
0	50
0	998
3	113
13	2
5	21
12	21
33	28
0	5
2	25
4	1
8	0
24	0
364	11
1	11
401	205
0	164
0	42
0	1222
1	1200
1	111
9	1143
0	571
0	588
0	621
0	427
0	474
1	991
14	365
0	5
0	84
1	13
1	29
357	3133
5	1216
88	2860
0	0
13	1065
19	44
605	139
71	41
51	98
43	4
11	17
1	11
1	17
0	0
0	1
0	3
0	3
0	1
0	2
138	0
22	300
43	264
147	168
3	130
1	139
2	92
42	136
0	1
1	0
0	8112
1	8485
0	8118
0	7745
0	81
17	345
33	352
1	79
19	183
345	2695
0	234
0	151
0	177
0	146
6	165
1	176
17	162
0	159
0	2
2	107
2	65
0	0
1	0
1	161
2	153
1	176
0	166
34	121
2	158
4	164
0	20
1	112
1	67
0	52
0	56
1	18
7	12
0	8
0	7
0	5
3	6
0	3
0	0
0	0
0	0
0	0
0	0
0	0
4	2
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
21	2059
15	2429
8	1707
0	2059
103	1158
5	890
2	729
0	250
1537	5
0	1
0	1
2	2
3	0
0	1
9	1
4	1847
5	2048
0	1852
4	1258
1	1137
0	1238
5	1093
9	264
0	987
0	893
3	229
0	278
0	289
0	159
0	165
1	60
0	43
0	82
7	91
36	10
2	1
26	1
0	176
1	153
13	172
2	173
1	23
2	155
3	0
5	32
286	3673
23	3868
