UniqueCount	AmbigCount
0	7
0	1
1	1257
0	0
0	19
0	23
0	0
0	2
0	0
0	0
0	3
0	1
1	2
31	176
0	16
8	11
0	20
0	7
0	95
7	1
4	345
23	4
0	56
443	112
1	107
67	931
42	99
4	27
47	167
0	0
0	1
0	1
48	1160
7	319
2	410
15	346
0	309
0	201
407	206
3	0
0	73
0	0
0	0
0	0
0	4
0	10
17	11
0	74
14	70
57	86
0	55
0	23
10	12
2	442
0	215
0	292
35	367
0	170
20	116
23	74
0	154
0	142
40	46
0	107
19	33
12	72
3	89
1	90
18	137
0	0
0	6
0	2
73	379
3	54
0	17
0	49
0	20
6	24
10	19
0	18
0	20
2	140
0	69
0	0
0	19
0	85
0	51
0	27
0	1
0	1
21	2037
871	22900
352	37729
7	0
12	2532
0	46
12047	14652
9	2433
0	0
0	2
531	2051
1	294
0	13
1	13
0	0
0	1
0	29
0	19
0	24
0	8
0	20
0	4
2	2
0	21
0	19
0	26
0	17
0	22
0	22
0	9
0	5
0	3
39	8
0	3
2	3
0	7
0	1
0	1
0	3
0	8
0	10
0	8
0	8
0	4
0	6
13	39
0	31
21	31
0	2
16	13
0	13
13	1
1	33
0	1302
0	1402
1130	5168
53	282
4	5018
58	153
0	2965
0	5261
45	119
0	5291
0	2929
0	1562
16	1251
1	452
3	1130
0	120
0	35
1	1544
0	1562
0	1432
0	239
0	53
0	224
3	780
11	1561
0	2766
0	2997
0	1387
0	69
0	1552
0	1375
0	69
0	54
0	158
0	56
0	1026
5	104
30	3
10	21
13	21
27	43
0	11
0	30
1	1
6	6
37	0
465	19
1	19
315	202
0	153
0	49
0	1095
8	1079
2	121
8	1001
0	507
0	519
0	550
1	356
0	440
0	834
13	298
0	4
0	65
0	6
2	18
397	3248
5	1213
66	2950
0	2
17	1102
17	38
429	102
68	25
28	77
32	6
6	21
0	21
1	21
0	0
0	5
0	1
0	1
0	1
0	0
161	0
34	266
57	226
142	138
1	91
3	136
0	86
49	131
0	0
0	0
0	10524
2	10902
0	10295
0	9917
0	96
12	432
33	367
1	76
19	196
337	3290
1	299
5	136
2	151
3	124
1	138
0	149
10	143
0	140
1	6
1	77
1	81
3	0
0	0
0	136
0	135
0	154
0	148
38	115
0	136
0	137
1	17
0	109
2	67
0	50
0	52
0	19
1	7
0	5
0	11
0	6
3	2
0	5
1	0
0	0
0	0
0	0
0	0
0	0
4	0
0	1
0	1
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
14	2129
14	2479
6	1768
0	2129
109	1131
13	872
2	784
0	269
1828	5
1	0
1	0
1	0
0	0
0	0
2	0
0	1925
7	2106
0	1935
6	1300
0	1200
0	1270
3	1129
18	332
0	1045
1	901
0	254
0	267
0	300
0	148
1	145
1	57
0	41
2	62
5	71
41	9
2	0
16	0
0	120
0	101
15	120
0	121
0	19
0	108
0	0
4	21
296	3389
26	3579
33	2195
0	2109
11	54
1	230
6	401
7	55
120	784
1	451
193	182
4	229
2	9
0	0
42	376
16	118
4	43
1	193
9	214
0	806
0	1610
0	1595
0	1093
0	211
0	1327
0	1642
0	1100
136	963
7	528
1	979
0	1600
2	1106
0	948
0	1241
0	1454
1	374
0	183
2	95
0	1205
0	198
0	441
1	406
4	277
0	296
0	538
0	22
12	132
0	649
2	331
0	376
0	542
0	466
0	463
1	14
2	8
0	252
0	451
1	351
49	254
0	208
0	246
0	102
1	83
0	88
0	129
0	14
1	19
3	14
0	0
22	0
14	131
525	218
7	98
58	1
6	1749
55	1751
42	398
0	468
8	209
1	119
7	203
0	0
0	873
1	1142
3	1177
3	669
4	1157
0	351
0	283
10	423
0	6
0	11
5	1218
11	1193
48	1186
38	1204
4	50
0	24
1	0
1	2430
52	3202
4	2646
19	1703
13	5472
2	3165
4	3831
0	4297
0	1406
2	2101
5	594
6	547
2	504
8	819
0	1431
17	283
1	429
12	116
0	265
1	802
0	1018
0	981
0	802
0	910
0	968
0	1020
0	1020
0	744
0	1012
0	68
0	1012
0	737
0	1020
0	47
0	823
0	963
0	957
0	303
379	1376
4	1001
24	1163
9	88
15	383
3	121
0	7
189	32
0	108
1	108
3	112
0	34
9	23
1	0
133	0
0	0
0	0
0	0
0	0
0	77
1	454
78	530
2	17
18	78
1	2
0	2
1	489
0	296
80	459
2	59
44	255
34	165
5	5
0	1
0	5
1	1165
9	905
0	1099
0	986
0	1085
0	20
0	133
0	291
56	339
0	339
30	6
376	2886
5	2197
0	746
1967	190
2	20
51	20
0	0
912	3
45	1
934	2
28	913
2	915
0	945
0	948
0	750
4	859
0	875
44	62
2	77
1	948
2	51
1	727
1	73
1	19
1	74
0	946
1	640
0	40
0	823
2	725
4	25
7	24
0	774
4	143
16	39
0	37
7	124
1	194
0	253
0	86
0	42
1	42
1	0
0	5
5	3
1	3
0	3
0	2
0	3
0	3
3	2
0	2
68	2614
0	2335
0	2211
0	2264
0	2094
0	1912
0	1912
0	1912
0	600
8	0
30	1656
32	18022
1	17813
17	4716
48	1675
3	0
0	1
0	5
148	1617
0	1351
1	305
0	1090
1	1273
0	1006
0	1340
0	1414
0	1238
0	1219
11	33
1	126
0	42
0	6
3	191
1	26
0	44
2	250
1	206
17	244
0	28
1	44
16	43
488	1238
1	0
10	0
0	0
0	1
145	1589
245	198
31	1449
0	1103
3	2649
0	2576
1	2340
0	1217
21	18
2	501
0	251
0	148
3	450
4	203
3	126
0	354
5	476
3	344
5	347
2	246
0	2
65	56312
6	50965
192	57798
50	4804
4	11521
28	5325
16	8954
1	4864
0	148
6	779
4	35
0	33
0	15
1	21
0	0
0	0
1	0
0	0
3	94
0	91
0	20
0	19
3	7
0	1
0	47
5	10
0	50
0	10
0	1
3	34
0	25
0	5
6	22
0	4
20	21
0	21
0	175
2	351
0	195
0	219
0	304
3	215
0	63
0	279
5	274
0	213
1	0
2	333
0	117
0	63
4	170
0	71
0	107
0	32
0	178
0	0
0	0
4	3058
0	179
2	2
0	0
0	0
0	3
326	3108
0	204
2	2897
1	342
0	569
0	379
0	554
0	379
2	712
0	654
0	441
0	239
0	156
0	471
4	60
0	2793
2	667
7	2129
1	1784
3	111
0	0
98	2
19	2
3	369
1	371
17	535
0	571
0	254
238	305
0	148
0	284
4	246
4	246
5	234
0	85
0	334
0	1
2	0
0	0
5692	127
0	0
0	33
20	81
0	21
7	21
8	215
5	167
7	213
0	24
127	58
9	37
27	99
0	110
31	12
0	16
1	15
1	0
117	4
0	4
26	0
4	3810
0	294
4	4565
0	1083
2	31
9	2213
9	917
110	1581
5	578
7	1150
0	1190
0	1006
0	984
1	119
0	42
0	9
0	8
2	20
0	10
10	1075
9	1068
0	1065
0	1045
2	902
8	376
20	357
0	0
0	0
15	909
0	752
1	443
2	105
7	73
3	6
4	10
0	58
1	282
2	67
2	13
1	10
854	1
3	173
0	173
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	2
0	2
0	2
0	9
0	7
0	2
0	3
4	2
5	9
0	10
0	0
0	1
0	0
0	0
0	0
0	0
0	0
1	395
0	368
0	2678
4	2600
0	2765
0	2609
0	669
0	2671
0	617
0	116
0	64
1	176
3	2564
1	56
11	2513
0	10
0	135
0	95
1	116
0	1
1	1
0	17
0	17
1	0
72	0
79	1
0	1
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
2	8
1	6
0	9
0	0
0	8
5	18
0	5
0	6
1	0
5	6
0	189
0	20
2	229
189	237
0	182
0	157
0	0
0	168
0	57
1	2
0	0
0	0
3	0
0	0
0	0
0	0
28	122
0	122
0	119
0	18
0	7
0	15
10	86
6	0
368	485
25	430
4	37
0	369
0	20
0	31
4	14
0	0
0	17
0	7
0	17
0	7
0	17
0	5
0	2
387	2273
1	2272
30	455
20	455
124	38
7	249
0	98
3	55
0	12
0	186
0	122
0	23
0	115
0	105
0	42
0	106
0	105
0	32
0	31
0	46
0	39
0	119
0	34
0	0
0	41
0	10
0	0
0	0
0	239
0	67
0	768
0	567
0	905
25	1649
1	434
0	24
0	937
0	58
0	1061
11	1115
0	1326
1	1240
0	584
0	793
0	773
0	700
0	745
2	1051
0	615
0	152
0	154
0	58
0	624
0	533
11	78
0	523
0	25
0	0
1	2
0	2
0	2
3	12
0	8
0	10
2	2
3012	1043
1	1039
1	344
1	0
7	0
4	2007
0	2243
0	2310
0	2295
1	2040
0	2256
4	2258
11	2180
0	2068
0	2149
3	2012
0	2160
0	2272
1	1950
1	1977
0	1941
3	38
1	1438
0	742
3	1389
1	96
0	222
0	761
0	419
0	214
5	132
0	30
1	363
1	348
2	332
2	343
0	343
0	353
0	341
0	337
1	9
7	55
12	652
17	646
0	661
0	649
0	640
0	605
0	605
0	601
0	604
2	313
0	48
0	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
