"","count","condition","treatment"
"CTRL_chx_1",13.4698076066616,"0","1"
"CTRL_chx_2",20.7851995758313,"0","1"
"CTRL_chx_3",7.11847414943778,"0","1"
"CTRL_chx_4",10.3817923725959,"0","1"
"CTRL_ctrl_1",16.5437046439909,"0","0"
"CTRL_ctrl_2",15.0625968182094,"0","0"
"CTRL_ctrl_3",25.0141968618092,"0","0"
"CTRL_ctrl_4",18.8976714872697,"0","0"
"DOX_chx_1",7.14770907364393,"1","1"
"DOX_chx_2",25.4632017763253,"1","1"
"DOX_chx_3",17.7486826247143,"1","1"
"DOX_chx_4",13.3669382395715,"1","1"
"DOX_ctrl_1",4.41394815996483,"1","0"
"DOX_ctrl_2",7.79747915161731,"1","0"
"DOX_ctrl_3",3.45627153709479,"1","0"
"DOX_ctrl_4",3.04025711510127,"1","0"
