"","count","condition","treatment"
"CTRL_chx_1",260.760805973675,"0","1"
"CTRL_chx_2",335.64677560069,"0","1"
"CTRL_chx_3",274.693929048137,"0","1"
"CTRL_chx_4",284.376944521845,"0","1"
"CTRL_ctrl_1",186.606973870295,"0","0"
"CTRL_ctrl_2",233.501549091351,"0","0"
"CTRL_ctrl_3",226.234896102493,"0","0"
"CTRL_ctrl_4",217.183686405621,"0","0"
"DOX_chx_1",201.83061765893,"1","1"
"DOX_chx_2",286.842608610791,"1","1"
"DOX_chx_3",207.484191496571,"1","1"
"DOX_chx_4",169.914686821025,"1","1"
"DOX_ctrl_1",31.8115852797187,"1","0"
"DOX_ctrl_2",68.6098054150949,"1","0"
"DOX_ctrl_3",58.6400068961975,"1","0"
"DOX_ctrl_4",109.731055949354,"1","0"
