"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensgene","symbol"
"ENSG00000000003.15",1608.63076584832,-0.256574319583418,0.081022551567443,-3.16670253676035,0.00154177939822916,0.00995890496468355,"ENSG00000000003","TSPAN6"
"ENSG00000000419.14",1807.20869218663,-0.09270684302891,0.0473692586694199,-1.9571098563288,0.0503345538643102,0.148687890707424,"ENSG00000000419","DPM1"
"ENSG00000000457.14",1122.89159510653,0.210562530311415,0.0567762483007358,3.70863761895811,0.000208377397682444,0.00188571125450525,"ENSG00000000457","SCYL3"
"ENSG00000000460.17",289.86832168927,0.514186023664617,0.121890172116201,4.21843709576874,2.46001580318134e-05,0.000295559456818269,"ENSG00000000460","C1orf112"
"ENSG00000001036.14",1507.25975233329,0.188461745752944,0.0429750839620614,4.38537236877347,1.15787533207424e-05,0.000151328142846991,"ENSG00000001036","FUCA2"
"ENSG00000001084.13",1375.49946527277,-0.0115298911189422,0.0484914760721451,-0.23777150239329,0.812058322650265,0.899072340614398,"ENSG00000001084","GCLC"
"ENSG00000001167.15",4732.35827538772,0.0567858436834802,0.0463575499825643,1.22495351253115,0.220592736377154,0.409695826593818,"ENSG00000001167","NFYA"
"ENSG00000001460.18",1529.36751268637,0.357786095783749,0.14381638758293,2.4877978219098,0.0128536781433053,0.0534966897019497,"ENSG00000001460","STPG1"
"ENSG00000001461.17",4213.59034373443,0.226944116101421,0.0857082379140491,2.64786818192445,0.00810011025284523,0.0373394004835626,"ENSG00000001461","NIPAL3"
"ENSG00000001497.18",1367.5906767868,0.195729706219717,0.0770776634418565,2.53938297399694,0.0111048189547297,0.0477449075022521,"ENSG00000001497","LAS1L"
"ENSG00000001561.7",1230.26193640053,-0.000514119151066105,0.0767175598115315,-0.00670145338732251,0.994653053828772,0.997738211446017,"ENSG00000001561","ENPP4"
"ENSG00000001617.12",907.683260351308,-0.018752403979719,0.0629708615898067,-0.297794940489658,0.765859676365455,0.872463628009488,"ENSG00000001617","SEMA3F"
"ENSG00000001629.10",5767.6752996174,0.123267585439555,0.0393937372154394,3.12911630509744,0.00175332893978062,0.011035292144335,"ENSG00000001629","ANKIB1"
"ENSG00000001630.18",16572.2152089944,0.0175043951229014,0.0376625994795524,0.464768639573189,0.642097147943197,0.790680557885362,"ENSG00000001630","CYP51A1"
"ENSG00000001631.17",1915.49415594563,-0.122762999352174,0.060497092275219,-2.0292380135179,0.0424340534649307,0.131567849190216,"ENSG00000001631","KRIT1"
"ENSG00000002016.18",741.215332710809,0.640441935279753,0.104155049765203,6.14892832103196,7.80082199973803e-10,2.72457442182399e-08,"ENSG00000002016","RAD52"
