Treatment,Gene,Value,Replicate,M_Value,Avg,
CHX,HNRNPL,286,1,286,,
CHX,HNRNPL,377,2,377,,
CHX,HNRNPL,239,3,455.1,,
CHX,HNRNPL,311,4,311,,
CHX,HNRNPL,352,5,352,,
CHX,HNRNPL,237.6,6,237.6,,
CHX,HNRNPL,239,7,239,,
CHX,STMN2,140,1,140,,
CHX,STMN2,209,2,209,,
CHX,STMN2,96.3,3,96.3,,
CHX,STMN2,73,4,73,,
CHX,STMN2,121,5,121,,
CHX,STMN2,110.4,6,110.4,,
CHX,STMN2,120,7,120,,
CHX,UNC13A,625,1,625,,
CHX,UNC13A,146,2,281,,
CHX,UNC13A,740.3,3,740.3,,
CHX,UNC13A,1376,4,851.3,,
CHX,UNC13A,950,5,950,,
CHX,UNC13A,807.9,6,807.9,,
CHX,UNC13A,1490,7,893,,
CHX,UNC13B,177,1,177,,
CHX,UNC13B,83.2,2,83.2,130.1,
CHX,UNC13B,505,3,505,,
CHX,UNC13B,458.5,4,213.9,482.6333333,
CHX,UNC13B,729,5,729,,
CHX,UNC13B,,,117.7,,
CHX,UNC13B,,,265.4,191.5345331,
CHX,UNC13B,,,70.4,,
CHX,UNC13B,,,198.9,134.6245682,
DMSO,HNRNPL,100,1,100,,
DMSO,HNRNPL,100,2,100,,
DMSO,HNRNPL,100,3,100,,
DMSO,HNRNPL,100,4,100,,
DMSO,HNRNPL,100,5,100,,
DMSO,HNRNPL,100,6,100,,
DMSO,HNRNPL,100,7,100,,
DMSO,STMN2,100,1,100,,
DMSO,STMN2,100,2,100,,
DMSO,STMN2,100,3,100,,
DMSO,STMN2,100,4,100,,
DMSO,STMN2,100,5,100,,
DMSO,STMN2,100,6,100,,
DMSO,STMN2,100,7,100,,
DMSO,UNC13A,100,1,100,,
DMSO,UNC13A,100,2,100,,
DMSO,UNC13A,100,3,100,,
DMSO,UNC13A,100,4,100,,
DMSO,UNC13A,100,5,100,,
DMSO,UNC13A,100,6,100,,
DMSO,UNC13A,100,7,100,,
DMSO,UNC13B,100,1,100,,
DMSO,UNC13B,100,2,100,,
DMSO,UNC13B,100,3,100,,
DMSO,UNC13B,100,4,100,,
DMSO,UNC13B,100,5,100,,
DMSO,UNC13B,,,100,,
DMSO,UNC13B,,,100,,
DMSO,UNC13B,,,100,,
DMSO,UNC13B,,,100,,
