Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ADAR	gene	ADAR	Expert Review Green;Literature	Structural basal ganglia disorders	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	"Aicardi-Goutieres syndrome 6	615010"				23001123		False	3	100;0;0	1.32	False		ENSG00000160710	ENSG00000160710	HGNC:225													
AP1S2	gene	AP1S2	Emory Genetics Laboratory;Expert Review Green;Radboud University Medical Center, Nijmegen	Structural basal ganglia disorders	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Pettigrew syndrome, OMIM:304340				10398241;17186471;17617514;22210230;23756445;30383884;30714330		False	3	100;0;0	1.32	False		ENSG00000182287	ENSG00000182287	HGNC:560													
ATP13A2	gene	ATP13A2	Expert Review Green;Literature	Structural basal ganglia disorders	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	"Kufor-Rakeb syndrome	606693"				21060012		False	3	100;0;0	1.32	False		ENSG00000159363	ENSG00000159363	HGNC:30213													
ATP7B	gene	ATP7B	Expert Review Green;Literature	Structural basal ganglia disorders	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	"Wilson disease	277900"						False	3	100;0;0	1.32	False		ENSG00000123191	ENSG00000123191	HGNC:870													
BCS1L	gene	BCS1L	Expert Review Green;Literature	Structural basal ganglia disorders	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal							False	3	100;0;0	1.32	False		ENSG00000074582	ENSG00000074582	HGNC:1020													
C19orf12	gene	C19orf12	Expert Review Green;Literature	Structural basal ganglia disorders	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	?Spastic paraplegia 43, autosomal recessive, OMIM:615043;Neurodegeneration with brain iron accumulation 4, OMIM: 614298				23269600;21981780;29295770;31087512		False	3	100;0;0	1.32	False		ENSG00000131943	ENSG00000131943	HGNC:25443													
COASY	gene	COASY	Expert Review Green;Literature	Structural basal ganglia disorders	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	"Neurodegeneration with brain iron accumulation 6	615643"				27021474;24360804		False	3	100;0;0	1.32	False		ENSG00000068120	ENSG00000068120	HGNC:29932													
COX10	gene	COX10	Expert Review Green;Literature	Structural basal ganglia disorders	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal					10767350		False	3	67;0;33	1.32	False		ENSG00000006695	ENSG00000006695	HGNC:2260													
COX15	gene	COX15	Expert Review Green;Literature	Structural basal ganglia disorders	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal							False	3	100;0;0	1.32	False		ENSG00000014919	ENSG00000014919	HGNC:2263													
CP	gene	CP	Expert Review Green;Literature	Structural basal ganglia disorders	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	"Cerebellar ataxia	604290;Hemosiderosis, systemic, due to aceruloplasminemia	604290;[Hypoceruloplasminemia, hereditary]	604290"						False	3	100;0;0	1.32	False		ENSG00000047457	ENSG00000047457	HGNC:2295													
