gene_name,gene_id,lsv_id,mean_dpsi_per_lsv_junction,probability_changing,probability_non_changing,ControlControl_mean_psi,ControlTDP43KD_mean_psi,lsv_type,num_junctions,num_exons,de_novo_junctions,seqid,strand,junctions_coords,exons_coords,ir_coords,ucsc_lsv_link
SCYL3,ENSG00000000457.14,ENSG00000000457.14:t:169854270-169854964,0.1082;-0.1082,5.571e-01;5.571e-01,5.954e-02;5.954e-02,0.8219;0.1781,0.9439;0.0561,t|1e1.1o1|1e2.2o2,2,3,0;0,chr1,-,169854964-169859041;169854964-169855796,169854270-169854964;169855796-169855963;169859041-169859212,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A169859212-169854270
FKBP4,ENSG00000004478.8,ENSG00000004478.8:s:2795657-2796368,0.1247;-0.1247,6.046e-01;6.046e-01,4.485e-02;4.485e-02,0.0387;0.9613,0.1709;0.8291,s|1e1.1o1|i,2,2,0;1,chr12,+,2796368-2797138;2796369-2796680,2795657-2796368;2797138-2797282,2796369-2796680,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A2797282-2795657
RBM6,ENSG00000004534.15,ENSG00000004534.15:s:49962576-49963027,0.0183;0.0000;0.0000;0.1129;-0.0542;-0.0714;0.0000;0.0000,1.516e-02;6.901e-21;6.936e-21;6.084e-01;1.470e-01;2.669e-01;6.901e-21;2.187e-09,5.718e-01;1.000e+00;9.962e-01;4.214e-02;2.793e-01;1.810e-01;1.000e+00;9.348e-01,0.0982;0.0002;0.0233;0.5210;0.1200;0.2011;0.0031;0.0336,0.1251;0.0002;0.0262;0.6392;0.0552;0.1188;0.0002;0.0329,s|1e1.1o3|1e1.2o3|1e1.3o3|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|i,8,6,0;1;1;0;0;0;0;1,chr3,+,49962685-49967198;49962685-49967310;49962685-49967333;49962685-49967470;49962685-49972059;49962685-50048245;49962685-50054335;49963028-49967197,49962576-49963027;49967198-49967365;49967470-49968748;49972059-49972148;50048245-50048348;50054016-50054395,49963028-49967197,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A50054395-49962576
RBM6,ENSG00000004534.15,ENSG00000004534.15:s:50061462-50061748,0.1066;-0.0000;-0.1002,5.591e-01;6.901e-21;5.220e-01,5.599e-02;1.000e+00;5.758e-02,0.6620;0.0129;0.3243,0.7699;0.0066;0.2250,s|1e1.1o1|2e1.1o1|i,3,2,0;1;0,chr3,+,50061547-50061962;50061748-50061962;50061749-50061961,50061462-50061748;50061962-50062108,50061749-50061961,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A50062108-50061462
RBM6,ENSG00000004534.15,ENSG00000004534.15:t:50048245-50048348,-0.0483;-0.0917;0.1634;0.0000;-0.0030,6.122e-02;4.181e-01;9.192e-01;7.062e-21;2.277e-03,3.920e-01;1.092e-01;1.339e-03;1.000e+00;8.780e-01,0.1321;0.2009;0.5807;0.0089;0.0784,0.0801;0.0998;0.7471;0.0083;0.0651,t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1,5,6,0;0;0;1;0,chr3,+,49962685-50048245;49975392-50048245;49999513-50048245;50046833-50048245;50047326-50048245,49962576-49963027;49975323-49975392;49999440-49999513;50046716-50046833;50047109-50047326;50048245-50048348,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A50048348-49962576
ARHGAP33,ENSG00000004777.18,ENSG00000004777.18:s:35784832-35785106,-0.1194;0.1194,6.174e-01;6.174e-01,4.504e-02;4.504e-02,0.9582;0.0418,0.8265;0.1735,s|1e1.1o1|1e2.1o1,2,3,0;0,chr19,+,35785106-35785189;35785106-35785409,35784832-35785106;35785189-35785334;35785409-35785483,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A35785483-35784832
MCUB,ENSG00000005059.16,ENSG00000005059.16:t:109685251-109685367,0.0116;0.0697;-0.1090,2.917e-02;2.976e-01;5.270e-01,5.817e-01;1.586e-01;6.247e-02,0.0277;0.0087;0.9636,0.0570;0.1133;0.8258,t|1e1.1o1|1e2.1o2|1e2.2o2,3,3,1;1;0,chr4,+,109682742-109685251;109684549-109685251;109684646-109685251,109682582-109683194;109684440-109684646;109685251-109685367,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr4%3A109685367-109682582
FAM214B,ENSG00000005238.20,ENSG00000005238.20:t:35108594-35108737,-0.0002;0.0007;-0.0167;-0.0018;0.1726;0.0000;-0.0100;-0.1239,2.331e-06;2.579e-05;6.783e-02;6.392e-05;7.911e-01;1.207e-05;3.205e-03;6.251e-01,9.881e-01;9.709e-01;4.240e-01;9.305e-01;1.430e-02;9.590e-01;7.193e-01;4.254e-02,0.0119;0.0007;0.1540;0.0293;0.4608;0.0160;0.0431;0.2676,0.0128;0.0214;0.1318;0.0049;0.6515;0.0226;0.0173;0.1285,t|1e1.1o2|1e1.2o2|1e2.1o3|1e2.2o3|1e2.3o3|1e3.1o1|1e4.1o2|1e4.2o2,8,5,0;1;0;1;0;0;1;0,chr9,-,35108737-35116262;35108737-35115959;35108737-35115805;35108737-35115793;35108737-35115671;35108737-35112330;35108737-35111567;35108737-35111269,35108594-35108737;35111269-35111588;35112330-35112392;35115671-35115862;35115959-35116341,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr9%3A35116341-35108594
CROT,ENSG00000005469.12,ENSG00000005469.12:t:87359206-87360116,-0.1524;0.1524,6.850e-01;6.850e-01,2.738e-02;2.738e-02,0.9868;0.0132,0.7905;0.2095,t|1e1.1o1|1e2.1o1,2,3,0;0,chr7,+,87349183-87359206;87357590-87359206,87349048-87349183;87357507-87357590;87359206-87360116,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A87360116-87349048
MYCBP2,ENSG00000005810.19,ENSG00000005810.19:s:77139196-77139336,0.0601;-0.1401;0.0050;0.0439,2.984e-01;6.722e-01;5.165e-03;1.921e-01,1.582e-01;3.133e-02;7.039e-01;2.403e-01,0.2340;0.5047;0.0291;0.2248,0.3324;0.3270;0.0439;0.2857,s|1e1.1o1|1e2.1o2|1e2.2o2|1e3.1o1,4,4,0;0;1;0,chr13,-,77129230-77139196;77126542-77139196;77126485-77139196;77125468-77139196,77125336-77125468;77126318-77126542;77129156-77129230;77139196-77139336,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr13%3A77139336-77125336
CACNA2D2,ENSG00000007402.12,ENSG00000007402.12:s:50365075-50365184,-0.0569;0.1038;-0.0470,2.174e-01;5.603e-01;1.612e-02,2.110e-01;5.295e-02;4.615e-01,0.4047;0.5230;0.0772,0.3294;0.6344;0.0352,s|1e1.1o2|1e1.2o2|i,3,2,0;0;0,chr3,-,50364976-50365075;50364970-50365075;50364977-50365074,50364888-50364976;50365075-50365184,50364977-50365074,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A50365184-50364888
