Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ACTB	gene	ACTB	Expert Review Green;Radboud University Medical Center, Nijmegen	Early onset dystonia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders		Dystonia, juvenile-onset OMIM:607371;developmental malformations-deafness-dystonia syndrome MONDO:0011823;Baraitser-Winter syndrome 1 OMIM:243310;Baraitser-Winter syndrome 1 MONDO:0009470				31970217;29788902;28849312;27862284;29220674;25255767		False	3	100;0;0	1.117	False		ENSG00000075624	ENSG00000075624	HGNC:132													
ADAR	gene	ADAR	Emory Genetics Laboratory;Expert Review Green	Early onset dystonia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Aicardi-Goutieres syndrome 6, 615010;dystonia				28139822		False	3	100;0;0	1.117	False		ENSG00000160710	ENSG00000160710	HGNC:225													
ADCY5	gene	ADCY5	Expert Review;Expert Review Green	Early onset dystonia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Dyskinesia, familial, with facial myokymia, 606703; dystonia						False	3	100;0;0	1.117	False		ENSG00000173175	ENSG00000173175	HGNC:236													
ANO3	gene	ANO3	Expert;Expert Review Green;Radboud University Medical Center, Nijmegen	Early onset dystonia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Dystonia 24, 615034;familial form of cranio-cervical dystonia				"25847575;24442708;24151159 ""Low frequency missense variants in ANO3 occur in both cases and controls, warranting further assessment of this gene in PTD pathogenesis"";24094724 ""Rare variants in ANO3 are not a susceptibility factor in essential tremor"";23200863;27392807"		False	3	0;0;0	1.117	False		ENSG00000134343	ENSG00000134343	HGNC:14004													
APTX	gene	APTX	Emory Genetics Laboratory;Expert Review Green	Early onset dystonia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Dystonia						False	3	0;0;0	1.117	False		ENSG00000137074	ENSG00000137074	HGNC:15984													
ATM	gene	ATM	Emory Genetics Laboratory;Expert Review Green	Early onset dystonia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Ataxia-telangiectasia, OMIM:208900						False	3	0;0;0	1.117	False		ENSG00000149311	ENSG00000149311	HGNC:795													
ATP13A2	gene	ATP13A2	Emory Genetics Laboratory;Expert Review Green	Early onset dystonia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Dystonia;Parkinson disease;Kufor-Rakeb syndrome						False	3	0;0;0	1.117	False		ENSG00000159363	ENSG00000159363	HGNC:30213													
ATP1A3	gene	ATP1A3	Emory Genetics Laboratory;Expert;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Early onset dystonia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Rapid-Onset Dystonia-Parkinsonism;Dystonia-12, 128235				http://www.ncbi.nlm.nih.gov/books/NBK1155/		False	3	100;0;0	1.117	False		ENSG00000105409	ENSG00000105409	HGNC:801													
ATP7B	gene	ATP7B	Emory Genetics Laboratory;Expert Review Green	Early onset dystonia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Dystonia;Wilson Disease						False	3	0;0;0	1.117	False		ENSG00000123191	ENSG00000123191	HGNC:870													
BCAP31	gene	BCAP31	Expert Review Green;Radboud University Medical Center, Nijmegen	Early onset dystonia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Deafness, dystonia and cerebellar hypomyelination, 300475;DEAFNESS, DYSTONIA, AND CENTRAL HYPOMYELINATION WITH DISORGANIZATION OF THE GOLGI APPARATUS				28332767;24011989		False	3	0;0;100	1.117	False		ENSG00000185825	ENSG00000185825	HGNC:16695													
