Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ACTA1	gene	ACTA1	Emory Genetics Laboratory;Expert;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;London South GLH;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN	Congenital myopathy	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Myopathy, actin, congenital, with cores, OMIM:161800;Myopathy, actin, congenital, with excess of thin myofilaments, OMIM:161800;Myopathy, congenital, with fiber-type disproportion 1, OMIM:255310;Nemaline myopathy 3, autosomal dominant or recessive, OMIM:161800				22825594;19562689		False	3	75;25;0	2.83	False		ENSG00000143632	ENSG00000143632	HGNC:129													
ACTN2	gene	ACTN2	Expert Review Green;London South GLH;NHS GMS	Congenital myopathy	Neuromuscular disorders	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Multiple structured Core Disease;progressive early-onset muscle weakness				24692096;30701273;30900782		False	3	25;75;0	2.83	False		ENSG00000077522	ENSG00000077522	HGNC:164													
ADSSL1	gene	ADSSL1	Expert Review;Expert Review Green;Literature	Congenital myopathy	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Myopathy, distal, 5, 617030				28268051;26506222		False	3	50;0;50	2.83	False	Other	ENSG00000185100	ENSG00000185100	HGNC:20093													
BIN1	gene	BIN1	Expert;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;London South GLH;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN	Congenital myopathy	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Centronuclear Myopathy, Recessive;Myopathy, centronuclear, autosomal recessive, 255200						False	3	75;25;0	2.83	False		ENSG00000136717	ENSG00000136717	HGNC:1052													
CACNA1S	gene	CACNA1S	Expert Review;Expert Review Green;London South GLH;NHS GMS	Congenital myopathy	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	congenital myopathy				28012042		False	3	67;33;0	2.83	True		ENSG00000081248	ENSG00000081248	HGNC:1397													
CCDC78	gene	CCDC78	Expert;Expert Review Green;London South GLH;NHS GMS;Radboud University Medical Center, Nijmegen	Congenital myopathy	Neuromuscular disorders	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Myopathy, centronuclear, 4, 614807				22818856		False	3	40;40;20	2.83	False		ENSG00000162004	ENSG00000162004	HGNC:14153													
CFL2	gene	CFL2	Expert;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;London South GLH;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN	Congenital myopathy	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Nemaline myopathy 7, autosomal recessive, 610687;Nemaline Myopathy, Recessive				22560515;17160903;24610938		False	3	50;25;25	2.83	False		ENSG00000165410	ENSG00000165410	HGNC:1875													
COL12A1	gene	COL12A1	Expert Review Green;London South GLH;NHS GMS;UCL	Congenital myopathy	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	EDS/myopathy overlap syndrome				24334604		False	3	50;50;0	2.83	True		ENSG00000111799	ENSG00000111799	HGNC:2188													
COL6A1	gene	COL6A1	Emory Genetics Laboratory;Expert Review Green;London South GLH;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN	Congenital myopathy	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Bethlem myopathy 1, OMIM:158810;Ullrich congenital muscular dystrophy 1, OMIM:254090				25535305;15955946;23738969		False	3	75;25;0	2.83	False		ENSG00000142156	ENSG00000142156	HGNC:2211													
COL6A2	gene	COL6A2	Emory Genetics Laboratory;Expert Review Green;London South GLH;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN	Congenital myopathy	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Bethlem myopathy, 158810;Ullrich congenital muscular dystrophy, 254090				15689448		False	3	75;25;0	2.83	False		ENSG00000142173	ENSG00000142173	HGNC:2212													
