gene_name	gene_id	lsv_id	mean_dpsi_per_lsv_junction	probability_changing	probability_non_changing	CycloheximideControl_mean_psi	CycloheximideTDP43KD_mean_psi	lsv_type	num_junctions	num_exons	de_novo_junctions	seqid	strand	junctions_coords	exons_coords	ir_coords	ucsc_lsv_link
RBM5	ENSG00000003756.17	ENSG00000003756.17:s:50102337-50103166	0.1061;-0.0966;-0.0004	5.638e-01;4.658e-01;7.206e-21	2.654e-02;8.837e-02;9.836e-01	0.7704;0.1957;0.0342	0.8792;0.0957;0.0252	s|1e1.1o1|1e2.1o1|i	3	3	0;0;1	chr3	+	50103166-50104248;50103166-50105077;50103167-50104247	50102337-50103166;50104248-50104308;50104577-50105142	50103167-50104247	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A50105142-50102337
CAMKK1	ENSG00000004660.15	ENSG00000004660.15:s:3882528-3882564	0.1001;0.0064;-0.1159	5.009e-01;8.759e-02;5.887e-01	7.013e-02;3.911e-01;4.815e-02	0.1547;0.5888;0.2582	0.2751;0.6154;0.1137	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;1	chr17	-	3882370-3882528;3881648-3882528;3880434-3882528	3878831-3880434;3881499-3881648;3882257-3882370;3882528-3882564		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A3882564-3878831
CAMKK1	ENSG00000004660.15	ENSG00000004660.15:t:3878831-3880434	-0.0712;-0.0587;0.1654	3.360e-01;2.693e-01;8.131e-01	1.340e-01;1.652e-01;1.199e-02	0.2324;0.6808;0.0837	0.1364;0.5918;0.2735	t|1e1.1o1|1e2.1o2|1e2.2o2	3	3	1;0;1	chr17	-	3880434-3882528;3880434-3881627;3880434-3881499	3878831-3880434;3881499-3881648;3882528-3882564		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A3882564-3878831
COPZ2	ENSG00000005243.10	ENSG00000005243.10:t:48026167-48026475	-0.0234;0.0011;0.1453;-0.1120	5.255e-02;1.338e-04;6.399e-01;5.119e-01	4.771e-01;9.626e-01;3.001e-02;5.527e-02	0.0588;0.0032;0.1804;0.7486	0.0256;0.0178;0.3664;0.5883	t|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o1	4	4	1;0;0;0	chr17	-	48026475-48029137;48026475-48029125;48026475-48028472;48026475-48027676	48026167-48026475;48027676-48027789;48028472-48028560;48029125-48029425		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A48029425-48026167
CROT	ENSG00000005469.12	ENSG00000005469.12:s:87349048-87349183	0.1419;-0.1419	6.180e-01;6.180e-01	3.227e-02;3.227e-02	0.0128;0.9872	0.1895;0.8105	s|1e1.1o1|1e2.1o1	2	3	0;0	chr7	+	87349183-87357507;87349183-87359206	87349048-87349183;87357507-87357590;87359206-87360116		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A87360116-87349048
ARSD	ENSG00000006756.16	ENSG00000006756.16:s:2917804-2918227	-0.2511;0.0207;0.2127	9.647e-01;3.825e-02;9.258e-01	9.631e-04;5.128e-01;2.691e-03	0.9283;0.0284;0.0369	0.6667;0.0663;0.2550	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;1	chrX	-	2915692-2917804;2914773-2917804;2910793-2917804	2910659-2910793;2913614-2914773;2915556-2915692;2917804-2918227		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chrX%3A2918227-2910659
ARSD	ENSG00000006756.16	ENSG00000006756.16:t:2910659-2910793	0.2570;-0.2570	9.487e-01;9.487e-01	1.466e-03;1.466e-03	0.0549;0.9451	0.3214;0.6786	t|1e1.1o1|1e2.1o1	2	3	1;0	chrX	-	2910793-2917804;2910793-2915556	2910659-2910793;2915556-2915692;2917804-2918227		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chrX%3A2918227-2910659
TRAPPC6A	ENSG00000007255.10	ENSG00000007255.10:s:45178093-45178237	-0.0476;0.1914;-0.0629;-0.0328	2.191e-01;9.139e-01;2.913e-01;1.236e-01	2.139e-01;3.254e-03;1.590e-01;3.264e-01	0.2839;0.1261;0.3492;0.2329	0.2203;0.3283;0.2695;0.1799	s|1e1.1o1|1e2.1o1|2e1.1o1|2e2.1o1	4	3	0;0;0;0	chr19	-	45165194-45178135;45164970-45178135;45165194-45178093;45164970-45178093	45164725-45164970;45165127-45165194;45178093-45178237		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A45178237-45164725
TRAPPC6A	ENSG00000007255.10	ENSG00000007255.10:t:45164725-45164970	0.2113;-0.0140;-0.1801	9.691e-01;4.705e-02;8.699e-01	5.995e-04;4.905e-01;6.755e-03	0.1193;0.2046;0.6653	0.3377;0.1819;0.4887	t|1e1.1o2|1e1.2o2|1e2.1o1	3	3	0;0;0	chr19	-	45164970-45178135;45164970-45178093;45164970-45165127	45164725-45164970;45165127-45165194;45178093-45178237		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A45178237-45164725
CACNA2D2	ENSG00000007402.12	ENSG00000007402.12:s:50374737-50374813	0.1906;-0.1967;0.0000	9.438e-01;9.555e-01;7.046e-21	1.424e-03;9.436e-04;1.000e+00	0.3065;0.6926;0.0009	0.5056;0.4891;0.0057	s|1e1.1o1|1e2.1o1|i	3	3	0;0;1	chr3	-	50373085-50374737;50370380-50374737;50373086-50374736	50370320-50370380;50373065-50373085;50374737-50374813	50373086-50374736	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A50374813-50370320
CACNA2D2	ENSG00000007402.12	ENSG00000007402.12:t:50370320-50370380	-0.1942;0.2019;-0.0009	9.531e-01;9.705e-01;2.687e-07	1.190e-03;5.151e-04;9.556e-01	0.6359;0.3324;0.0310	0.4423;0.5384;0.0239	t|1e1.1o1|1e2.1o1|i	3	3	0;0;1	chr3	-	50370380-50374737;50370380-50373065;50370381-50373064	50370320-50370380;50373065-50373085;50374737-50374813	50370381-50373064	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A50374813-50370320
CDK11A	ENSG00000008128.23	ENSG00000008128.23:s:1704223-1704344	0.1087;-0.1087	5.658e-01;5.658e-01	5.329e-02;5.329e-02	0.4496;0.5504	0.5643;0.4357	s|1e1.1o1|1e2.1o2	2	3	0;0	chr1	-	1704146-1704223;1703995-1704223	1703824-1703995;1704039-1704146;1704223-1704344		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A1704344-1703824
CDK11A	ENSG00000008128.23	ENSG00000008128.23:t:1703824-1703995	-0.1066;0.1066	5.541e-01;5.541e-01	4.885e-02;4.885e-02	0.4430;0.5570	0.3316;0.6684	t|1e1.1o1|2e2.1o1	2	3	0;0	chr1	-	1703995-1704223;1703940-1704039	1703824-1703995;1704039-1704146;1704223-1704344		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A1704344-1703824
TFAP2B	ENSG00000008196.13	ENSG00000008196.13:s:50818723-50818972	0.0000;0.0000;0.1039;-0.1590;0.0396;0.0000;-0.0087	7.068e-21;7.046e-21;5.371e-01;9.269e-01;2.723e-05;7.046e-21;5.762e-04	9.975e-01;1.000e+00;6.181e-02;1.700e-03;5.095e-01;1.000e+00;7.206e-01	0.0199;0.0047;0.0943;0.7767;0.0337;0.0031;0.0684	0.0299;0.0230;0.2009;0.6172;0.0630;0.0124;0.0523	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o2|i	7	7	1;1;0;0;1;1;1	chr6	+	50818972-50819566;50818972-50821432;50818972-50822134;50818972-50823407;50818972-50828619;50818972-50836061;50818973-50819565	50818723-50818972;50819566-50819848;50821432-50821477;50821785-50822436;50823407-50823865;50828619-50828679;50836061-50836280	50818973-50819565	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr6%3A50836280-50818723
TFAP2B	ENSG00000008196.13	ENSG00000008196.13:s:50821432-50821477	0.1192;-0.0205;-0.0704	5.450e-01;5.303e-02;3.321e-01	5.006e-02;4.860e-01;1.185e-01	0.3085;0.0535;0.6301	0.4620;0.0077;0.5329	s|1e1.1o1|1e2.1o1|i	3	3	1;1;1	chr6	+	50821477-50822134;50821477-50823407;50821478-50821784	50821432-50821477;50821785-50822436;50823407-50823865	50821478-50821784	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr6%3A50823865-50821432
TFAP2B	ENSG00000008196.13	ENSG00000008196.13:t:50821432-50821477	0.1977;0.0161;-0.2503	8.783e-01;1.423e-02;9.584e-01	6.927e-03;6.092e-01;1.444e-03	0.0702;0.0065;0.9227	0.2859;0.0580;0.6562	t|1e1.1o1|1e2.1o1|i	3	3	1;1;1	chr6	+	50818972-50821432;50820660-50821432;50819849-50821431	na-50820660;50818723-50818972;50821432-50821477	50819849-50821431	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr6%3A50821477-50818723
TFAP2B	ENSG00000008196.13	ENSG00000008196.13:t:50821785-50822436	0.2215;-0.0925;0.0031;-0.1127	9.473e-01;4.511e-01;2.558e-02;5.886e-01	1.757e-03;9.400e-02;5.645e-01;5.210e-02	0.4058;0.1527;0.1389;0.3001	0.6393;0.0538;0.1448;0.1680	t|1e1.1o1|1e2.1o1|1e3.1o1|i	4	4	0;1;1;1	chr6	+	50818972-50822134;50819848-50822134;50821477-50822134;50821478-50821784	50818723-50818972;50819566-50819848;50821432-50821477;50821785-50822436	50821478-50821784	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr6%3A50822436-50818723
ADAM22	ENSG00000008277.15	ENSG00000008277.15:s:87964634-87964684	-0.1291;0.1291	6.266e-01;6.266e-01	3.821e-02;3.821e-02	0.6163;0.3837	0.4587;0.5413	s|1e1.1o1|1e2.1o1	2	3	1;0	chr7	+	87964684-87971294;87964684-87978336	87964634-87964684;87971294-87971375;87978336-87978412		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A87978412-87964634
ADAM22	ENSG00000008277.15	ENSG00000008277.15:t:87971294-87971375	0.1619;-0.1619	7.776e-01;7.776e-01	1.574e-02;1.574e-02	0.3672;0.6328	0.5448;0.4552	t|1e1.1o1|1e2.1o1	2	3	1;1	chr7	+	87935186-87971294;87964684-87971294	87934756-87935186;87964634-87964684;87971294-87971375		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A87971375-87934756
SPAG9	ENSG00000008294.21	ENSG00000008294.21:t:50974771-50975360	0.0000;-0.1171;0.1151;0.0000	7.046e-21;6.635e-01;6.459e-01;7.046e-21	1.000e+00;2.389e-02;2.215e-02;1.000e+00	0.0045;0.6698;0.3153;0.0121	0.0089;0.5518;0.4320;0.0071	t|1e1.1o1|2e1.1o1|2e2.1o1|i	4	3	1;0;0;1	chr17	-	50974982-50977108;50974947-50977108;50974947-50975863;50975361-50975862	50974771-50975360;50975863-50975901;50976600-50977221	50975361-50975862	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A50977221-50974771
DYRK4	ENSG00000010219.13	ENSG00000010219.13:s:4604897-4605086	-0.0258;-0.2314;0.2754	5.643e-03;9.692e-01;9.942e-01	5.814e-01;1.011e-03;7.650e-05	0.0576;0.6410;0.2964	0.0153;0.4030;0.5818	s|1e1.1o2|1e1.2o2|1e2.1o1	3	3	1;0;0	chr12	+	4605086-4607236;4605086-4607327;4605086-4610155	4604897-4605086;4607236-4607389;4609939-4610523		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A4610523-4604897
DYRK4	ENSG00000010219.13	ENSG00000010219.13:t:4609939-4610523	0.3263;-0.2897;-0.0003;-0.0042	1.000e+00;9.998e-01;1.138e-07;1.484e-05	1.332e-08;2.862e-07;9.867e-01;8.529e-01	0.2751;0.6599;0.0225;0.0386	0.6012;0.3698;0.0120;0.0174	t|1e1.1o1|1e2.1o1|1e3.1o1|i	4	4	0;0;1;1	chr12	+	4605086-4610155;4607387-4610155;4609548-4610155;4609549-4609938	4604897-4605086;4607236-4607389;4609463-4609548;4609939-4610523	4609549-4609938	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A4610523-4604897
