Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ADGRG1	gene	ADGRG1	Emory Genetics Laboratory;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Literature;Radboud University Medical Center, Nijmegen;UKGTN	Cerebellar hypoplasia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Polymicrogyria, bilateral frontoparietal  606854  				15044805		False	3	100;0;0	1.62	False		ENSG00000205336	ENSG00000205336	HGNC:4512													
AMPD2	gene	AMPD2	Expert Review Green;Literature;Other;Radboud University Medical Center, Nijmegen;UKGTN	Cerebellar hypoplasia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	pontocerebellar hypoplasia type 9, 615809				Akizu, N., Cantagrel, V., Schroth, J., Cai, N., Vaux, K., McCloskey, D., Naviaux, R. K., Van Vleet, J., Fenstermaker, A. G., Silhavy, J. L., Scheliga, J. S., Toyama, K., and 16 others. AMPD2 regulates GTP synthesis and is mutated in a potentially treatable neurodegenerative brainstem disorder. Cell 154: 505-517, 2013. http://www.omim.org/clinicalSynopsis/615809;Akizu, N., Cantagrel, V., Schroth, J., Cai, N., Vaux, K., McCloskey, D., Naviaux, R. K., Van Vleet, J., Fenstermaker, A. G., Silhavy, J. L., Scheliga, J. S., Toyama, K., and 16 others. AMPD2 regulates GTP synthesis and is mutated in a potentially treatable neurodegenerative brainstem disorder. Cell 154: 505-517, 2013. http://www.omim.org/clinicalSynopsis/615809;27066553;23911318		False	3	100;0;0	1.62	False		ENSG00000116337	ENSG00000116337	HGNC:469													
ATAD3A	gene	ATAD3A	Expert Review;Expert Review Green	Cerebellar hypoplasia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Harel-Yoon syndrome, OMIM:617183;Pontocerebellar hypoplasia, hypotonia, and respiratory insufficiency syndrome, neonatal lethal, OMIM:618810				27640307;28549128;29053797;31727539;32607449;33845882		False	3	100;0;0	1.62	False		ENSG00000197785	ENSG00000197785	HGNC:25567													
B3GALNT2	gene	B3GALNT2	Emory Genetics Laboratory;Expert Review Green;Radboud University Medical Center, Nijmegen	Cerebellar hypoplasia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies typeA 11;congenital muscular dystrophies				23453667		False	3	100;0;0	1.62	False		ENSG00000162885	ENSG00000162885	HGNC:28596													
B4GAT1	gene	B4GAT1	Expert Review Green;Literature;Radboud University Medical Center, Nijmegen;UKGTN	Cerebellar hypoplasia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 13, OMIM:615287				23359570;23877401;23217742		False	3	0;100;0	1.62	False		ENSG00000174684	ENSG00000174684	HGNC:15685													
CACNA1G	gene	CACNA1G	Expert Review;Expert Review Green	Cerebellar hypoplasia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Spinocerebellar ataxia 42 616795				17397049;25558065;28726809;29878067		False	3	100;0;0	1.62	False	Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000006283	ENSG00000006283	HGNC:1394													
CASK	gene	CASK	Eligibility statement prior genetic testing;Expert Review Green;Other;Radboud University Medical Center, Nijmegen;UKGTN	Cerebellar hypoplasia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Mental retardation and microcephaly with pontine and cerebellar hypoplasia; FG syndrome 4; Mental retardation, with or without nystagmus;Pontocerebellar Hypoplasia;Mental retardation and microcephaly with pontine and cerebellar hypoplasia, 300749; FG syndrome 4, 300422; Mental retardation, with or without nystagmus, 300422						False	3	0;0;0	1.62	False		ENSG00000147044	ENSG00000147044	HGNC:1497													
CHMP1A	gene	CHMP1A	Expert Review Green;Literature;Other;Radboud University Medical Center, Nijmegen;UKGTN	Cerebellar hypoplasia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Pontocerebellar Hypoplasia type 8;Pontocerebellar Hypoplasia;Pontocerebellar hypoplasia,type 8,614961				PMID: 23023333;PMID: 23023333		False	3	0;100;0	1.62	False		ENSG00000131165	ENSG00000131165	HGNC:8740													
CLP1	gene	CLP1	Expert Review Green;Literature;Other;UKGTN	Cerebellar hypoplasia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Pontocerebellar hypoplasia 10 OMIM:615803;Pontocerebellar hypoplasia type 10 MONDO:0014349				PMID: 24766810		False	3	100;0;0	1.62	False		ENSG00000172409	ENSG00000172409	HGNC:16999													
CWF19L1	gene	CWF19L1	Expert Review Green;Literature	Cerebellar hypoplasia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Spinocerebellar ataxia, autosomal recessive 17,  616127  				26197978, 25361784, 27016154		False	3	0;0;100	1.62	False		ENSG00000095485	ENSG00000095485	HGNC:25613													
DKC1	gene	DKC1	Emory Genetics Laboratory;Expert Review Green;Literature;Radboud University Medical Center, Nijmegen;UKGTN	Cerebellar hypoplasia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	X-LINKED: hemizygous mutation in males, biallelic mutations in females	X-linked dyskeratosis congenita 				9590285;9886310		False	3	100;0;0	1.62	False		ENSG00000130826	ENSG00000130826	HGNC:2890													
EXOSC3	gene	EXOSC3	Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Literature;Other;Radboud University Medical Center, Nijmegen;UKGTN	Cerebellar hypoplasia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Pontocerebellar hypoplasia, type 1B, OMIM:614678				PMID: 23284067; PMID: 22544365; PMID: 23564332; PMID: 24524299;PMID: 23284067; PMID: 22544365; PMID: 23564332; PMID: 24524299		False	3	0;0;0	1.62	False		ENSG00000107371	ENSG00000107371	HGNC:17944													
FKRP	gene	FKRP	Emory Genetics Laboratory;Expert Review Green;Radboud University Medical Center, Nijmegen;UKGTN	Cerebellar hypoplasia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type				15121789		False	3	100;0;0	1.62	False		ENSG00000181027	ENSG00000181027	HGNC:17997													
FKTN	gene	FKTN	Emory Genetics Laboratory;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Cerebellar hypoplasia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Fukuyama congenital muscular dystrophy;Fukuyama Congenital Muscular Dystrophy;Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type				9690476;10545611		False	3	100;0;0	1.62	False		ENSG00000106692	ENSG00000106692	HGNC:3622													
GMPPB	gene	GMPPB	Expert Review Green;Literature;Radboud University Medical Center, Nijmegen;UKGTN	Cerebellar hypoplasia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type				23768512		False	3	0;100;0	1.62	False		ENSG00000173540	ENSG00000173540	HGNC:22932													
ISPD	gene	ISPD	Emory Genetics Laboratory;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen	Cerebellar hypoplasia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Congenital Muscular Dystrophy, alpha-dystroglycan related;Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type				22522420		False	3	100;0;0	1.62	False		ENSG00000214960	ENSG00000214960	HGNC:37276													
ITPR1	gene	ITPR1	Eligibility statement prior genetic testing;Emory Genetics Laboratory;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Other;Radboud University Medical Center, Nijmegen;UKGTN	Cerebellar hypoplasia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal	Spinocerebellar ataxia 15; Spinocerebellar ataxia 29, congenital nonprogressive; Gillespie syndrome 206700						False	3	0;0;0	1.62	False		ENSG00000150995	ENSG00000150995	HGNC:6180													
KCNC3	gene	KCNC3	Eligibility statement prior genetic testing;Emory Genetics Laboratory;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Other;Radboud University Medical Center, Nijmegen;UKGTN	Cerebellar hypoplasia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Spinocerebellar ataxia 13						False	3	0;0;0	1.62	False		ENSG00000131398	ENSG00000131398	HGNC:6235													
LARGE1	gene	LARGE1	Emory Genetics Laboratory;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Cerebellar hypoplasia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Congenital Muscular Dystrophy, alpha-dystroglycan related;Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type				17436019, 24709677		False	3	100;0;0	1.62	False		ENSG00000133424	ENSG00000133424	HGNC:6511													
MACF1	gene	MACF1	Expert Review Green;Literature	Cerebellar hypoplasia	Motor Disorders of the CNS	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Lissencephaly 9 with complex brainstem malformation, 618325				30471716		False	3	0;0;0	1.62	False	Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000127603	ENSG00000127603	HGNC:13664													
