# SignalP-5.0	Organism: Eukarya	Timestamp: 20220628144707
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
ENST00000033079.7	OTHER	0.003156	0.996844	
ENST00000084798.9	SP(Sec/SPI)	0.971139	0.028861	CS pos: 23-24. AAA-HI. Pr: 0.5110
ENST00000165698.9	OTHER	0.013113	0.986887	
ENST00000171887.8	OTHER	0.000424	0.999576	
ENST00000193322.8	SP(Sec/SPI)	0.844116	0.155884	CS pos: 31-32. ALG-AL. Pr: 0.4870
ENST00000210187.11	OTHER	0.002896	0.997104	
ENST00000215095.11	OTHER	0.000226	0.999774	
ENST00000215919.3	OTHER	0.001123	0.998877	
ENST00000216373.10	OTHER	0.000420	0.999580	
ENST00000216489.8	OTHER	0.017700	0.982300	
ENST00000216799.9	OTHER	0.004105	0.995895	
ENST00000217800.9	OTHER	0.000875	0.999125	
ENST00000219439.9	OTHER	0.001326	0.998674	
ENST00000219689.12	OTHER	0.000378	0.999622	
ENST00000219794.11	OTHER	0.005283	0.994717	
ENST00000220429.12	OTHER	0.001118	0.998882	
ENST00000221315.10	OTHER	0.000379	0.999621	
ENST00000221452.13	OTHER	0.001733	0.998267	
ENST00000221466.10	SP(Sec/SPI)	0.995586	0.004414	CS pos: 23-24. SLG-AE. Pr: 0.7004
ENST00000223528.6	OTHER	0.027910	0.972090	
ENST00000225567.9	OTHER	0.000396	0.999604	
ENST00000226319.11	OTHER	0.001147	0.998853	
ENST00000226328.8	OTHER	0.000629	0.999371	
ENST00000226522.8	OTHER	0.000888	0.999112	
ENST00000227266.10	SP(Sec/SPI)	0.998806	0.001194	CS pos: 24-25. VRC-DT. Pr: 0.5697
ENST00000228425.11	OTHER	0.000927	0.999073	
ENST00000229314.10	OTHER	0.001895	0.998105	
ENST00000229395.8	OTHER	0.000919	0.999081	
ENST00000229570.9	OTHER	0.000284	0.999716	
ENST00000229634.13	OTHER	0.001413	0.998587	
ENST00000232508.9	OTHER	0.003264	0.996736	
ENST00000232607.7	OTHER	0.011594	0.988406	
ENST00000232766.6	OTHER	0.000799	0.999201	
ENST00000233596.8	OTHER	0.000353	0.999647	
ENST00000237654.9	OTHER	0.001380	0.998620	
ENST00000238081.8	OTHER	0.000457	0.999543	
ENST00000238618.8	OTHER	0.000429	0.999571	
ENST00000238918.12	OTHER	0.006415	0.993585	
ENST00000239007.11	OTHER	0.000213	0.999787	
ENST00000239032.4	OTHER	0.002362	0.997638	
ENST00000239859.8	OTHER	0.000182	0.999818	
ENST00000241337.9	OTHER	0.002557	0.997443	
ENST00000242737.5	OTHER	0.014797	0.985203	
ENST00000243325.6	OTHER	0.036612	0.963388	
ENST00000245448.11	OTHER	0.002586	0.997414	
ENST00000246314.10	OTHER	0.000562	0.999438	
ENST00000247933.9	SP(Sec/SPI)	0.997122	0.002878	CS pos: 25-26. VAP-AE. Pr: 0.5431
ENST00000248054.10	OTHER	0.001513	0.998487	
ENST00000248306.8	OTHER	0.000587	0.999413	
ENST00000250535.5	OTHER	0.000833	0.999167	
ENST00000251076.9	OTHER	0.010103	0.989897	
ENST00000251822.7	OTHER	0.000495	0.999505	
ENST00000252115.10	OTHER	0.000403	0.999597	
ENST00000252996.9	OTHER	0.000452	0.999548	
ENST00000253796.10	SP(Sec/SPI)	0.990968	0.009032	CS pos: 42-43. ALA-QP. Pr: 0.9593
ENST00000254488.7	OTHER	0.001785	0.998215	
ENST00000254976.7	OTHER	0.000211	0.999789	
ENST00000255194.11	OTHER	0.000804	0.999196	
ENST00000255559.8	OTHER	0.091174	0.908826	
ENST00000256538.9	OTHER	0.007125	0.992875	
ENST00000257548.10	OTHER	0.000515	0.999485	
ENST00000257575.9	OTHER	0.001565	0.998435	
ENST00000257789.4	OTHER	0.000240	0.999760	
ENST00000258646.3	OTHER	0.028414	0.971586	
ENST00000258679.11	OTHER	0.092690	0.907310	
ENST00000259119.9	OTHER	0.000484	0.999516	
ENST00000259229.7	OTHER	0.000934	0.999066	
ENST00000259667.6	OTHER	0.004816	0.995184	
ENST00000260361.9	OTHER	0.000457	0.999543	
ENST00000260382.10	OTHER	0.001231	0.998769	
ENST00000260404.8	OTHER	0.000655	0.999345	
ENST00000261681.9	OTHER	0.000550	0.999450	
ENST00000262348.9	OTHER	0.046997	0.953003	
ENST00000262994.9	OTHER	0.000601	0.999399	
ENST00000262995.8	OTHER	0.000601	0.999399	
ENST00000263036.9	OTHER	0.000515	0.999485	
ENST00000263062.8	OTHER	0.000433	0.999567	
ENST00000263103.1	OTHER	0.000345	0.999655	
ENST00000263512.5	OTHER	0.356984	0.643016	
ENST00000263655.4	OTHER	0.002301	0.997699	
ENST00000263681.7	OTHER	0.000260	0.999740	
ENST00000263895.9	OTHER	0.000811	0.999189	
ENST00000264126.9	OTHER	0.000582	0.999418	
