"","x"
"1","chr6:41079164-41084046"
"2","chr6:41079164-41084046"
"3","chr17:7291182-7292026"
"4","chr7:74568941-74589851"
"5","chr6:35479316-35480312"
"6","chr2:213148644-213150181"
"7","chr19:1127765-1132090"
"8","chr7:100204122-100204627"
"9","chr7:100220028-100220114"
"10","chr7:100220673-100220760"
"11","chr7:100220820-100220928"
"12","chr12:9669795-9680923"
"13","chr12:9669795-9680923"
"14","chr7:38384926-38389803"
"15","chr2:151496368-151497719"
"16","chr9:70598670-70603342"
"17","chr7:32510770-32511047"
"18","chr7:32510770-32511047"
"19","chr7:115984513-116110708"
"20","chr7:74093299-74096622"
"21","chr6:56064622-56069046"
"22","chr11:62520027-62521714"
"23","chr11:62520553-62521946"
"24","chr11:62522998-62523605"
"25","chr11:62521713-62524828"
"26","chr11:62522920-62524883"
"27","chr11:62522718-62525065"
"28","chr11:62521768-62525267"
"29","chr11:62520469-62525360"
"30","chr11:62523097-62525444"
"31","chr11:62521606-62525489"
"32","chr11:62525281-62525666"
"33","chr11:62520391-62526050"
"34","chr11:62521561-62526212"
"35","chr11:62520169-62526212"
"36","chr11:62523763-62526272"
"37","chr11:62525728-62526497"
"38","chr11:62526511-62526896"
"39","chr11:62527548-62528134"
"40","chr11:62525743-62528282"
"41","chr11:62522245-62528282"
"42","chr11:62528461-62528864"
"43","chr11:64271088-64271241"
"44","chr15:78540950-78541905"
"45","chr5:65452216-65460170"
"46","chr1:236243495-236252050"
"47","chr22:42599793-42602770"
"48","chr22:42599793-42602770"
"49","chr19:38587817-38593282"
"50","chr19:38589275-38593282"
"51","chr19:7383203-7440344"
"52","chr19:34386233-34386287"
"53","chr19:34386274-34386328"
"54","chr19:34392192-34392643"
"55","chr19:34392192-34392793"
"56","chr19:34390751-34391001"
"57","chr4:102828185-102868773"
"58","chr11:118359674-118364678"
"59","chr11:118364278-118364678"
"60","chr2:196990927-196993583"
"61","chr6:70522586-70524343"
"62","chr16:30852322-30875269"
"63","chr16:87367945-87381409"
"64","chr16:53450285-53451703"
"65","chr7:156675942-156676026"
"66","chr5:94057203-94111511"
"67","chr1:232608988-232629869"
"68","chr1:232533583-232629869"
"69","chr10:24466790-24473228"
"70","chr15:68193645-68197633"
"71","chr3:98732532-98770879"
"72","chr1:40722774-40723208"
"73","chr2:239094396-239094456"
"74","chr2:46950722-46951602"
"75","chr3:185283027-185285525"
"76","chr16:7316582-7322914"
"77","chr2:172917874-172960760"
"78","chr2:172917874-172960760"
"79","chr10:38365629-38365910"
"80","chr22:41801076-41808875"
"81","chr3:187734907-187737597"
"82","chr2:24951554-24951970"
"83","chr2:174623508-174625821"
"84","chr5:80408153-80411646"
"85","chr2:71388302-71388363"
"86","chr2:71388332-71388363"
"87","chrX:132406392-132489814"
"88","chr20:36499321-36500199"
"89","chr16:536895-537134"
"90","chr16:533998-546817"
"91","chr6:89938350-89950305"
"92","chr2:171453213-171468888"
"93","chr3:119636516-119642366"
"94","chr1:93246954-93256335"
"95","chr1:93180852-93183360"
"96","chr1:93246954-93256335"
"97","chr7:74896232-74897652"
"98","chrX:2806969-2808185"
"99","chrX:2806970-2808184"
"100","chrX:119873392-119875349"
"101","chr11:10652182-10687509"
"102","chr11:114527901-114530175"
"103","chr22:40273569-40276531"
"104","chr7:74373036-74375887"
"105","chr15:25420752-25421926"
"106","chr15:25415842-25420656"
"107","chr1:184599012-184619518"
"108","chr7:1936897-1940088"
"109","chr16:20840468-20844629"
"110","chr7:13977480-13986116"
"111","chrX:124381295-124382669"
"112","chr14:50532158-50532462"
"113","chr2:201277104-201284816"
"114","chr2:201277104-201284816"
"115","chr3:197161738-197183575"
"116","chr2:26974710-27022212"
"117","chr22:38706147-38715907"
"118","chr22:38706147-38715907"
"119","chr18:2796521-2799281"
"120","chr7:129630168-129657343"
"121","chr7:67347515-67355006"
"122","chr7:67336112-67362156"
"123","chr3:183955624-183956393"
"124","chr3:183956712-183956873"
"125","chr1:112540872-112541951"
"126","chr7:18543674-18544881"
"127","chr1:17632466-17634835"
"128","chr1:17632466-17634835"
"129","chr1:46274717-46277817"
"130","chr1:46277980-46278072"
"131","chr19:540140-540672"
"132","chr20:13813092-13816463"
"133","chr19:55247109-55255675"
"134","chr1:85657971-85660025"
"135","chr12:28256078-28257202"
"136","chr13:100670736-100674743"
"137","chr19:45638873-45641641"
"138","chr1:29238061-29255275"
"139","chr1:29260267-29260610"
"140","chrX:130349345-130358640"
"141","chr16:4959386-4972558"
"142","chr6:150633304-150650728"
"143","chr10:27173259-27181480"
"144","chr7:134960628-134962820"
"145","chr7:134962934-134965306"
"146","chr10:100500159-100501654"
"147","chr12:56432521-56433026"
"148","chr6:125258737-125262834"
"149","chr1:213988721-213996469"
"150","chr10:133295864-133297952"
"151","chr19:15437129-15442676"
"152","chr2:98582851-98582912"
"153","chr14:60277365-60278573"
"154","chr14:60277365-60278573"
"155","chr7:30074132-30129266"
"156","chr2:241090044-241097243"
"157","chr10:71965475-72005736"
"158","chr10:71970714-72005736"
"159","chr2:222887888-222892264"
"160","chr14:99793543-99850853"
"161","chr17:42562219-42562933"
"162","chr9:96514369-96515649"
"163","chr9:215416-271627"
"164","chr6:24875817-25041851"
"165","chr2:165933057-165936921"
"166","chr4:42588329-42594289"
"167","chr12:31102335-31102427"
"168","chr2:219001-224864"
"169","chr15:61176456-61229053"
"170","chr2:233273052-233274676"
"171","chr2:233273052-233274676"
"172","chr10:35196142-35201451"
"173","chr22:18913526-18916890"
"174","chr19:5222220-5238919"
"175","chr19:5222220-5238919"
"176","chr6:152975621-152982857"
"177","chr9:128684007-128691170"
