Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
CDON	gene	CDON	Expert Review Green;Illumina TruGenome Clinical Sequencing Services;NHS GMS;Radboud University Medical Center, Nijmegen	Holoprosencephaly	Neurodevelopmental disorders	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Holoprosencephaly 11, 614226;Holoprosencephaly				21802063		False	3	0;100;0	2.27	False		ENSG00000064309	ENSG00000064309	HGNC:17104													
DHCR7	gene	DHCR7	Expert list;Expert Review Green;NHS GMS	Holoprosencephaly	Neurodevelopmental disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Smith-Lemli-Opitz syndrome, 270400;alobar holoprosencephaly (HPE)				11562938;28805615;20104611;17001700;15013448		False	3	0;100;0	2.27	False		ENSG00000172893	ENSG00000172893	HGNC:2860													
DISP1	gene	DISP1	Expert list;Expert Review Green;NHS GMS	Holoprosencephaly	Neurodevelopmental disorders	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	holoprosencephaly MONDO:0016296				27363716;19184110;26748417;23542665		False	3	0;100;0	2.27	False		ENSG00000154309	ENSG00000154309	HGNC:19711													
FGF8	gene	FGF8	Expert list;Expert Review Green;NHS GMS	Holoprosencephaly	Neurodevelopmental disorders	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Holoprosencephaly				27363716		False	3	0;100;0	2.27	False		ENSG00000107831	ENSG00000107831	HGNC:3686													
FGFR1	gene	FGFR1	Expert Review;Expert Review Green;NHS GMS	Holoprosencephaly	Neurodevelopmental disorders	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Hartsfield syndrome, 615465				19504604;27363716		False	3	50;50;0	2.27	False		ENSG00000077782	ENSG00000077782	HGNC:3688													
GLI2	gene	GLI2	Expert Review Green;Illumina TruGenome Clinical Sequencing Services;NHS GMS;Other;Radboud University Medical Center, Nijmegen;UKGTN	Holoprosencephaly	Neurodevelopmental disorders	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Holoprosencephaly-9;Holoprosencephaly;Holoprosencephaly 9, 610829						False	3	100;0;0	2.27	False		ENSG00000074047	ENSG00000074047	HGNC:4318													
KMT2D	gene	KMT2D	Expert Review Green;Literature	Holoprosencephaly	Neurodevelopmental disorders	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Kabuki syndrome 1, OMIM:147920				31846209;31282990;32773771		False	3	100;0;0	2.27	False		ENSG00000167548	ENSG00000167548	HGNC:7133													
PTCH1	gene	PTCH1	Expert Review Green;Illumina TruGenome Clinical Sequencing Services;NHS GMS;Other;Radboud University Medical Center, Nijmegen;UKGTN	Holoprosencephaly	Neurodevelopmental disorders	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Holoprosencephaly-7;Holoprosencephaly;Holoprosencephaly 7, 610828						False	3	100;0;0	2.27	False		ENSG00000185920	ENSG00000185920	HGNC:9585													
RAD21	gene	RAD21	Expert Review Green;Literature	Holoprosencephaly	Neurodevelopmental disorders	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Cornelia de Lange syndrome 4, OMIM:614701;Holoprosencephaly with or without CdLS features;Septo-optic dysplasia				31334757;32696056		False	3	100;0;0	2.27	False		ENSG00000164754	ENSG00000164754	HGNC:9811													
SHH	gene	SHH	Expert Review Green;NHS GMS;Other;Radboud University Medical Center, Nijmegen;UKGTN	Holoprosencephaly	Neurodevelopmental disorders	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Holoprosencephaly-3;Holoprosencephaly;Holoprosencephaly 3, 142945						False	3	100;0;0	2.27	False		ENSG00000164690	ENSG00000164690	HGNC:10848													
