.id,gene_name,gene_id,lsv_id,mean_psi_per_lsv_junction,stdev_psi_per_lsv_junction,num_junctions,num_exons,de_novo_junctions,seqid,strand,lsv_junc,junc_start,junc_end,ir_start,ir_end,paste_into_igv_junction,exon_type,color_gene_name,alpha_gene_name,label_junction
Control_Control,C1orf112,ENSG00000000460.17,ENSG00000000460.17:s:169806004-169806088,0.0278,0.0372,2,3,0,chr1,+,ENSG00000000460.17:s:169806004-169806088_169806088-169821679,169806088,169821679,NA,NA,chr1:169806088-169821679,source,Delta PSI > 0.05,0,
Control_Control,C1orf112,ENSG00000000460.17,ENSG00000000460.17:t:169827051-169827199,0.0055,0.0052,2,3,1,chr1,+,ENSG00000000460.17:t:169827051-169827199_169826219-169827055,169826219,169827055,NA,NA,chr1:169826219-169827055,target,Delta PSI < 0.05,0,
Control_Control,MAD1L1,ENSG00000002822.16,ENSG00000002822.16:s:1957629-1957719,0.004,0.003,2,3,1,chr7,-,ENSG00000002822.16:s:1957629-1957719_1898390-1957629,1898390,1957629,NA,NA,chr7:1898390-1957629,source,Delta PSI > 0.05,0,
Control_Control,MAD1L1,ENSG00000002822.16,ENSG00000002822.16:s:2069194-2069338,0.0057,0.0054,2,3,1,chr7,-,ENSG00000002822.16:s:2069194-2069338_2002121-2069194,2002121,2069194,NA,NA,chr7:2002121-2069194,source,Delta PSI > 0.05,0,
Control_Control,MAD1L1,ENSG00000002822.16,ENSG00000002822.16:t:1898200-1898390,0.0082,0.0096,2,3,1,chr7,-,ENSG00000002822.16:t:1898200-1898390_1898390-1957629,1898390,1957629,NA,NA,chr7:1898390-1957629,target,Delta PSI > 0.05,0,
Control_Control,MAD1L1,ENSG00000002822.16,ENSG00000002822.16:t:2002065-2002121,0.0091,0.0107,2,3,1,chr7,-,ENSG00000002822.16:t:2002065-2002121_2002121-2069194,2002121,2069194,NA,NA,chr7:2002121-2069194,target,Delta PSI > 0.05,0,
Control_Control,KLHL13,ENSG00000003096.14,ENSG00000003096.14:s:118116508-118116865,0.0107,0.0078,5,6,1,chrX,-,ENSG00000003096.14:s:118116508-118116865_118029098-118116508,118029098,118116508,NA,NA,chrX:118029098-118116508,source,Delta PSI < 0.05,0,
Control_Control,STPG1,ENSG00000001460.18,ENSG00000001460.18:s:24373702-24373810,0.0156,0.0201,2,3,1,chr1,-,ENSG00000001460.18:s:24373702-24373810_24361041-24373702,24361041,24373702,NA,NA,chr1:24361041-24373702,source,Delta PSI > 0.05,0,
Control_Control,STPG1,ENSG00000001460.18,ENSG00000001460.18:t:24360851-24361041,0.0208,0.0285,2,3,1,chr1,-,ENSG00000001460.18:t:24360851-24361041_24361041-24373702,24361041,24373702,NA,NA,chr1:24361041-24373702,target,Delta PSI > 0.05,0,
Control_Control,ANKIB1,ENSG00000001629.10,ENSG00000001629.10:s:92319330-92319512,0.0019,0.001,3,4,0,chr7,+,ENSG00000001629.10:s:92319330-92319512_92319512-92325928,92319512,92325928,NA,NA,chr7:92319512-92325928,source,Delta PSI > 0.05,0,
