Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ACTA1	gene	ACTA1	Emory Genetics Laboratory;Expert;Expert list;Expert Review;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Arthrogryposis	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Myopathy, actin, congenital, with cores, OMIM:161800;Myopathy, actin, congenital, with excess of thin myofilaments, OMIM:161800;Myopathy, congenital, with fiber-type disproportion 1, OMIM:255310;Nemaline myopathy 3, autosomal dominant or recessive, OMIM:161800;CMD with rigid spine				10508519		False	3	50;50;0	3.159	False		ENSG00000143632	ENSG00000143632	HGNC:129													
ADAMTS10	gene	ADAMTS10	Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen	Arthrogryposis	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Weill-Marchesani syndrome 1, recessive   277600  				15368195		False	3	0;100;0	3.159	False		ENSG00000142303	ENSG00000142303	HGNC:13201													
ADCY6	gene	ADCY6	Expert Review Green;Literature	Arthrogryposis	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Lethal congenital contracture syndrome 8, OMIM:616287;Lethal congenital contracture syndrome 8, MONDO:0014570				24319099;26257172;31846058;33820833		False	3	67;0;33	3.159	False		ENSG00000174233	ENSG00000174233	HGNC:237													
ADGRG6	gene	ADGRG6	Expert Review Green;Literature	Arthrogryposis	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Lethal congenital contracture syndrome 9   616503  				26004201		False	3	100;0;0	3.159	False		ENSG00000112414	ENSG00000112414	HGNC:13841													
ALG3	gene	ALG3	Expert Review Green;Literature	Arthrogryposis	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Congenital disorder of glycosylation, type Id, 601110				26453362;28742265;16006436		False	3	50;50;0	3.159	False		ENSG00000214160	ENSG00000214160	HGNC:23056													
ANTXR2	gene	ANTXR2	Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Literature;Radboud University Medical Center, Nijmegen	Arthrogryposis	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Hyaline fibromatosis syndrome   228600  				14508707; 20301698 		False	3	100;0;0	3.159	False		ENSG00000163297	ENSG00000163297	HGNC:21732													
ASCC1	gene	ASCC1	Expert Review Green;Literature	Arthrogryposis	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Spinal muscular atrophy with congenital bone fractures 2, 616867;Spinal muscular atrophy;arthrogryposis;fetal akinesia;hypotonia;contractures				26924529;30327447;28749478		False	3	100;0;0	3.159	False		ENSG00000138303	ENSG00000138303	HGNC:24268													
ASXL1	gene	ASXL1	Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen	Arthrogryposis	Neuromuscular disorders	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Bohring-Opitz syndrome 605039				21706002		False	3	100;0;0	3.159	False		ENSG00000171456	ENSG00000171456	HGNC:18318													
ATP1A2	gene	ATP1A2	Expert Review Green;Literature	Arthrogryposis	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	arthrogryposis, microcephaly, malformations of cortical development, dysmorphic features and severe respiratory insufficiency				30690204;31608932		False	3	0;0;0	3.159	False		ENSG00000018625	ENSG00000018625	HGNC:800													
B3GALNT2	gene	B3GALNT2	Emory Genetics Laboratory;Expert Review Green;Radboud University Medical Center, Nijmegen	Arthrogryposis	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies typeA 11;congenital muscular dystrophies				23453667		False	3	100;0;0	3.159	False		ENSG00000162885	ENSG00000162885	HGNC:28596													
B4GAT1	gene	B4GAT1	Expert Review Green;Radboud University Medical Center, Nijmegen	Arthrogryposis	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), typeA, 13, 615287						False	3	100;0;0	3.159	False		ENSG00000174684	ENSG00000174684	HGNC:15685													
BICD2	gene	BICD2	Expert list;Expert Review Green	Arthrogryposis	Neuromuscular disorders	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	arthrogryposis multiplex congenita;Spinal muscular atrophy, lower extremity-predominant, 2A, 615290;autosomal dominant, Spinal muscular atrophy, lower extremity-predominant, 2B, autosomal dominant, 618291				28635954;27751653;29274205;28635954;30054298		False	3	100;0;0	3.159	False		ENSG00000185963	ENSG00000185963	HGNC:17208													
CACNA1E	gene	CACNA1E	Expert Review Green	Arthrogryposis	Neuromuscular disorders	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Epileptic encephalopathy, early infantile, 69, 618285;congenital joint contractures				30343943		False	3	50;50;0	3.159	False	Other	ENSG00000198216	ENSG00000198216	HGNC:1392													
CHAT	gene	CHAT	Emory Genetics Laboratory;Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;UKGTN	Arthrogryposis	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Myasthenic syndrome, congenital, associated with episodic apnea, 254210				20301347;11172068		False	3	100;0;0	3.159	False		ENSG00000070748	ENSG00000070748	HGNC:1912													
CHRNA1	gene	CHRNA1	Emory Genetics Laboratory;Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Arthrogryposis	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Congenital Myasthenic Syndrome, Dominant/Recessive;Myasthenic syndrome, slow-channel congenital, 601462Myasthenic syndrome, fast-channel congenital, 608930Multiple pterygium syndrome, lethal type, 253290				20301347		False	3	100;0;0	3.159	False	Other - please provide details in the comments	ENSG00000138435	ENSG00000138435	HGNC:1955													
CHRNB1	gene	CHRNB1	Emory Genetics Laboratory;Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Arthrogryposis	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Congenital Myasthenic Syndrome, Dominant/Recessive;Myasthenic syndrome, slow-channel congenital, 601462				20301347		False	3	100;0;0	3.159	False	Other - please provide details in the comments	ENSG00000170175	ENSG00000170175	HGNC:1961													
CHRND	gene	CHRND	Emory Genetics Laboratory;Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Arthrogryposis	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Multiple pterygium syndrome, lethal type, OMIM:253290				20301347;16916845		False	3	100;0;0	3.159	False	Other - please provide details in the comments	ENSG00000135902	ENSG00000135902	HGNC:1965													
CHRNE	gene	CHRNE	Emory Genetics Laboratory;Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Arthrogryposis	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Myasthenic syndrome, congenital, 4A, slow-channel 605809;Myasthenic syndrome, congenital, 4B, fast-channel 616324;Myasthenic syndrome, congenital, 4C, associated with acetylcholine receptor deficiency 608931				20301347		False	3	100;0;0	3.159	False		ENSG00000108556	ENSG00000108556	HGNC:1966													
