.id,gene_name,gene_id,lsv_id,mean_psi_per_lsv_junction,stdev_psi_per_lsv_junction,num_junctions,num_exons,de_novo_junctions,seqid,strand,lsv_junc,junc_start,junc_end,ir_start,ir_end,paste_into_igv_junction,exon_type,color_gene_name,alpha_gene_name,label_junction
Control_Control,KLHL13,ENSG00000003096.14,ENSG00000003096.14:s:117972731-117973738,0.0478,0.0288,4,4,1,chrX,-,ENSG00000003096.14:s:117972731-117973738_117971689-117972731,117971689,117972731,NA,NA,chrX:117971689-117972731,source,Delta PSI < 0.05,0,
Control_Control,RAD52,ENSG00000002016.18,ENSG00000002016.18:s:916206-916582,0.0167,0.0276,3,3,1,chr12,-,ENSG00000002016.18:s:916206-916582_914121-916344,914121,916344,914533,916205,chr12:914121-916344,source,Delta PSI < 0.05,0,
Control_Control,RAD52,ENSG00000002016.18,ENSG00000002016.18:t:913892-914198,0.0394,0.0729,3,3,1,chr12,-,ENSG00000002016.18:t:913892-914198_914121-916344,914121,916344,NA,NA,chr12:914121-916344,target,Delta PSI < 0.05,0,
Control_Control,RAD52,ENSG00000002016.18,ENSG00000002016.18:t:913892-914198,0.0394,0.0729,3,3,0,chr12,-,ENSG00000002016.18:t:913892-914198_914121-914411,914121,914411,NA,NA,chr12:914121-914411,target,Delta PSI > 0.05,0,
Control_Control,ICA1,ENSG00000003147.19,ENSG00000003147.19:s:8262440-8262687,0.0442,0.0207,7,6,0,chr7,-,ENSG00000003147.19:s:8262440-8262687_8235940-8262440,8235940,8262440,8262406,8262439,chr7:8235940-8262440,source,Delta PSI < 0.05,0,
Control_Control,CFLAR,ENSG00000003402.20,ENSG00000003402.20:s:201135655-201136107,0.0492,0.0527,2,3,0,chr2,+,ENSG00000003402.20:s:201135655-201136107_201136107-201136198,201136107,201136198,NA,NA,chr2:201136107-201136198,source,Delta PSI < 0.05,0,
Control_Control,MCUB,ENSG00000005059.16,ENSG00000005059.16:t:109685251-109685367,0.0376,0.0512,3,3,1,chr4,+,ENSG00000005059.16:t:109685251-109685367_109684549-109685251,109684549,109685251,NA,NA,chr4:109684549-109685251,target,Delta PSI > 0.05,0,
Control_Control,RPAP3,ENSG00000005175.10,ENSG00000005175.10:t:47661249-47663590,0.0343,0.0424,3,3,0,chr12,-,ENSG00000005175.10:t:47661249-47663590_47663590-47664590,47663590,47664590,NA,NA,chr12:47663590-47664590,target,Delta PSI < 0.05,0,
Control_Control,REXO5,ENSG00000005189.20,ENSG00000005189.20:t:20806952-20807091,0.0111,0.0228,5,5,0,chr16,+,ENSG00000005189.20:t:20806952-20807091_20806721-20806952,20806721,20806952,NA,NA,chr16:20806721-20806952,target,Delta PSI < 0.05,0,
Control_Control,SPPL2B,ENSG00000005206.17,ENSG00000005206.17:s:2338752-2338841,0.0319,0.0384,2,2,0,chr19,+,ENSG00000005206.17:s:2338752-2338841_2338841-2339065,2338841,2339065,NA,NA,chr19:2338841-2339065,source,Delta PSI < 0.05,0,
Control_Control,ABCB4,ENSG00000005471.19,ENSG00000005471.19:s:87423575-87424052,0.0167,0.0215,2,3,1,chr7,-,ENSG00000005471.19:s:87423575-87424052_87420075-87423906,87420075,87423906,NA,NA,chr7:87420075-87423906,source,Delta PSI < 0.05,0,
Control_Control,CFLAR,ENSG00000003402.20,ENSG00000003402.20:t:201140186-201140735,0.02,0.0291,2,3,1,chr2,+,ENSG00000003402.20:t:201140186-201140735_201138964-201140357,201138964,201140357,NA,NA,chr2:201138964-201140357,target,Delta PSI < 0.05,0,
Control_Control,FKBP4,ENSG00000004478.8,ENSG00000004478.8:s:2795657-2796368,0.0125,0.0171,2,2,0,chr12,+,ENSG00000004478.8:s:2795657-2796368_2796368-2797138,2796368,2797138,2796369,2796680,chr12:2796368-2797138,source,Delta PSI < 0.05,0,
Control_Control,RECQL,ENSG00000004700.16,ENSG00000004700.16:s:21501413-21501669,0.0041,0.0084,7,3,0,chr12,-,ENSG00000004700.16:s:21501413-21501669_21499615-21501413,21499615,21501413,NA,NA,chr12:21499615-21501413,source,Delta PSI < 0.05,0,
Control_Control,RECQL,ENSG00000004700.16,ENSG00000004700.16:t:21499555-21499615,0.0039,0.0043,3,3,0,chr12,-,ENSG00000004700.16:t:21499555-21499615_21499615-21501413,21499615,21501413,NA,NA,chr12:21499615-21501413,target,Delta PSI < 0.05,0,
Control_Control,GCFC2,ENSG00000005436.14,ENSG00000005436.14:t:75690488-75690719,0.0263,0.0357,2,3,0,chr2,-,ENSG00000005436.14:t:75690488-75690719_75690719-75694241,75690719,75694241,NA,NA,chr2:75690719-75694241,target,Delta PSI < 0.05,0,
Control_Control,CROT,ENSG00000005469.12,ENSG00000005469.12:s:87349048-87349183,0.0417,0.0596,2,3,0,chr7,+,ENSG00000005469.12:s:87349048-87349183_87349183-87357507,87349183,87357507,NA,NA,chr7:87349183-87357507,source,Delta PSI < 0.05,0,
Control_Control,CROT,ENSG00000005469.12,ENSG00000005469.12:t:87359206-87360116,0.0417,0.0596,2,3,0,chr7,+,ENSG00000005469.12:t:87359206-87360116_87357590-87359206,87357590,87359206,NA,NA,chr7:87357590-87359206,target,Delta PSI < 0.05,0,
Control_Control,ABCB4,ENSG00000005471.19,ENSG00000005471.19:t:87447034-87447205,0.0385,0.0703,2,3,0,chr7,-,ENSG00000005471.19:t:87447034-87447205_87447205-87448634,87447205,87448634,NA,NA,chr7:87447205-87448634,target,Delta PSI > 0.05,0,
Control_Control,ZNF195,ENSG00000005801.18,ENSG00000005801.18:s:3362533-3362831,0.0154,0.032,5,4,1,chr11,-,ENSG00000005801.18:s:3362533-3362831_3362032-3362546,3362032,3362546,NA,NA,chr11:3362032-3362546,source,Delta PSI < 0.05,0,
Control_Control,ZNF195,ENSG00000005801.18,ENSG00000005801.18:s:3370943-3371147,0.0351,0.0256,13,11,0,chr11,-,ENSG00000005801.18:s:3370943-3371147_3363391-3370975,3363391,3370975,NA,NA,chr11:3363391-3370975,source,Delta PSI < 0.05,0,
