Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ACTA1	gene	ACTA1	Expert Review;Expert Review Green	Distal myopathies	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal	Nemaline myopathy 3, autosomal dominant or recessive, OMIM:161800						False	3	100;0;0	1.47	False		ENSG00000143632	ENSG00000143632	HGNC:129													
ANO5	gene	ANO5	Expert Review;Expert Review Green	Distal myopathies	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Miyoshi muscular dystrophy 3, 613319				 20096397		False	3	100;0;0	1.47	False		ENSG00000171714	ENSG00000171714	HGNC:27337													
BAG3	gene	BAG3	Expert Review;Expert Review Green	Distal myopathies	Neuromuscular disorders	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	myofibrillar myopathy 6, 612954				21361913; 19085932		False	3	100;0;0	1.47	False		ENSG00000151929	ENSG00000151929	HGNC:939													
CNBP	gene	CNBP	Expert Review;Expert Review Green	Distal myopathies	Neuromuscular disorders	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Myotonic dystrophy 2, OMIM:602668;Myotonic dystrophy type 2, MONDO:0011266						False	3	100;0;0	1.47	False	Other - please provide details in the comments	ENSG00000169714	ENSG00000169714	HGNC:13164													
CRYAB	gene	CRYAB	Eligibility statement prior genetic testing;Expert Review Green	Distal myopathies	Neuromuscular disorders	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Myopathy, myofibrillar, 2, OMIM:608810;Myopathy, myofibrillar, fatal infantile hypertonic, alpha-B crystallin-related, OMIM:613869						False	3	100;0;0	1.47	False		ENSG00000109846	ENSG00000109846	HGNC:2389													
DES	gene	DES	Eligibility statement prior genetic testing;Expert Review Green	Distal myopathies	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Myopathy, myofibrillar 1, 601419				20718792		False	3	100;0;0	1.47	False		ENSG00000175084	ENSG00000175084	HGNC:2770													
DNAJB6	gene	DNAJB6	Expert Review;Expert Review Green	Distal myopathies	Neuromuscular disorders	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	limb-girdle muscular dystrophy type 1E, 603511						False	3	100;0;0	1.47	False		ENSG00000105993	ENSG00000105993	HGNC:14888													
DNM2	gene	DNM2	Expert Review;Expert Review Green	Distal myopathies	Neuromuscular disorders	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Centronuclear myopathy 1, OMIM:160150						False	3	100;0;0	1.47	False		ENSG00000079805	ENSG00000079805	HGNC:2974													
DYSF	gene	DYSF	Expert Review;Expert Review Green	Distal myopathies	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Miyoshi muscular dystrophy 1, 254130				20301480		False	3	100;0;0	1.47	False		ENSG00000135636	ENSG00000135636	HGNC:3097													
FHL1	gene	FHL1	Expert Review;Expert Review Green	Distal myopathies	Neuromuscular disorders	Neurology and neurodevelopmental disorders	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Reducing body myopathy, X-linked 1b, with late childhood or adult onset, 300718				 22094483; 7709723		False	3	100;0;0	1.47	False		ENSG00000022267	ENSG00000022267	HGNC:3702													
