Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ACP5	gene	ACP5	Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen	Intracerebral calcification disorders	Parenchymal brain disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Spondyloenchondrodysplasia with immune dysregulation;Spondyloenchondrodysplasia, short stature, SLE, intracranial calcification, spasticity, chilblains, autoimmune haemolytic anaemia				21217755;21217752;26951490		False	3	100;0;0	1.34	False		ENSG00000102575	ENSG00000102575	HGNC:124													
ADAR	gene	ADAR	Eligibility statement prior genetic testing;Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;UKGTN	Intracerebral calcification disorders	Parenchymal brain disorders	Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Aicardi-Goutieres syndrome 6;Aicardi-Goutieres syndrome;Aicardi-Gouti res, isolated spasticity, bilateral striatal necrosis				25604658;23001123		False	3	100;0;0	1.34	False		ENSG00000160710	ENSG00000160710	HGNC:225													
AP1S2	gene	AP1S2	Emory Genetics Laboratory;Expert Review Green	Intracerebral calcification disorders	Parenchymal brain disorders	Neurology and neurodevelopmental disorders	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Pettigrew syndrome, OMIM:304340;Calcifications in basal ganglia				10398241;17186471;17617514;18428203;22210230;23756445;30383884;30714330		False	3	0;0;0	1.34	False		ENSG00000182287	ENSG00000182287	HGNC:560													
COL4A1	gene	COL4A1	Expert list;Expert Review Green	Intracerebral calcification disorders	Parenchymal brain disorders	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Porencephaly 1;Variable phenotype - porencephaly, destructive cerebral lesions, eye anomalies, intracerebral calcification				22134833		False	3	100;0;0	1.34	False		ENSG00000187498	ENSG00000187498	HGNC:2202													
CTC1	gene	CTC1	Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen	Intracerebral calcification disorders	Parenchymal brain disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Cerebroretinal microangiopathy with calcifications and cysts, 612199;Coats Plus syndrome				22267198;22387016		False	3	100;0;0	1.34	False		ENSG00000178971	ENSG00000178971	HGNC:26169													
CYP2U1	gene	CYP2U1	Expert list;Expert Review Green	Intracerebral calcification disorders	Parenchymal brain disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Spastic paraplegia 56, autosomal recessive						False	3	100;0;0	1.34	False		ENSG00000155016	ENSG00000155016	HGNC:20582													
FARSA	gene	FARSA	Expert Review Green;Literature	Intracerebral calcification disorders	Parenchymal brain disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	?Rajab interstitial lung disease with brain calcifications 2, OMIM:619013				31355908;33598926		False	3	0;0;100	1.34	False		ENSG00000179115	ENSG00000179115	HGNC:3592													
FARSB	gene	FARSB	Expert list;Expert Review Green	Intracerebral calcification disorders	Parenchymal brain disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Rajab syndrome, MIM#613658;interstitial lung disease;brain calcifications;microcephaly;intellectual disability				29573043;19161147;29979980;30014610		False	3	100;0;0	1.34	False		ENSG00000116120	ENSG00000116120	HGNC:17800													
IFIH1	gene	IFIH1	Eligibility statement prior genetic testing;Expert list;Expert Review Green;UKGTN	Intracerebral calcification disorders	Parenchymal brain disorders	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Aicardi-Goutieres syndrome 7, OMIM:615846				24686847;25604658; 24995871		False	3	100;0;0	1.34	False		ENSG00000115267	ENSG00000115267	HGNC:18873													
JAM3	gene	JAM3	Expert Review Green;Radboud University Medical Center, Nijmegen	Intracerebral calcification disorders	Parenchymal brain disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Hemorrhagic destruction of the brain, subependymal calcification, and cataracts, 613730						False	3	0;0;0	1.34	False		ENSG00000166086	ENSG00000166086	HGNC:15532													
