Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
AARS	gene	AARS	Expert Review Green;Literature;NHS GMS;Victorian Clinical Genetics Services;Wessex and West Midlands GLH	Genetic epilepsy syndromes	Inherited Epilepsy Syndromes	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Developmental and epileptic encephalopathy 29, OMIM:616339;Developmental and epileptic encephalopathy, 29, MONDO:0014593				25817015;28493438		False	3	67;33;0	2.530	False		ENSG00000090861	ENSG00000090861	HGNC:20													
ABAT	gene	ABAT	Expert Review Green;Literature;NHS GMS;Victorian Clinical Genetics Services;Wessex and West Midlands GLH	Genetic epilepsy syndromes	Inherited Epilepsy Syndromes	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	GABA-transaminase deficiency 613163				20052547;27376954;27903293;10407778		False	3	75;25;0	2.530	False		ENSG00000183044	ENSG00000183044	HGNC:23													
ACOX1	gene	ACOX1	Expert Review Green;NHS GMS;Victorian Clinical Genetics Services;Wessex and West Midlands GLH	Genetic epilepsy syndromes	Inherited Epilepsy Syndromes	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Peroxisomal acyl-CoA oxidase deficiency, OMIM:264470				18536048		False	3	67;33;0	2.530	False		ENSG00000161533	ENSG00000161533	HGNC:119													
ACTL6B	gene	ACTL6B	Expert Review Green;Literature;NHS GMS;Wessex and West Midlands GLH	Genetic epilepsy syndromes	Inherited Epilepsy Syndromes	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Developmental and epileptic encephalopathy 76, OMIM:618468				31031012;30656450;26539891;27171548;30237576		False	3	67;33;0	2.530	False		ENSG00000077080	ENSG00000077080	HGNC:160													
ADAR	gene	ADAR	Expert Review Green;NHS GMS;Victorian Clinical Genetics Services;Wessex and West Midlands GLH	Genetic epilepsy syndromes	Inherited Epilepsy Syndromes	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Aicardi-Goutieres syndrome 6 615010				27937139;24011626		False	3	67;33;0	2.530	False		ENSG00000160710	ENSG00000160710	HGNC:225													
ADARB1	gene	ADARB1	Expert Review Green;Literature	Genetic epilepsy syndromes	Inherited Epilepsy Syndromes	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Neurodevelopmental disorder with hypotonia, microcephaly, and seizures, 618862				32220291;32719099		False	3	100;0;0	2.530	False		ENSG00000197381	ENSG00000197381	HGNC:226													
ADGRG1	gene	ADGRG1	Expert Review Green;NHS GMS;Victorian Clinical Genetics Services;Wessex and West Midlands GLH	Genetic epilepsy syndromes	Inherited Epilepsy Syndromes	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Polymicrogyria, bilateral frontoparietal, 606854						False	3	67;33;0	2.530	False		ENSG00000205336	ENSG00000205336	HGNC:4512													
ADPRHL2	gene	ADPRHL2	Expert Review Green;Literature;NHS GMS;Wessex and West Midlands GLH	Genetic epilepsy syndromes	Inherited Epilepsy Syndromes	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Neurodegeneration, childhood-onset, stress-induced, with variable ataxia and seizures OMIM:618170;neurodegeneration, childhood-onset, stress-induced, with variable ataxia and seizures MONDO:0100095				30100084;30401461		False	3	50;50;0	2.530	False		ENSG00000116863	ENSG00000116863	HGNC:21304													
ADSL	gene	ADSL	Expert;Expert Review Green;NHS GMS;UKGTN;Victorian Clinical Genetics Services;Wessex and West Midlands GLH	Genetic epilepsy syndromes	Inherited Epilepsy Syndromes	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Adenylosuccinase deficiency				Kmoch et al (2000) Hum Mol Genet 9(10): 1501-1513		False	3	83;17;0	2.530	False		ENSG00000239900	ENSG00000239900	HGNC:291													
AFF3	gene	AFF3	Expert Review Green;Literature;NHS GMS;Wessex and West Midlands GLH	Genetic epilepsy syndromes	Inherited Epilepsy Syndromes	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	KINSSHIP syndrome, OMIM:619297				18616733;21677750;25660031;31388108;33961779		False	3	50;50;0	2.530	False	Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000144218	ENSG00000144218	HGNC:6473													
AIMP1	gene	AIMP1	Expert Review Green;NHS GMS;Victorian Clinical Genetics Services;Wessex and West Midlands GLH	Genetic epilepsy syndromes	Inherited Epilepsy Syndromes	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Leukodystrophy, hypomyelinating, 3, OMIM:260600						False	3	67;33;0	2.530	False		ENSG00000164022	ENSG00000164022	HGNC:10648													
AKT3	gene	AKT3	Expert Review Green;NHS GMS;Victorian Clinical Genetics Services;Wessex and West Midlands GLH	Genetic epilepsy syndromes	Inherited Epilepsy Syndromes	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 2 615937						False	3	67;33;0	2.530	False		ENSG00000117020	ENSG00000117020	HGNC:393													
ALDH5A1	gene	ALDH5A1	Expert Review Green;NHS GMS;Victorian Clinical Genetics Services;Wessex and West Midlands GLH	Genetic epilepsy syndromes	Inherited Epilepsy Syndromes	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Succinic semialdehyde dehydrogenase deficiency OMIM:271980;succinic semialdehyde dehydrogenase deficiency MONDO:0010083				9683595;14635103;32402538		False	3	67;33;0	2.530	False		ENSG00000112294	ENSG00000112294	HGNC:408													
ALDH7A1	gene	ALDH7A1	Expert;Expert Review Green;NHS GMS;NIHRBR-RD Consortium SPEED_v3.0_20170404;Victorian Clinical Genetics Services;Wessex and West Midlands GLH	Genetic epilepsy syndromes	Inherited Epilepsy Syndromes	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Epilepsy, pyridoxine-dependent 266100				16491085;17068770;17721876		False	3	29;14;57	2.530	False		ENSG00000164904	ENSG00000164904	HGNC:877													
ALG1	gene	ALG1	Expert Review Green;NHS GMS;Victorian Clinical Genetics Services;Wessex and West Midlands GLH	Genetic epilepsy syndromes	Inherited Epilepsy Syndromes	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Congenital disorder of glycosylation, type Ik 608540						False	3	67;33;0	2.530	False		ENSG00000033011	ENSG00000033011	HGNC:18294													
ALG11	gene	ALG11	Expert Review Green;NHS GMS;Other;Victorian Clinical Genetics Services;Wessex and West Midlands GLH	Genetic epilepsy syndromes	Inherited Epilepsy Syndromes	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Congenital disorder of glycosylation, type Ip						False	3	67;33;0	2.530	False		ENSG00000253710	ENSG00000253710	HGNC:32456													
ALG13	gene	ALG13	Expert Review Green;NHS GMS;UKGTN;Victorian Clinical Genetics Services;Wessex and West Midlands GLH	Genetic epilepsy syndromes	Inherited Epilepsy Syndromes	Neurology and neurodevelopmental disorders	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Congenital disorder of glycosylation, type Is;Infantile spasms and LGS				23033978;23934111		False	3	83;17;0	2.530	False		ENSG00000101901	ENSG00000101901	HGNC:30881													
ALG14	gene	ALG14	Expert Review Green;Literature	Genetic epilepsy syndromes	Inherited Epilepsy Syndromes	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Congenital myasthenic syndrome;?Myasthenic syndrome, congenital, 15, without tubular aggregates, 616227				28733338;23404334;30221345		False	3	100;0;0	2.530	False		ENSG00000172339	ENSG00000172339	HGNC:28287													
ALG3	gene	ALG3	Expert Review Green;NHS GMS;Victorian Clinical Genetics Services;Wessex and West Midlands GLH	Genetic epilepsy syndromes	Inherited Epilepsy Syndromes	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Congenital disorder of glycosylation, type Id 601110						False	3	67;33;0	2.530	False		ENSG00000214160	ENSG00000214160	HGNC:23056													
ALG6	gene	ALG6	Expert Review Green;NHS GMS;Victorian Clinical Genetics Services;Wessex and West Midlands GLH	Genetic epilepsy syndromes	Inherited Epilepsy Syndromes	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Congenital disorder of glycosylation, type Ic 603147						False	3	67;33;0	2.530	False		ENSG00000088035	ENSG00000088035	HGNC:23157													
ALG8	gene	ALG8	Expert Review Green;NHS GMS;Victorian Clinical Genetics Services;Wessex and West Midlands GLH	Genetic epilepsy syndromes	Inherited Epilepsy Syndromes	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Congenital disorder of glycosylation, type Ih 608104				26066342;23430830;19688606		False	3	50;25;25	2.530	False		ENSG00000159063	ENSG00000159063	HGNC:23161													
ALG9	gene	ALG9	Expert Review Green;NHS GMS;Victorian Clinical Genetics Services;Wessex and West Midlands GLH	Genetic epilepsy syndromes	Inherited Epilepsy Syndromes	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Congenital disorder of glycosylation type Il 608776						False	3	67;33;0	2.530	False		ENSG00000086848	ENSG00000086848	HGNC:15672													
ALKBH8	gene	ALKBH8	Expert Review;Expert Review Green;Literature;NHS GMS;Wessex and West Midlands GLH	Genetic epilepsy syndromes	Inherited Epilepsy Syndromes	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Intellectual developmental disorder, autosomal recessive 71, OMIM:618504				31130284;31079898		False	3	40;60;0	2.530	False		ENSG00000137760	ENSG00000137760	HGNC:25189													
ALPL	gene	ALPL	Expert Review Green;NHS GMS;Victorian Clinical Genetics Services;Wessex and West Midlands GLH	Genetic epilepsy syndromes	Inherited Epilepsy Syndromes	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	"Hypophosphatasia, adult 146300 AD, AR;Hypophosphatasia, childhood 241510 AR;Hypophosphatasia, infantile 241500 AR;Odontohypophosphatasia	146300 AD, AR"				11999978;28802630;23479201;27086862;30655187;30083035;30979546		False	3	60;40;0	2.530	False		ENSG00000162551	ENSG00000162551	HGNC:438													
AMPD2	gene	AMPD2	Expert Review Green;NHS GMS;Victorian Clinical Genetics Services;Wessex and West Midlands GLH	Genetic epilepsy syndromes	Inherited Epilepsy Syndromes	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Pontocerebellar hypoplasia, type 9 615809						False	3	67;33;0	2.530	False		ENSG00000116337	ENSG00000116337	HGNC:469													
AMT	gene	AMT	Expert Review Green;NHS GMS;Victorian Clinical Genetics Services;Wessex and West Midlands GLH	Genetic epilepsy syndromes	Inherited Epilepsy Syndromes	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Glycine encephalopathy 605899						False	3	67;33;0	2.530	False		ENSG00000145020	ENSG00000145020	HGNC:473													
ANKRD11	gene	ANKRD11	Expert Review;Expert Review Green	Genetic epilepsy syndromes	Inherited Epilepsy Syndromes	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	KBG syndrome, 148050				29565525;30182498		False	3	100;0;0	2.530	False		ENSG00000167522	ENSG00000167522	HGNC:21316													
AP2M1	gene	AP2M1	Expert Review;Expert Review Green;Literature;NHS GMS;Wessex and West Midlands GLH	Genetic epilepsy syndromes	Inherited Epilepsy Syndromes	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Intellectual developmental disorder 60 with seizures, 618587;Seizures;Ataxia;Generalized hypotonia;Intellectual disability;Global developmental delay;Autistic behavior				31104773		False	3	75;25;0	2.530	False	Other	ENSG00000161203	ENSG00000161203	HGNC:564													
AP3B2	gene	AP3B2	Expert Review Green;Literature;NHS GMS;Victorian Clinical Genetics Services;Wessex and West Midlands GLH	Genetic epilepsy syndromes	Inherited Epilepsy Syndromes	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Epileptic encephalopathy, early infantile, 48 617276				27889060		False	3	75;25;0	2.530	False		ENSG00000103723	ENSG00000103723	HGNC:567													
APC2	gene	APC2	Expert Review Green;Literature	Genetic epilepsy syndromes	Inherited Epilepsy Syndromes	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Cortical dysplasia, complex, with other brain malformations 10 OMIM:618677				31585108;25753423;19759310;22573669		False	3	50;50;0	2.530	False		ENSG00000115266	ENSG00000115266	HGNC:24036													
ARFGEF2	gene	ARFGEF2	Expert Review Green;NHS GMS;Victorian Clinical Genetics Services;Wessex and West Midlands GLH	Genetic epilepsy syndromes	Inherited Epilepsy Syndromes	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Periventricular heterotopia with microcephaly 608097						False	3	67;33;0	2.530	False		ENSG00000124198	ENSG00000124198	HGNC:15853													
ARG1	gene	ARG1	Expert Review Green;Literature;NHS GMS;Wessex and West Midlands GLH	Genetic epilepsy syndromes	Inherited Epilepsy Syndromes	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Argininemia, OMIM:207800				26310552;1463019		False	3	67;33;0	2.530	False		ENSG00000118520	ENSG00000118520	HGNC:663													
ARHGEF9	gene	ARHGEF9	Expert;Expert Review Green;NHS GMS;NIHRBR-RD Consortium SPEED_v3.0_20170404;Radboud University Medical Center, Nijmegen;UKGTN;Victorian Clinical Genetics Services;Wessex and West Midlands GLH	Genetic epilepsy syndromes	Inherited Epilepsy Syndromes	Neurology and neurodevelopmental disorders	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Developmental and epileptic encephalopathy 8, OMIM:300607				21633362;15215304;17893116		False	3	86;14;0	2.530	True		ENSG00000131089	ENSG00000131089	HGNC:14561													
ARID1B	gene	ARID1B	Expert Review Green;NHS GMS;Victorian Clinical Genetics Services;Wessex and West Midlands GLH	Genetic epilepsy syndromes	Inherited Epilepsy Syndromes	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Coffin-Siris syndrome 1, 135900				22405089		False	3	75;25;0	2.530	True		ENSG00000049618	ENSG00000049618	HGNC:18040													
ARV1	gene	ARV1	Expert Review Green;NHS GMS;Victorian Clinical Genetics Services;Wessex and West Midlands GLH	Genetic epilepsy syndromes	Inherited Epilepsy Syndromes	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Epileptic encephalopathy, early infantile, 38 617020				27270415;25558065;26479315		False	3	50;50;0	2.530	False		ENSG00000173409	ENSG00000173409	HGNC:29561													
ARX	gene	ARX	Expert;Expert Review Green;NHS GMS;NIHRBR-RD Consortium SPEED_v3.0_20170404;Radboud University Medical Center, Nijmegen;UKGTN;Victorian Clinical Genetics Services;Wessex and West Midlands GLH	Genetic epilepsy syndromes	Inherited Epilepsy Syndromes	Neurology and neurodevelopmental disorders	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Epileptic encephalopathy, early infantile, 1 308350;Hydranencephaly with abnormal genitalia 300215;Lissencephaly, X-linked 2 300215;Mental retardation, X-linked 29 and others 300419;Partington syndrome 309510;Proud syndrome 300004				Tsurusaki et al (2002) Nature 30: 441-445;Kato et al (2004) Hum Mut 23: 147-159;Bienvenu et al (2002) Hum Mol Genet 11(8): 981-991;Partington et al (1998) Am J Med Genet 30: 251-262		False	3	83;17;0	2.530	False		ENSG00000004848	ENSG00000004848	HGNC:18060													
