gene_name,paste_into_igv_junction
MCUB,chr4:109684549-109685251
MTMR7,chr8:17302423-17307737
CELSR3,chr3:48649717-48650275
CELSR3,chr3:48649215-48649534
NFIX,chr19:13025552-13067345
TTC19,chr17:16006568-16008978
WDR37,chr10:1093496-1095668
CYFIP2,chr5:157360372-157361269
CYFIP2,chr5:157361336-157361468
FAM114A2,chr5:154034967-154037438
EVI5,chr1:92513970-92518696
ATP11A,chr13:112875941-112881876
COBLL1,chr2:164678883-164692221
EPHA6,chr3:96866889-96948656
TRAF5,chr1:211365468-211366391
C20orf194,chr20:3344699-3348525
C20orf194,chr20:3343731-3344641
UIMC1,chr5:176980390-176982469
SUCO,chr1:172570730-172571426
NRCAM,chr7:108184686-108189645
NUBP2,chr16:1784066-1785727
MTMR3,chr22:29988927-29991504
AP1B1,chr22:29366924-29367207
AP1B1,chr22:29363106-29366144
ADNP2,chr18:80132377-80133103
TBL1X,chrX:9689246-9691579
VRK3,chr19:49981013-49981818
PPP6R1,chr19:55240491-55240945
SPG11,chr15:44620403-44621246
MAST1,chr19:12842178-12843529
YKT6,chr7:44208198-44210090
CARD8,chr19:48223868-48231660
FUBP3,chr9:130617895-130619327
FUBP3,chr9:130619388-130620354
PTGES3L-AARSD1,chr17:42964237-42969156
SH3D19,chr4:151144288-151149500
ACAD10,chr12:111712193-111712498
GNB3,chr12:6843978-6845027
E2F3,chr6:20403832-20488113
FN1,chr2:215362934-215366933
AKT3,chr1:243527864-243545510
AKT3,chr1:243523467-243545510
DLGAP3,chr1:34929068-34929451
ERI3,chr1:44221640-44225766
SHLD2,chr10:87156837-87158048
PKN1,chr19:14450214-14450318
RIOK1,chr6:7405355-7409276
RIOK1,chr6:7409396-7410386
ABCC4,chr13:95157322-95161189
ABCC4,chr13:95116001-95157161
ABCC4,chr13:95116001-95157140
ATG14,chr14:55394715-55395940
RPL36,chr19:5675339-5676721
SYNE1,chr6:152247944-152249161
SYNE1,chr6:152244656-152247823
EFR3A,chr8:131904322-131905307
SPART,chr13:36336358-36346225
TGFBRAP1,chr2:105298705-105307483
EPC2,chr2:148769289-148770792
GIT2,chr12:109961451-109961613
FHOD1,chr16:67237403-67237538
LIMD2,chr17:63699348-63700921
GARNL3,chr9:127383545-127386870
DSCC1,chr8:119850516-119852554
HAUS2,chr15:42565646-42566607
CGREF1,chr2:27104776-27114624
TAF1,chrX:71423358-71423974
MFSD13A,chr10:102461451-102465677
MFSD13A,chr10:102472981-102474067
MFSD13A,chr10:102472997-102474067
MFSD13A,chr10:102465815-102465980
USP6NL,chr10:11485911-11487803
BBS7,chr4:121832173-121833231
BBS7,chr4:121828728-121832060
MAPK8IP3,chr16:1729578-1732039
WDFY2,chr13:51753748-51755358
DIP2C,chr10:417344-419065
TCF12,chr15:57263274-57265349
USP3,chr15:63588423-63588533
PTPRN2,chr7:158205273-158249607
CDK19,chr6:110622912-110623363
CEP131,chr17:81208356-81208928
CEP131,chr17:81207239-81208131
RPGR,chrX:38320634-38321027
RPGR,chrX:38318987-38320498
LRP8,chr1:53271346-53274643
LRP8,chr1:53271346-53274483
PDE9A,chr21:42759418-42760328
STAC,chr3:36461521-36482992
MYH15,chr3:108407618-108408280
DNAJB4,chr1:77979293-78005080
TRIM4,chr7:99892746-99900532
FOXK1,chr7:4682868-4737318
XRRA1,chr11:74845395-74848115
PPP2R3B,chrX:341479-341926
KCTD15,chr19:33800186-33800428
KCTD15,chr19:33800188-33800428
ZNF621,chr3:40532563-40537045
PLXNB1,chr3:48413169-48413458
CEP44,chr4:174318665-174331482
ZNF704,chr8:80798827-80821374
MICALL2,chr7:1444874-1446713
KDM1B,chr6:18213781-18214506
KDM1B,chr6:18213781-18214509
KDM1B,chr6:18214678-18215007
NPLOC4,chr17:81564077-81565505
COL18A1,chr21:45504043-45505817
DCHS1,chr11:6641733-6645488
C2orf76,chr2:119340361-119366790
TRAPPC9,chr8:140297215-140300469
TRAPPC9,chr8:140291078-140297119
CA5B,chrX:15769511-15772496
ATG7,chr3:11342279-11358418
ATG7,chr3:11364734-11366436
RAPH1,chr2:203441413-203441823
KCNH6,chr17:63524369-63524497
DENND1B,chr1:197560874-197583152
RNF152,chr18:61816598-61867997
SHMT1,chr17:18344311-18347496
WASH7P,chr1:19312-19383
BMP8A,chr1:39511363-39511787
ZNF197,chr3:44642217-44646491
RP11-529K1.3,chr16:70331775-70370277
AGRN,chr1:1044439-1044888
IGF2R,chr6:160060785-160061503
PHF2,chr9:93661646-93662907
ZNF667,chr19:56462429-56474012
ZNF583,chr19:56406447-56407026
RD3,chr1:211479327-211480688
RP5-921G16.1,chr7:124032279-124077247
CTC-260F20.3,chr19:19528686-19529364
RP1-283E3.8,chr1:1709640-1719358
TAF15,chr17:35844818-35844861
