Protein IDs,Majority protein IDs,Protein names,Gene names,Lead gene name,id,Peptides,Razor + unique peptides,Unique peptides,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Q-value,Score,MS/MS count,Minus_log10_Pvalue,Log2FC,Median Normalized Intensity Cont1,Median Normalized Intensity Cont2,Median Normalized Intensity Cont3,Median Normalized Intensity Cont4,Median Normalized Intensity Cont5,Median Normalized Intensity Cont6,Median Normalized Intensity KD1,Median Normalized Intensity KD2,Median Normalized Intensity KD3,Median Normalized Intensity KD4,Median Normalized Intensity KD5,Median Normalized Intensity KD6
A0A2R8YD12;A0A024QZX5;A0A087X1N8;P35237;A0A2R8Y6A7,A0A2R8YD12;A0A024QZX5;A0A087X1N8;P35237,Serpin B6,SERPINB6,SERPINB6,0,4,4,4,16,16,16,38.124,0.0047785,2.0326,7,0.065069984,0.084091326,3.146896362,3.371450186,1.138566613,2.367238045,2.539439678,3.053788662,2.29308486,3.913182497,2.78366971,2.743304729,2.938450336,1.450235367
A0A024R4E5;Q00341;H0Y394;H7C0A4;H7C2D1;C9JZI8;H7BZC3;C9JIZ1;C9J5E5;C9JES8;C9JHZ8;C9JK79;C9JHS7;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6,A0A024R4E5;Q00341;H0Y394,Vigilin,HDLBP,HDLBP,1,23,23,23,29.2,29.2,29.2,141.44,0,123.27,300,1.178269851,0.154600739,2.633855581,2.647824764,2.329864025,2.445388317,2.382022858,2.712105751,2.789583206,2.668336391,2.772994757,2.654021263,2.538564205,2.655165911
A0A087WZA9;A0A024R4K9;A0A087X266;Q9BXJ8,A0A087WZA9;A0A024R4K9;A0A087X266;Q9BXJ8,Transmembrane protein 120A,TMEM120A;TMPIT,TMEM120A,2,3,3,3,29.9,29.9,29.9,20.459,0,6.8839,34,0.401379136,0.441772083,-3.773682833,-2.913567543,-1.352634907,-2.262450933,-0.802155972,-2.842523098,-2.319007397,-1.754108071,-1.38643074,-2.471458673,-2.235453129,-1.129924774
A0A024R571;Q9H4M9;C9JC03;C9J2Z4;C9JDQ8;C9JIJ3;C9IZH1,A0A024R571;Q9H4M9;C9JC03;C9J2Z4,EH domain-containing protein 1,EHD1,EHD1,3,32,32,20,61.5,61.5,44.2,61.927,0,194.2,399,0.030628751,-0.006215175,4.521692753,4.35746479,4.377254486,4.173051834,4.345639229,4.489129543,4.211597919,4.487243652,4.225428581,4.473840714,4.414503574,4.414327145
A0A1B0GWI2;A0A024R644;O75503;A0A1B0GVL0;A0A087WZY0;A0A1B0GTR6;A0A1B0GWJ7;A0A1C7CYZ2;A0A1B0GTV7;A0A1B0GUE8;A0A1B0GV94,A0A1B0GWI2;A0A024R644;O75503;A0A1B0GVL0;A0A087WZY0;A0A1B0GTR6;A0A1B0GWJ7;A0A1C7CYZ2;A0A1B0GTV7;A0A1B0GUE8;A0A1B0GV94,Ceroid-lipofuscinosis neuronal protein 5,CLN5,CLN5,4,2,2,2,14.1,14.1,14.1,35.444,0,26.886,16,0.066783461,-0.081439455,-2.408381939,-2.209856987,-2.416590691,-3.450547457,-2.02503562,-1.862435341,-2.031034946,-1.932696819,-2.527700901,-2.0605762,-1.993107796,-4.316368103
K7EN05;K7EPC8;A0A024R7E8;K7EQ44;K7EMV4;P60002,K7EN05;K7EPC8;A0A024R7E8;K7EQ44;K7EMV4;P60002,Transcription elongation factor 1 homolog,ELOF1,ELOF1,5,1,1,1,23.7,23.7,23.7,8.6531,0.0053972,1.9797,12,0.839544282,0.418202966,-1.883635879,-2.342779398,-3.028180361,-2.71147728,NaN,NaN,-1.923264146,-2.379717112,-1.711602211,-2.257544994,NaN,-2.094447851
A0A024RA52;P25787;C9JCK5;H3BT36;H7C402,A0A024RA52;P25787;C9JCK5,Proteasome subunit alpha type;Proteasome subunit alpha type-2,PSMA2,PSMA2,6,12,12,12,65.4,65.4,65.4,25.898,0,323.31,365,0.05833142,-0.014962077,4.063240528,3.83393836,3.78865242,3.903419971,4.020423412,3.885098219,3.678169489,4.058208466,3.781994581,4.018823147,4.150454044,3.717350721
A0A024RAC6;Q14241,A0A024RAC6;Q14241,Transcription elongation factor B polypeptide 3,TCEB3,TCEB3,7,4,4,4,8.8,8.8,8.8,87.229,0,34.287,26,1.324818083,1.002512376,-2.521531105,-3.954774141,-4.277121544,-4.336430073,-4.253593445,-3.330137491,-3.084050655,-1.942331791,-1.605774164,-3.477718353,-2.996021509,-3.552617073
A0A024RBG1;Q9NZJ9;F8VRL4;F8VRR0;A0A0C4DGJ4,A0A024RBG1;Q9NZJ9,Diphosphoinositol polyphosphate phosphohydrolase 2,NUDT4,NUDT4,8,6,2,2,38.7,21,21,20.434,0,50.187,29,1.422125177,0.554226998,-3.586654186,-3.159904242,-2.678642511,NaN,-3.21606493,-3.38757658,-2.767962456,-2.597911119,-3.157158375,-2.788569927,-1.927044272,-2.670602798
G8JLL2;A0A0G2JK02;A0A0G2JIU6;A0A0G2JHB6;A0A0G2JKR3;A0A140T9Y1;A0A0G2JLL3;A0A0G2JLA3;A0A0G2JH76;A0A024RCQ8;A0A140T8X7;Q9UMR5;A0A0G2JLK6,G8JLL2;A0A0G2JK02;A0A0G2JIU6;A0A0G2JHB6;A0A0G2JKR3;A0A140T9Y1;A0A0G2JLL3;A0A0G2JLA3;A0A0G2JH76;A0A024RCQ8;A0A140T8X7;Q9UMR5;A0A0G2JLK6,Lysosomal thioesterase PPT2,PPT2;hCG_1999928,PPT2,9,2,2,2,25.6,25.6,25.6,20.398,0,12.446,41,0.449684248,0.509454558,-2.78175807,-3.947508812,-1.543822408,-1.952988267,-1.194878817,-1.327911615,-2.90481925,-1.33999908,-1.710070491,-1.222789526,-0.756268442,-1.758193851
A0A0G2JL47;A0A024RCR6;A0A0G2JK23;P46379,A0A0G2JL47;A0A024RCR6;A0A0G2JK23;P46379,Large proline-rich protein BAG6,BAT3;BAG6,BAT3,10,2,2,2,4.1,4.1,4.1,113.46,0,5.6396,11,0.384078309,-0.169509053,-2.936351538,-2.846883059,-3.000476837,-2.796625376,-2.559984446,-2.856468439,-2.764637947,-3.724678993,-3.299989223,-2.65974021,-3.086506367,-2.478291273
Q8NB49;A0A067XG54;H7C0E8,Q8NB49;A0A067XG54,Phospholipid-transporting ATPase IG;Phospholipid-transporting ATPase,ATP11C,ATP11C,11,3,3,3,6.3,6.3,6.3,129.48,0,6.493,7,0.489444248,-0.50630186,-2.7377491,-3.435618877,-2.36690259,-2.971094131,-1.991464972,-3.239558458,-2.69521451,-2.998793602,-3.097434998,-3.665889263,-2.115019798,-5.207847118
M0R3B2;A0A075B6F9;Q9Y314;M0R1T7;M0QX85;M0R1K2;A0A075B797,M0R3B2;A0A075B6F9;Q9Y314,Nitric oxide synthase-interacting protein,NOSIP,NOSIP,12,3,3,3,19.5,19.5,19.5,26.804,0,5.0659,13,0.079199978,0.164166495,-2.531396627,-0.496350855,-1.393670321,-1.248038411,-1.802702427,-3.556574583,-0.632973373,-3.372035742,-3.872350454,-0.59734273,-0.779004455,-0.790027499
