Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
AARS2	gene	AARS2	Expert list;Expert Review Green	Inherited white matter disorders	White matter disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Leukoencephalopathy with ovarian failure;General Leukodystrophy & Mitochondrial Leukoencephalopathy				25655951;24808023;25705216;27251004		False	3	100;0;0	1.158	False		ENSG00000124608	ENSG00000124608	HGNC:21022													
ABCD1	gene	ABCD1	Emory Genetics Laboratory;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Inherited white matter disorders	White matter disorders	Neurology and neurodevelopmental disorders	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Adrenoleukodystrophy, 300100; Adrenomyeloneuropathy, adult, 300100;X-Linked Adrenoleukodystrophy;Adrenoleukodystrophy, X-linked;Adrenoleukodystrophy				25655951;8040304;11810273		False	3	100;0;0	1.158	False		ENSG00000101986	ENSG00000101986	HGNC:61													
ACBD5	gene	ACBD5	Expert Review Green;Literature	Inherited white matter disorders	White matter disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Retinal dystrophy with leukodystrophy, OMIM:618863				23105016;27899449;27799409;33427402		False	3	100;0;0	1.158	False		ENSG00000107897	ENSG00000107897	HGNC:23338													
ACOX1	gene	ACOX1	Emory Genetics Laboratory;Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Inherited white matter disorders	White matter disorders	Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal	Peroxisomal acyl-CoA oxidase deficiency 264470;General Leukodystrophy & Mitochondrial Leukoencephalopathy;Mitchell syndrome, OMIM:618960				17458872;25655951;11815777;32169171		False	3	100;0;0	1.158	False		ENSG00000161533	ENSG00000161533	HGNC:119													
ADAR	gene	ADAR	Expert list;Expert Review Green	Inherited white matter disorders	White matter disorders	Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Aicardi-Goutieres Syndrome;General Leukodystrophy & Mitochondrial Leukoencephalopathy				Parikh et al. Molecular Genetics and Metabolism 114 (2015) 501_584		False	3	100;0;0	1.158	False		ENSG00000160710	ENSG00000160710	HGNC:225													
AIMP1	gene	AIMP1	Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen	Inherited white matter disorders	White matter disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Leukodystrophy, hypomyelinating, 3, OMIM:260600				25655951;24958424;21092922;24958424;26173967		False	3	100;0;0	1.158	False		ENSG00000164022	ENSG00000164022	HGNC:10648													
ALDH3A2	gene	ALDH3A2	Expert list;Expert Review Green	Inherited white matter disorders	White matter disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Sjogren-Larsson syndrome, OMIM:270200;General Leukodystrophy & Mitochondrial Leukoencephalopathy				25655951		False	3	100;0;0	1.158	False		ENSG00000072210	ENSG00000072210	HGNC:403													
ARSA	gene	ARSA	Emory Genetics Laboratory;Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Inherited white matter disorders	White matter disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	"Metachromatic leukodystrophy (Arylsulfatase A Deficiency)	250100"				25655951;2574462;1670590		False	3	100;0;0	1.158	False		ENSG00000100299	ENSG00000100299	HGNC:713													
ASPA	gene	ASPA	Expert list;Expert Review Green	Inherited white matter disorders	White matter disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	25655951;General Leukodystrophy & Mitochondrial Leukoencephalopathy				25655951		False	3	100;0;0	1.158	False		ENSG00000108381	ENSG00000108381	HGNC:756													
BCAP31	gene	BCAP31	Expert Review Green;Radboud University Medical Center, Nijmegen	Inherited white matter disorders	White matter disorders	Neurology and neurodevelopmental disorders	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Deafness, dystonia and cerebellar hypomyelination, 300475						False	3	0;0;0	1.158	False		ENSG00000185825	ENSG00000185825	HGNC:16695													
