Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
AR	gene	AR	Expert Review Green;Radboud University Medical Center, Nijmegen;UKGTN	Paediatric motor neuronopathies	Motor and Sensory Disorders of the PNS	Neurology and neurodevelopmental disorders	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Spinal and bulbar muscular atrophy of Kennedy, OMIM:313200				20301508;2062380;11436124		False	3	67;0;33	1.78	False	Other - please provide details in the comments	ENSG00000169083	ENSG00000169083	HGNC:644													
ASAH1	gene	ASAH1	Expert Review Green;Radboud University Medical Center, Nijmegen	Paediatric motor neuronopathies	Motor and Sensory Disorders of the PNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Spinal muscular atrophy with progressive myoclonic epilepsy, OMIM:159950				22703880		False	3	100;0;0	1.78	False		ENSG00000104763	ENSG00000104763	HGNC:735													
BICD2	gene	BICD2	Expert;Expert Review Green;Radboud University Medical Center, Nijmegen	Paediatric motor neuronopathies	Motor and Sensory Disorders of the PNS	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Spinal muscular atrophy, lower extremity-predominant, 2A, autosomal dominant, OMIM:615290						False	3	100;0;0	1.78	False		ENSG00000185963	ENSG00000185963	HGNC:17208													
CHCHD10	gene	CHCHD10	Expert Review Green;Radboud University Medical Center, Nijmegen	Paediatric motor neuronopathies	Motor and Sensory Disorders of the PNS	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Spinal muscular atrophy, Jokela type, OMIM:615048				25428574;31261376		False	3	100;0;0	1.78	False		ENSG00000250479	ENSG00000250479	HGNC:15559													
DYNC1H1	gene	DYNC1H1	Expert;Expert Review Green;Radboud University Medical Center, Nijmegen	Paediatric motor neuronopathies	Motor and Sensory Disorders of the PNS	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Spinal muscular atrophy, lower extremity-predominant 1, AD, OMIM:158600				22459677		False	3	100;0;0	1.78	False		ENSG00000197102	ENSG00000197102	HGNC:2961													
EXOSC3	gene	EXOSC3	Emory Genetics Laboratory;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Paediatric motor neuronopathies	Motor and Sensory Disorders of the PNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Pontocerebellar hypoplasia, type 1B, OMIM:614678				22544365		False	3	100;0;0	1.78	False		ENSG00000107371	ENSG00000107371	HGNC:17944													
IGHMBP2	gene	IGHMBP2	Expert;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;UKGTN	Paediatric motor neuronopathies	Motor and Sensory Disorders of the PNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Neuronopathy, distal hereditary motor, type VI, OMIM:604320						False	3	100;0;0	1.78	False	Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000132740	ENSG00000132740	HGNC:5542													
SLC52A2	gene	SLC52A2	Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;UKGTN	Paediatric motor neuronopathies	Motor and Sensory Disorders of the PNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Brown-Vialetto-Van Laere syndrome 2, OMIM:614707				23243084;22864630		False	3	100;0;0	1.78	False	Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000185803	ENSG00000185803	HGNC:30224													
SLC52A3	gene	SLC52A3	Expert Review Green;Radboud University Medical Center, Nijmegen;UKGTN	Paediatric motor neuronopathies	Motor and Sensory Disorders of the PNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Brown-Vialetto-Van Laere syndrome 1, OMIM:211530				20206331;20920669		False	3	100;0;0	1.78	False	Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000101276	ENSG00000101276	HGNC:16187													
SMN1	gene	SMN1	Emory Genetics Laboratory;Expert;Expert Review Green;Radboud University Medical Center, Nijmegen;UKGTN	Paediatric motor neuronopathies	Motor and Sensory Disorders of the PNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Spinal muscular atrophy 1, OMIM:253300;Spinal muscular atrophy 2, OMIM:253550;Spinal muscular atrophy 3, OMIM:253400;Spinal muscular atrophy 4, OMIM:271150				7813012;32644125;32644120		False	3	100;0;0	1.78	False	Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000172062	ENSG00000172062	HGNC:11117													
