Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
AARS	gene	AARS	Emory Genetics Laboratory;Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;London North GLH;NHS GMS;Radboud University Medical Center, Nijmegen;South West GLH;UKGTN	Hereditary neuropathy	Motor and Sensory Disorders of the PNS	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Charcot-Marie-Tooth disease, axonal, type 2N, OMIM:613287;Charcot-Marie-Tooth disease axonal type 2N, MONDO:0013212				20045102;26032230, 26392352		False	3	86;14;0	1.453	True		ENSG00000090861	ENSG00000090861	HGNC:20													
ABCA1	gene	ABCA1	Expert Review Green;London North GLH;NHS GMS	Hereditary neuropathy	Motor and Sensory Disorders of the PNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Tangier disease, 205400;Multifocal relapsing mononeuropathies. Orange tonsils, organomegaly;pain, paresthesias, anaesthesia				29582519		False	3	100;0;0	1.453	False		ENSG00000165029	ENSG00000165029	HGNC:29													
ABHD12	gene	ABHD12	Expert Review Green;London North GLH;NHS GMS	Hereditary neuropathy	Motor and Sensory Disorders of the PNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Neurodegeneration, childhood-onset, with cerebellar atrophy,612674;Onset 2nd decade, neuropathy with SNCV, sensory neuronal hearing loss, retinitis pigmentosa, spastic paraplegia, ataxia				29571850;20797687		False	3	100;0;0	1.453	False		ENSG00000100997	ENSG00000100997	HGNC:15868													
AGTPBP1	gene	AGTPBP1	Expert Review Green;London North GLH;NHS GMS	Hereditary neuropathy	Motor and Sensory Disorders of the PNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Neurodegeneration, childhood-onset, with cerebellar atrophy, 618276;Early onset cerebellar atrophy, developmental delay, and feeding and respiratory difficulties, severe motor neuronopathy				30420557		False	3	100;0;0	1.453	False		ENSG00000135049	ENSG00000135049	HGNC:17258													
AIFM1	gene	AIFM1	Expert Review;Expert Review Green;London North GLH;NHS GMS;South West GLH	Hereditary neuropathy	Motor and Sensory Disorders of the PNS	Neurology and neurodevelopmental disorders	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Cowchock syndrome, OMIM:310490;Combined oxidative phosphorylation deficiency 6, OMIM:300816				3856385		False	3	80;20;0	1.453	True		ENSG00000156709	ENSG00000156709	HGNC:8768													
APTX	gene	APTX	Emory Genetics Laboratory;Expert Review Green;London North GLH;NHS GMS;South West GLH	Hereditary neuropathy	Motor and Sensory Disorders of the PNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Hereditary Neuropathies;Ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia;ATAXIA WITH OCULOMOTOR APRAXIA 1				11176957		False	3	75;25;0	1.453	True		ENSG00000137074	ENSG00000137074	HGNC:15984													
ARSA	gene	ARSA	Expert Review Green;London North GLH;NHS GMS	Hereditary neuropathy	Motor and Sensory Disorders of the PNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Metachromatic leukodystrophy, 250100;Severe late infantile form with mental retardation and severe course. Regression before 30 months;adult onset, psychiatric symptoms, leukodystrophy on MRI, progressive neuropathy with SNCV, optic atrophy						False	3	100;0;0	1.453	False		ENSG00000100299	ENSG00000100299	HGNC:713													
ATL1	gene	ATL1	Emory Genetics Laboratory;Expert list;Expert Review Green;London North GLH;NHS GMS;Radboud University Medical Center, Nijmegen;South West GLH;UKGTN	Hereditary neuropathy	Motor and Sensory Disorders of the PNS	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Neuropathy, hereditary sensory, type ID, 613708				21194679		False	3	86;14;0	1.453	True		ENSG00000198513	ENSG00000198513	HGNC:11231													
ATM	gene	ATM	Emory Genetics Laboratory;Expert Review Green;London North GLH;NHS GMS;South West GLH	Hereditary neuropathy	Motor and Sensory Disorders of the PNS	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Ataxia-telangiectasia, OMIM:208900;Hereditary Neuropathies						False	3	50;25;25	1.453	False		ENSG00000149311	ENSG00000149311	HGNC:795													
ATP1A1	gene	ATP1A1	Expert Review Green;London North GLH;NHS GMS	Hereditary neuropathy	Motor and Sensory Disorders of the PNS	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Charcot-Marie-Tooth disease, axonal, type 2DD, 618036				29499166		False	3	100;0;0	1.453	False		ENSG00000163399	ENSG00000163399	HGNC:799													
