#ID	peptide_length	Fickett_score	pI	ORF_integrity	coding_probability	label
ENST00000377093.9	1154	0.39339	8.66094970703	1	1	coding
ENST00000676179.1	1817	0.41107	5.41876220703	1	1	coding
ENST00000696501.1	152	0.3566	5.43804931641	1	0.915394	coding
ENST00000696506.1	124	0.34424	8.43621826172	1	0.353241	noncoding
ENST00000620295.2	1810	0.43495	5.38397216797	1	1	coding
ENST00000622724.3	1798	0.43495	5.29583740234	1	1	coding
ENST00000635499.1	435	0.39012	6.53045654297	1	1	coding
ENST00000375799.8	1020	0.4724	4.81829833984	1	1	coding
ENST00000375793.2	1000	0.45726	4.88555908203	1	1	coding
ENST00000462455.1	134	0.44015	5.16900634766	-1	0.0954444	noncoding
ENST00000477849.1	160	0.40637	5.49481201172	1	0.979626	coding
ENST00000375341.8	564	0.45618	8.24810791016	1	1	coding
ENST00000538839.5	513	0.45343	8.52972412109	1	1	coding
ENST00000454547.1	123	0.43678	7.89581298828	1	0.754248	coding
ENST00000432718.1	214	0.43256	8.90411376953	-1	0.268498	noncoding
ENST00000312239.10	554	0.39696	9.68572998047	1	1	coding
ENST00000375003.6	402	0.33061	10.098449707	1	0.999858	coding
ENST00000488722.5	174	0.48554	10.0514526367	1	0.994631	coding
ENST00000491748.1	98	0.34963	5.12237548828	-1	0.0479109	noncoding
ENST00000419948.5	215	0.4733	9.81573486328	-1	0.387733	noncoding
ENST00000424732.5	278	0.47029	9.51751708984	-1	0.556628	coding
ENST00000417710.5	124	0.42918	4.49298095703	-1	0.0858346	noncoding
ENST00000487117.1	118	0.35886	4.49273681641	1	0.743417	coding
ENST00000375000.5	134	0.44227	4.53216552734	1	0.966241	coding
ENST00000437575.5	45	0.35524	4.43487548828	-1	0.0183133	noncoding
ENST00000414993.1	75	0.35068	4.78912353516	-1	0.0322522	noncoding
ENST00000443615.1	19	0.34246	11.7229614258	-1	0.194026	noncoding
ENST00000455364.2	494	0.44013	8.20318603516	1	1	coding
ENST00000686194.1	285	0.42821	8.47039794922	1	0.999964	coding
ENST00000686655.1	82	0.405	9.06378173828	1	0.154185	noncoding
ENST00000688730.1	367	0.44885	8.73687744141	1	1	coding
ENST00000688522.1	494	0.44136	8.20318603516	1	1	coding
ENST00000674202.1	494	0.3303	8.20318603516	1	1	coding
ENST00000691454.1	410	0.44625	6.87677001953	1	1	coding
ENST00000689130.1	284	0.39649	8.65679931641	1	0.999856	coding
ENST00000472757.5	253	0.42811	8.99542236328	-1	0.352234	noncoding
ENST00000686422.1	435	0.37096	7.61297607422	1	1	coding
ENST00000691135.1	494	0.36581	8.20318603516	1	1	coding
ENST00000374145.6	494	0.40372	8.20318603516	1	1	coding
ENST00000374135.9	311	0.35221	5.06597900391	1	0.999994	coding
ENST00000374133.3	132	0.46488	4.58502197266	1	0.959198	coding
ENST00000431781.2	132	0.43251	5.32244873047	-1	0.0854187	noncoding
ENST00000324350.9	230	0.39456	8.71844482422	1	0.997239	coding
ENST00000397828.3	230	0.41431	8.71844482422	1	0.998565	coding
ENST00000634486.1	586	0.39286	9.31695556641	1	1	coding
ENST00000373191.9	861	0.32465	9.25689697266	1	1	coding
ENST00000246314.10	627	0.42732	9.20843505859	1	1	coding
ENST00000491443.2	167	0.45244	9.47625732422	1	0.980483	coding
ENST00000372502.5	316	0.33235	7.90460205078	1	0.999712	coding
ENST00000372508.7	285	0.3521	8.67694091797	1	0.999039	coding
ENST00000651192.1	316	0.34163	7.90460205078	1	0.999819	coding
ENST00000372507.5	312	0.33381	8.53997802734	1	0.999389	coding
ENST00000372506.5	316	0.34163	7.90460205078	1	0.999819	coding
ENST00000397034.3	133	0.35548	5.45538330078	-1	0.0764059	noncoding
ENST00000372503.2	296	0.3699	7.60906982422	-1	0.353673	noncoding
ENST00000630961.1	307	0.33381	8.64691162109	1	0.999158	coding
ENST00000434555.7	373	0.32909	9.46868896484	1	0.99981	coding
ENST00000372324.6	373	0.36421	9.46868896484	1	0.999979	coding
ENST00000481924.2	324	0.32666	9.06951904297	1	0.999073	coding
ENST00000485678.6	217	0.35895	9.99151611328	1	0.965043	coding
ENST00000356836.10	373	0.3695	9.46868896484	1	0.999985	coding
ENST00000309519.8	402	0.42449	9.15155029297	1	1	coding
ENST00000371945.10	425	0.41838	6.35809326172	1	1	coding
ENST00000341183.9	330	0.40275	7.05255126953	1	0.999998	coding
ENST00000649800.1	466	0.41652	6.25665283203	1	1	coding
ENST00000650026.1	348	0.36435	6.34051513672	1	0.999998	coding
ENST00000650508.1	425	0.39788	6.35809326172	1	1	coding
ENST00000342571.7	330	0.38485	7.05255126953	1	0.999995	coding
ENST00000524749.5	72	0.38045	4.59490966797	1	0.169589	noncoding
ENST00000532897.5	151	0.45149	5.13201904297	1	0.983818	coding
ENST00000530528.1	114	0.45622	5.25543212891	-1	0.0743024	noncoding
ENST00000531355.6	240	0.40963	5.90252685547	1	0.999844	coding
ENST00000532783.5	171	0.45586	9.01739501953	-1	0.206364	noncoding
ENST00000496619.6	178	0.45738	9.16436767578	-1	0.230244	noncoding
ENST00000484301.5	102	0.28842	9.75616455078	1	0.0923432	noncoding
ENST00000486716.5	134	0.36889	9.16021728516	1	0.561463	coding
ENST00000531769.6	100	0.36108	9.69354248047	-1	0.143535	noncoding
ENST00000465783.6	92	0.44256	9.35809326172	1	0.379237	noncoding
ENST00000477883.1	92	0.35821	9.12908935547	1	0.132586	noncoding
ENST00000525888.5	38	0.35866	9.78216552734	1	0.0157192	noncoding
ENST00000468852.2	48	0.37392	7.95611572266	1	0.0180944	noncoding
ENST00000396148.2	181	0.46326	10.8181762695	1	0.991521	coding
ENST00000371761.4	169	0.46897	6.04852294922	1	0.992141	coding
ENST00000306052.12	964	0.36683	4.88043212891	1	1	coding
ENST00000657047.1	144	0.44138	6.32037353516	1	0.945597	coding
ENST00000653810.1	499	0.38838	6.43878173828	1	1	coding
ENST00000529670.6	87	0.46023	5.56231689453	1	0.388724	noncoding
ENST00000668071.1	499	0.40186	6.43878173828	1	1	coding
ENST00000653217.1	558	0.39814	6.26190185547	1	1	coding
ENST00000669432.1	443	0.29404	7.21490478516	1	0.999996	coding
ENST00000465675.6	558	0.4065	6.26190185547	1	1	coding
ENST00000662604.1	733	0.40736	5.04693603516	1	1	coding
ENST00000658404.1	458	0.39071	5.79132080078	1	1	coding
ENST00000354412.7	701	0.39744	4.84356689453	1	1	coding
ENST00000668991.1	558	0.3935	6.26190185547	1	1	coding
ENST00000459674.5	452	0.37796	8.05010986328	-1	0.696862	coding
ENST00000659993.1	889	0.34994	4.94598388672	1	1	coding
ENST00000460214.6	85	0.46027	9.68817138672	-1	0.107507	noncoding
ENST00000294383.7	2621	0.4465	5.78594970703	1	1	coding
ENST00000484447.5	135	0.43025	6.35845947266	1	0.896487	coding
ENST00000480962.1	120	0.43918	7.89263916016	-1	0.0832799	noncoding
ENST00000472566.1	128	0.39846	9.40582275391	-1	0.140219	noncoding
ENST00000482197.1	31	0.43321	9.92547607422	1	0.0217942	noncoding
ENST00000634589.1	111	0.45116	9.55963134766	-1	0.131549	noncoding
ENST00000371026.8	849	0.46426	5.53485107422	1	1	coding
ENST00000491297.6	239	0.37442	4.65020751953	1	0.999864	coding
ENST00000464352.6	562	0.44646	5.04559326172	1	1	coding
ENST00000371023.7	546	0.4489	5.42596435547	1	1	coding
ENST00000531980.5	34	0.27866	4.77789306641	-1	0.0614579	noncoding
ENST00000371022.3	321	0.42106	8.92449951172	1	0.999991	coding
ENST00000532629.1	88	0.45781	9.34698486328	-1	0.0958192	noncoding
ENST00000474506.1	16	0.33942	7.97552490234	1	0.00326625	noncoding
ENST00000357692.6	530	0.3895	4.33587646484	1	1	coding
ENST00000371014.5	487	0.4842	4.31536865234	1	1	coding
ENST00000371012.6	117	0.28862	6.86834716797	1	0.233028	noncoding
ENST00000401041.6	566	0.40287	4.37420654297	1	1	coding
ENST00000355356.3	513	0.41	4.33892822266	1	1	coding
ENST00000479067.1	181	0.42133	3.80059814453	-1	0.235414	noncoding
ENST00000493357.1	25	0.44066	5.71112060547	1	0.00897993	noncoding
ENST00000354777.6	544	0.43497	7.55206298828	1	1	coding
ENST00000262348.9	542	0.43902	6.98455810547	1	1	coding
ENST00000370976.7	451	0.41793	6.86199951172	1	1	coding
ENST00000491811.5	239	0.3832	8.72296142578	1	0.997408	coding
ENST00000534713.5	198	0.45474	8.74517822266	-1	0.253287	noncoding
ENST00000471243.2	152	0.46214	5.88348388672	-1	0.126155	noncoding
ENST00000370971.1	128	0.41175	6.95220947266	1	0.768462	coding
ENST00000443751.3	634	0.29852	5.41680908203	1	1	coding
ENST00000645756.1	586	0.46541	5.60113525391	1	1	coding
ENST00000643143.1	633	0.42545	5.41680908203	1	1	coding
ENST00000642959.1	605	0.35744	5.40972900391	1	1	coding
ENST00000370791.8	633	0.29852	5.41680908203	1	1	coding
ENST00000646892.1	602	0.36129	5.40472412109	1	1	coding
ENST00000645526.1	601	0.35744	5.40472412109	1	1	coding
ENST00000609116.5	533	0.30721	8.86041259766	1	0.999999	coding
ENST00000675080.1	365	0.42271	6.96759033203	1	1	coding
ENST00000674951.1	532	0.48616	8.72027587891	1	1	coding
ENST00000370197.5	538	0.47872	8.86041259766	1	1	coding
ENST00000370198.5	537	0.47872	8.72027587891	1	1	coding
ENST00000476419.5	357	0.49529	6.12225341797	1	1	coding
ENST00000675365.1	326	0.46921	6.90399169922	1	1	coding
ENST00000476783.5	152	0.45045	9.47491455078	1	0.952838	coding
ENST00000492905.5	151	0.45045	9.25982666016	1	0.950472	coding
ENST00000462433.1	81	0.39725	9.99395751953	-1	0.125444	noncoding
ENST00000670421.2	445	0.32823	9.76812744141	1	0.999979	coding
ENST00000653267.1	445	0.40167	9.76812744141	1	1	coding
ENST00000666916.1	93	0.29257	10.8395385742	1	0.0750091	noncoding
ENST00000421185.1	29	0.37357	8.49676513672	1	0.00760947	noncoding
ENST00000441735.2	628	0.47221	6.01898193359	1	1	coding
ENST00000642355.1	685	0.38839	5.96771240234	1	1	coding
ENST00000645164.2	685	0.47268	5.96771240234	1	1	coding
ENST00000264126.9	685	0.3884	5.96771240234	1	1	coding
ENST00000674914.1	702	0.462	6.17767333984	1	1	coding
ENST00000643094.1	93	0.4042	5.39215087891	-1	0.0402287	noncoding
ENST00000674700.1	520	0.46105	6.48272705078	1	1	coding
ENST00000675086.1	626	0.46027	5.43023681641	1	1	coding
ENST00000676184.1	685	0.48236	5.96771240234	1	1	coding
ENST00000675617.1	431	0.47016	5.62762451172	1	1	coding
ENST00000435475.5	75	0.36648	4.82745361328	-1	0.0297178	noncoding
ENST00000645255.1	52	0.45121	8.12530517578	1	0.0492815	noncoding
ENST00000369827.7	182	0.48411	8.38385009766	1	0.995893	coding
ENST00000464206.5	99	0.38161	8.80133056641	1	0.231253	noncoding
ENST00000241337.9	219	0.47589	5.99310302734	1	0.999725	coding
ENST00000476040.6	152	0.39353	5.16680908203	1	0.965752	coding
ENST00000472225.6	86	0.41121	9.16619873047	1	0.200564	noncoding
ENST00000496578.3	134	0.40732	8.69158935547	1	0.754289	coding
ENST00000679724.1	825	0.4272	6.49188232422	1	1	coding
ENST00000533164.6	587	0.45729	6.71124267578	1	1	coding
ENST00000679774.1	433	0.30419	6.04217529297	1	1	coding
ENST00000534200.2	469	0.38258	6.19134521484	1	1	coding
ENST00000369702.5	825	0.47147	6.49188232422	1	1	coding
ENST00000680383.1	432	0.38792	6.41290283203	1	1	coding
ENST00000680518.1	424	0.35564	7.15509033203	1	1	coding
ENST00000680983.1	483	0.46864	6.36663818359	1	1	coding
ENST00000582693.5	305	0.29772	5.39129638672	1	0.999894	coding
ENST00000539368.2	224	0.32838	5.67962646484	1	0.996191	coding
ENST00000334513.6	329	0.45366	6.19720458984	1	1	coding
ENST00000460879.5	22	0.40836	3.43426513672	-1	0.0126242	noncoding
ENST00000498192.5	83	0.4171	4.77020263672	-1	0.0367389	noncoding
ENST00000444015.2	25	0.47165	3.43426513672	-1	0.0308953	noncoding
ENST00000614145.5	88	0.33152	9.96307373047	1	0.0883995	noncoding
ENST00000581066.2	88	0.28607	9.96307373047	1	0.0634505	noncoding
ENST00000368843.8	529	0.32797	5.91339111328	1	1	coding
ENST00000458013.7	542	0.32797	6.05828857422	1	1	coding
ENST00000642349.1	347	0.42454	6.18927001953	1	1	coding
ENST00000326413.7	138	0.35743	7.80035400391	1	0.611854	coding
ENST00000479191.2	93	0.41502	9.56951904297	1	0.286375	noncoding
ENST00000451484.6	49	0.35753	9.77911376953	1	0.0246617	noncoding
ENST00000451222.5	44	0.37935	10.2744750977	1	0.025779	noncoding
ENST00000427205.1	49	0.31869	9.77911376953	1	0.0209279	noncoding
ENST00000368708.9	99	0.38243	4.68048095703	1	0.530221	coding
ENST00000487430.7	99	0.36537	4.68048095703	1	0.461984	noncoding
ENST00000497140.5	65	0.3943	4.35211181641	1	0.156152	noncoding
ENST00000368709.6	99	0.45302	4.68048095703	1	0.708979	coding
ENST00000368707.5	97	0.37105	9.42120361328	1	0.190039	noncoding
ENST00000484157.5	157	0.33039	7.67999267578	1	0.701594	coding
ENST00000490770.5	184	0.38591	9.07855224609	1	0.955967	coding
ENST00000475824.6	190	0.35477	9.23077392578	1	0.918276	coding
ENST00000368401.6	167	0.30594	9.38519287109	1	0.530601	coding
ENST00000490276.5	137	0.33133	9.29913330078	1	0.395135	noncoding
ENST00000303343.12	168	0.38223	8.92828369141	1	0.905508	coding
ENST00000368404.9	222	0.39729	8.80194091797	1	0.996005	coding
