Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ACADVL	gene	ACADVL	Expert Review;Expert Review Green;NHS GMS;Yorkshire and North East GLH	Limb girdle muscular dystrophy	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	VLCAD deficiency, 201475;metabolic myopathy;rhabdomyolsis				7668252;27246109;25929793		False	3	100;0;0	2.38	False		ENSG00000072778	ENSG00000072778	HGNC:92													
ANO5	gene	ANO5	Eligibility statement prior genetic testing;Emory Genetics Laboratory;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;NHS GMS;Radboud University Medical Center, Nijmegen;Yorkshire and North East GLH	Limb girdle muscular dystrophy	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Gnathodiaphyseal dysplasia, 166260;Muscular dystrophy, limb-girdle, type 2L, 611307;Miyoshi muscular dystrophy 3, 613319;Limb-girdle muscular dystrophy;Limb-Girdle Muscular Dystrophy, Recessive;Limb-girdle muscular dystrophy				20096397		False	3	100;0;0	2.38	False		ENSG00000171714	ENSG00000171714	HGNC:27337													
BAG3	gene	BAG3	Expert Review;Expert Review Green;NHS GMS;Yorkshire and North East GLH	Limb girdle muscular dystrophy	Neuromuscular disorders	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Myopathy, myofibrillar, 6, 612954				19085932;20605452		False	3	100;0;0	2.38	True		ENSG00000151929	ENSG00000151929	HGNC:939													
CAPN3	gene	CAPN3	Eligibility statement prior genetic testing;Emory Genetics Laboratory;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen	Limb girdle muscular dystrophy	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Muscular dystrophy, limb-girdle, autosomal recessive 1, OMIM:253600				http://www.ncbi.nlm.nih.gov/books/NBK1408/;32994280		False	3	100;0;0	2.38	False		ENSG00000092529	ENSG00000092529	HGNC:1480													
CAV3	gene	CAV3	Emory Genetics Laboratory;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen	Limb girdle muscular dystrophy	Neuromuscular disorders	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Rippling muscle disease 2, OMIM:606072;Myopathy, distal, Tateyama type, OMIM:614321				http://www.ncbi.nlm.nih.gov/books/NBK1408/		False	3	100;0;0	2.38	False		ENSG00000182533	ENSG00000182533	HGNC:1529													
COL6A1	gene	COL6A1	Emory Genetics Laboratory;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Limb girdle muscular dystrophy	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Bethlem myopathy 1, OMIM:158810;Ullrich congenital muscular dystrophy 1, OMIM:254090						False	3	0;0;0	2.38	False		ENSG00000142156	ENSG00000142156	HGNC:2211													
COL6A2	gene	COL6A2	Emory Genetics Laboratory;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Limb girdle muscular dystrophy	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	"Bethlem myopathy 1	158810"						False	3	100;0;0	2.38	False		ENSG00000142173	ENSG00000142173	HGNC:2212													
COL6A3	gene	COL6A3	Emory Genetics Laboratory;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Limb girdle muscular dystrophy	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Bethlem myopathy, OMIM:158810;Ullrich congenital muscular dystrophy, OMIM:254090						False	3	0;0;0	2.38	False		ENSG00000163359	ENSG00000163359	HGNC:2213													
CPT2	gene	CPT2	Expert Review;Expert Review Green;NHS GMS;Yorkshire and North East GLH	Limb girdle muscular dystrophy	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	CPT II deficiency, infantile, OMIM:600649;CPT II deficiency, lethal neonatal, OMIM:608836				1528846;8651281		False	3	100;0;0	2.38	True		ENSG00000157184	ENSG00000157184	HGNC:2330													
CRYAB	gene	CRYAB	Expert Review;Expert Review Green;NHS GMS;Yorkshire and North East GLH	Limb girdle muscular dystrophy	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Myopathy, myofibrillar, 2, OMIM:608810;Myopathy, myofibrillar, fatal infantile hypertonic, alpha-B crystallin-related, OMIM:613869				11577372		False	3	100;0;0	2.38	False		ENSG00000109846	ENSG00000109846	HGNC:2389													
DAG1	gene	DAG1	Emory Genetics Laboratory;Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen;South West GLH;Yorkshire and North East GLH	Limb girdle muscular dystrophy	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 9, 613818;Limb girdle muscular dystrophy;congenital muscular dystrophy;Limb-girdle muscular dystrophy				25503980;25503980;29036200;21388311;14678799;30055862		False	3	50;50;0	2.38	True		ENSG00000173402	ENSG00000173402	HGNC:2666													
DES	gene	DES	Emory Genetics Laboratory;Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen;South West GLH;Yorkshire and North East GLH	Limb girdle muscular dystrophy	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Muscular dystrophy, limb-girdle, type 2R, 615325;myofibrillar myopathy;cardiomyopathy;limb girdle muscular dystrophy				23687351;11073539;19433360;10545598		False	3	60;20;20	2.38	False	Other	ENSG00000175084	ENSG00000175084	HGNC:2770													
DMD	gene	DMD	Eligibility statement prior genetic testing;Expert Review Green	Limb girdle muscular dystrophy	Neuromuscular disorders	Neurology and neurodevelopmental disorders	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	"Duchenne muscular dystrophy 310200;Becker muscular dystrophy	300376"						False	3	100;0;0	2.38	False		ENSG00000198947	ENSG00000198947	HGNC:2928													
DNAJB6	gene	DNAJB6	Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen	Limb girdle muscular dystrophy	Neuromuscular disorders	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Limb-Girdle Muscular Dystrophy, Dominant;Muscular dystrophy, limb-girdle, type 1E, 603511				PubMed: 22366786		False	3	100;0;0	2.38	False		ENSG00000105993	ENSG00000105993	HGNC:14888													
