Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ADCY5	gene	ADCY5	Expert Review;Expert Review Green	Brain channelopathy	Channelopathies	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Familial dyskinesia 606703				24700542; 11310626		False	3	100;0;0	1.78	True		ENSG00000173175	ENSG00000173175	HGNC:236													
ATP1A2	gene	ATP1A2	Expert Review Green;UKGTN	Brain channelopathy	Channelopathies	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	"familial hemiplegic migraine type 2, 602481;familial basilar migraine 	602481;alternating hemiplegia of childhood 104290"				12539047;12953268;18056581		False	3	100;0;0	1.78	True		ENSG00000018625	ENSG00000018625	HGNC:800													
ATP1A3	gene	ATP1A3	Expert Review Green;UKGTN	Brain channelopathy	Channelopathies	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	DYSTONIA 12, 128235;ALTERNATING HEMIPLEGIA OF CHILDHOOD 2, 614820				22842232;22850527		False	3	100;0;0	1.78	True		ENSG00000105409	ENSG00000105409	HGNC:801													
ATP7B	gene	ATP7B	Expert Review;Expert Review Green	Brain channelopathy	Channelopathies	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Wilson disease 277900				20301685		False	3	100;0;0	1.78	True		ENSG00000123191	ENSG00000123191	HGNC:870													
CACNA1A	gene	CACNA1A	Eligibility statement prior genetic testing;Expert Review Green;UKGTN	Brain channelopathy	Channelopathies	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Episodic ataxia, type 2, OMIM:108500;Migraine, familial hemiplegic, 1, OMIM:141500;Migraine, familial hemiplegic, 1, with progressive cerebellar ataxia, OMIM:141500				17575281;21734179		False	3	50;0;50	1.78	True		ENSG00000141837	ENSG00000141837	HGNC:1388													
CACNB4	gene	CACNB4	Expert Review Green;UKGTN	Brain channelopathy	Channelopathies	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	EPISODIC ATAXIA, TYPE 5; EPILEPSY, IDIOPATHIC GENERALIZED, SUSCEPTIBILITY TO, 9				10762541		False	3	100;0;0	1.78	True		ENSG00000182389	ENSG00000182389	HGNC:1404													
GLRA1	gene	GLRA1	Expert Review;Expert Review Green	Brain channelopathy	Channelopathies	Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Hyperekplexia, hereditary 1, 149400				20301437		False	3	100;0;0	1.78	True		ENSG00000145888	ENSG00000145888	HGNC:4326													
GLRB	gene	GLRB	Expert Review;Expert Review Green	Brain channelopathy	Channelopathies	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Hyperekplexia 2, 614619				 21391991; 11929858; 23238346		False	3	100;0;0	1.78	True		ENSG00000109738	ENSG00000109738	HGNC:4329													
KCNA1	gene	KCNA1	Eligibility statement prior genetic testing;Expert Review Green;UKGTN	Brain channelopathy	Channelopathies	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	EPISODIC ATAXIA, TYPE 1;myokymia with periodic ataxia				17575281		False	3	100;0;0	1.78	True		ENSG00000111262	ENSG00000111262	HGNC:6218													
KCNJ2	gene	KCNJ2	Expert list;Expert Review Green	Brain channelopathy	Channelopathies	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Andersen syndrome, OMIM:170390;Andersen-Tawil syndrome, MONDO:0008222;Episodic weakness;Periodic paralysis				16217063;16571646;16419128;17324964		False	3	100;0;0	1.78	False		ENSG00000123700	ENSG00000123700	HGNC:6263													
