"","gene_name","paste_into_igv_junction","Control_Control","Cycloheximide_Control","Control_TDP43KD","Cycloheximide_TDP43KD","code","Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensgene","symbol","gene_color","category"
"1","MAD1L1","chr7:1898390-1957629",0.0061,0.0434,0.00495,0.1089,"MAD1L1_chr7:1898390-1957629","ENSG00000002822.16",1806.57548511546,0.83450861747399,0.0781469071034862,10.6787158750748,1.28030365546732e-26,8.46598220598383e-26,"ENSG00000002822","MAD1L1","up","dark"
"2","KLHL13","chrX:117971689-117972731",0.0478,0.0422,0.148,0.1364,"KLHL13_chrX:117971689-117972731","ENSG00000003096.14",10306.7498896622,0.532327585726999,0.0559111516759374,9.52095547615233,1.71594004683036e-21,9.63134250881756e-21,"ENSG00000003096","KLHL13","up","else"
"3","STPG1","chr1:24361041-24373702",0.0182,0.0268,0.00485,0.11655,"STPG1_chr1:24361041-24373702","ENSG00000001460.18",428.20973284998,-0.271977116197225,0.121084098444658,-2.24618360041334,0.0246922502314317,0.0467650801920902,"ENSG00000001460","STPG1","down","dark"
"4","NDUFAB1","chr16:23587319-23595429",0.0028,0.0086,0.0034,0.30645,"NDUFAB1_chr16:23587319-23595429","ENSG00000004779.10",2384.65232973762,-0.02198647962085,0.0433969340606933,-0.506636703645942,0.612409750132656,0.714376191231731,"ENSG00000004779","NDUFAB1","not_sign","dark"
"5","MCUB","chr4:109684549-109685251",0.0376,0.016,0.1133,0.214,"MCUB_chr4:109684549-109685251","ENSG00000005059.16",310.483576628767,-1.46324381949017,0.185415080206905,-7.891719583204,2.98050841614425e-15,1.34734041199227e-14,"ENSG00000005059","MCUB","down","else"
"6","COPZ2","chr17:48032741-48033863",0.0278,0.03465,0.03465,0.14535,"COPZ2_chr17:48032741-48033863","ENSG00000005243.10",105.520554421259,0.115599569562825,0.193199855897046,0.598341903652487,0.549611821847009,0.659945800380513,"ENSG00000005243","COPZ2","not_sign","dark"
"7","MTMR7","chr8:17302423-17307737",0.0121,0.0064,0.0049,0.175,"MTMR7_chr8:17302423-17307737","ENSG00000003987.14",732.073954775339,0.205097828803158,0.127924849881622,1.60326808272943,0.108875479936789,0.176893102264872,"ENSG00000003987","MTMR7","not_sign","dark"
"8","ARHGAP33","chr19:35785483-35786896",0.0086,0.04875,0.02055,0.122,"ARHGAP33_chr19:35785483-35786896","ENSG00000004777.19",1183.33368817842,-0.175455480865122,0.128446321126497,-1.36598292054101,0.171944324220083,0.260267122935144,"ENSG00000004777","ARHGAP33","not_sign","dark"
"9","FAM214B","chr9:35108737-35111567",0.0031,0.0249,0.0173,0.1392,"FAM214B_chr9:35108737-35111567","ENSG00000005238.20",1123.4027730595,-0.487427300663636,0.0680737459739061,-7.16028321477235,8.0510554130223e-13,3.30049160224031e-12,"ENSG00000005238","FAM214B","down","dark"
"10","GCFC2","chr2:75664783-75670138",0.0383,0.0216,0.1015,0.0214,"GCFC2_chr2:75664783-75670138","ENSG00000005436.14",1292.05480308505,0.804791546955027,0.0822037377490187,9.79020624843344,1.2404260157787e-22,7.24736364306482e-22,"ENSG00000005436","GCFC2","up","anti-dark"
