Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ALS2	gene	ALS2	Expert;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen	Amyotrophic lateral sclerosis/motor neuron disease	Neurodegenerative disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Amyotrophic lateral sclerosis 2, juvenile, OMIM:205100;Primary lateral sclerosis, juvenile, OMIM:606353				25474699;24503148;23881933		False	3	0;0;0	1.58	False		ENSG00000003393	ENSG00000003393	HGNC:443													
ANG	gene	ANG	Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen	Amyotrophic lateral sclerosis/motor neuron disease	Neurodegenerative disorders	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Amyotrophic Lateral Sclerosis, Dominant;Amyotrophic lateral sclerosis 9, 611895;familial amyotrophic lateral sclerosis (ALS9)				PMID: 26753798 - meta-analysis reporting that the rs11701 SNP is not associated with ALS;PMID: 26255299 - meta-analysis concluding that the K17I variant increases the risk for ALS and familial ALS but not sporadic ALS in Caucasian patients;PMID: 25907842 - 31 Chinese Han families with familial amyotrophic lateral sclerosis were screened but no ANG gene variants were found, suggesting it is a rare cause of ALS in this population;PMID: 25372031 functional investigation of ANG variants.		False	3	0;0;0	1.58	False		ENSG00000214274	ENSG00000214274	HGNC:483													
DCTN1	gene	DCTN1	Expert Review Green;Radboud University Medical Center, Nijmegen	Amyotrophic lateral sclerosis/motor neuron disease	Neurodegenerative disorders	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Neuropathy, distal hereditary motor, type VIIB, 607641;{Amyotrophic lateral sclerosis, susceptibility to}, 105400;Perry syndrome, 168605				25109764;26954557		False	3	0;0;0	1.58	False		ENSG00000204843	ENSG00000204843	HGNC:2711													
FIG4	gene	FIG4	Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen	Amyotrophic lateral sclerosis/motor neuron disease	Neurodegenerative disorders	Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Amyotrophic lateral sclerosis 11 OMIM:612577;amyotrophic lateral sclerosis type 11 MONDO:0012945;Charcot-Marie-Tooth disease, type 4J, OMIM:611228;Charcot-Marie-Tooth disease type 4J MONDO:0012640;Yunis Varon syndrome OMIM:216340;Yunis-Varon syndrome MONDO:0008995				PMID: 19118816		False	3	0;0;0	1.58	False		ENSG00000112367	ENSG00000112367	HGNC:16873													
FUS	gene	FUS	Expert;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Amyotrophic lateral sclerosis/motor neuron disease	Neurodegenerative disorders	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Amyotrophic lateral sclerosis 6, autosomal recessive, with or without frontotemporal;Amyotrophic Lateral Sclerosis, Dominant						False	3	100;0;0	1.58	False		ENSG00000089280	ENSG00000089280	HGNC:4010													
HNRNPA1	gene	HNRNPA1	Expert Review Green;Radboud University Medical Center, Nijmegen	Amyotrophic lateral sclerosis/motor neuron disease	Neurodegenerative disorders	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	?Inclusion body myopathy wtih early-onset Paget disease without frontotemporal						False	3	100;0;0	1.58	False		ENSG00000135486	ENSG00000135486	HGNC:5031													
OPTN	gene	OPTN	Expert;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen	Amyotrophic lateral sclerosis/motor neuron disease	Neurodegenerative disorders	Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Amyotrophic Lateral Sclerosis, Recessive;Glaucoma 1, open angle, E, 137760				"PMID: 26566915 - ""Here, we report a Chinese family spanning three generations with ALS8 caused by the same VAPB-P56S mutation detected in these cohorts, but which in its initial manifestation displays different features. We also detected a R545Q variant of optineurin (OPTN) in this family and which was previously considered a pathogenic mutation. However, our analysis showed that OPTN-R545Q is benign and that VAPB-P56S accounts for the phenotype."";PMID: 26503823;PMID: 26303227 ""We conclude that: (i) OPTN mutations are associated with ALS;(ii) optineurin protein is present in a subset of the extramotor inclusions of C9ORF72-ALS;(iii) It is not uncommon for multiple ALS-causing mutations to occur in the same patient;and (iv) studies of optineurin are likely to provide useful dataregarding the pathophysiology of ALS and neurodegeneration."";PMID: 26203661;PMID: 25943890;PMID: 25859013 - functional evidence;PMID: 25681989"		False	3	0;0;0	1.58	False		ENSG00000123240	ENSG00000123240	HGNC:17142													
PFN1	gene	PFN1	Expert Review Green;Radboud University Medical Center, Nijmegen	Amyotrophic lateral sclerosis/motor neuron disease	Neurodegenerative disorders	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Amyotrophic lateral sclerosis 18, 614808						False	3	50;50;0	1.58	False		ENSG00000108518	ENSG00000108518	HGNC:8881													
SETX	gene	SETX	Emory Genetics Laboratory;Expert;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen	Amyotrophic lateral sclerosis/motor neuron disease	Neurodegenerative disorders	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Amyotrophic lateral sclerosis 4, juvenile, OMIM:602433;Spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 2, OMIM:606002				22577233;23129421;23881933;17258771		False	3	100;0;0	1.58	False		ENSG00000107290	ENSG00000107290	HGNC:445													
SIGMAR1	gene	SIGMAR1	Expert Review Green;Radboud University Medical Center, Nijmegen	Amyotrophic lateral sclerosis/motor neuron disease	Neurodegenerative disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Amyotrophic lateral sclerosis 16, juvenile, 614373				PMID: 26205306 one family report for association with Amyotrophic lateral sclerosis and c.672*31A>G (rs4879809) - the C9ORF72 repeat region in intron 1, previously implicated in a related phenotype, was excluded through linkage, and further confirmation of exclusion was obtained by amplifying intron 1 of C9ORF72 with multiple primers in affected individuals and controls;PubMed: 21842496 - E102Q variant identified in a Saudi Arabian family to be associated with amyotrophic lateral sclerosis 16, juvenile;PMID: 26088964 is a commentary on PMID: 25678561 raising a lack of evidence for SIGMARI to be pathogenic, and that previous reports of patients with SIGMARI variants were also shown to harbour C9orf72 expansions;PMID: 26088963 - in reply, authors state that there is in vitro and in vivo evidence, and expression evidence, and that a case reported did not have the C9orf72 expansion;PMID: 26078401 - c.151+1G>T variant in SIGMARI resulted in a 60 bp deletion in the transcript, and segrated with the distal hereditary motor neuropathy in a Chinese family.		False	3	0;0;0	1.58	False		ENSG00000147955	ENSG00000147955	HGNC:8157													
