Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
APP	gene	APP	Eligibility statement prior genetic testing;Expert Review Green;UKGTN	Early onset dementia	Neurodegenerative disorders	Neurology and neurodevelopmental disorders	"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"	Dementia ;Clinical syndrome Alzheimer disease				22503161;23028126		FALSE	3	100;0;0	1.76	TRUE		ENSG00000142192	ENSG00000142192	HGNC:620													
CHMP2B	gene	CHMP2B	"Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN"	Early onset dementia	Neurodegenerative disorders	Neurology and neurodevelopmental disorders	"MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown"	"Frontotemporal Dementia;Dementia, familial, nonspecific, 600795Amyotrophic lateral sclerosis 17, 614696"						FALSE	3	100;0;0	1.76	TRUE		ENSG00000083937	ENSG00000083937	HGNC:24537													
CSF1R	gene	CSF1R	Expert Review Green;UKGTN	Early onset dementia	Neurodegenerative disorders	Neurology and neurodevelopmental disorders	"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"	"Leukoencephalopathy, diffuse hereditary, with spheroids, OMIM:221820;Dementia"						FALSE	3	100;0;0	1.76	TRUE		ENSG00000182578	ENSG00000182578	HGNC:2433													
DNAJC5	gene	DNAJC5	"Emory Genetics Laboratory;Expert Review;Illumina TruGenome Clinical Sequencing Services;Literature;Radboud University Medical Center, Nijmegen;UKGTN"	Early onset dementia	Neurodegenerative disorders	Neurology and neurodevelopmental disorders	"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"	"Ceroid lipofuscinosis, neuronal, 4, Parry type	162350"				27604308; 21820099		FALSE	3	100;0;0	1.76	FALSE		ENSG00000101152	ENSG00000101152	HGNC:16235													
DNMT1	gene	DNMT1	Expert Review Green;Illumina TruGenome Clinical Sequencing Services	Early onset dementia	Neurodegenerative disorders	Neurology and neurodevelopmental disorders	"MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown"	"Dementia, Deafness, and Sensory Neuropathy"				23365052		FALSE	3	100;0;0	1.76	TRUE		ENSG00000130816	ENSG00000130816	HGNC:2976													
EPM2A	gene	EPM2A	"Emory Genetics Laboratory;Expert Review;Radboud University Medical Center, Nijmegen;UKGTN"	Early onset dementia	Neurodegenerative disorders	Neurology and neurodevelopmental disorders	"BIALLELIC, autosomal or pseudoautosomal"	"Epilepsy, progressive myoclonic 2A (Lafora)	254780"				27604308; 10932264; 14722920		FALSE	3	100;0;0	1.76	FALSE		ENSG00000112425	ENSG00000112425	HGNC:3413													
GRN	gene	GRN	Eligibility statement prior genetic testing;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;UKGTN	Early onset dementia	Neurodegenerative disorders	Neurology and neurodevelopmental disorders	"MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown"	Frontotemporal Dementia;Clinical syndrome FTLD (Frontotemporal lobar degeneration)						FALSE	3	100;0;0	1.76	TRUE		ENSG00000030582	ENSG00000030582	HGNC:4601													
ITM2B	gene	ITM2B	"Expert Review Green;Radboud University Medical Center, Nijmegen;UKGTN"	Early onset dementia	Neurodegenerative disorders	Neurology and neurodevelopmental disorders	"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"	"Dementia, familial British, 176500"						FALSE	3	100;0;0	1.76	TRUE		ENSG00000136156	ENSG00000136156	HGNC:6174													
MAPT	gene	MAPT	"Eligibility statement prior genetic testing;Expert Review Green;Radboud University Medical Center, Nijmegen;UKGTN"	Early onset dementia	Neurodegenerative disorders	Neurology and neurodevelopmental disorders	"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"	"Dementia, frontotemporal, with or without parkinsonism, 600274;Clinical syndrome FTLD (Frontotemporal lobar degeneration)"						FALSE	3	100;0;0	1.76	TRUE		ENSG00000186868	ENSG00000186868	HGNC:6893													
NHLRC1	gene	NHLRC1	"Emory Genetics Laboratory;Expert Review;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN"	Early onset dementia	Neurodegenerative disorders	Neurology and neurodevelopmental disorders	"BIALLELIC, autosomal or pseudoautosomal"	"Epilepsy, progressive myoclonic 2B (Lafora)	254780"				12958597; 15781812		FALSE	3	100;0;0	1.76	FALSE		ENSG00000187566	ENSG00000187566	HGNC:21576													
NOTCH3	gene	NOTCH3	Expert Review Green;UKGTN	Early onset dementia	Neurodegenerative disorders	Neurology and neurodevelopmental disorders	"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"	Dementia 						FALSE	3	100;0;0	1.76	TRUE		ENSG00000074181	ENSG00000074181	HGNC:7883													
PRNP	gene	PRNP	Eligibility statement prior genetic testing;Expert Review Green;UKGTN	Early onset dementia	Neurodegenerative disorders	Neurology and neurodevelopmental disorders	"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"	Dementia ;Clinical syndrome Prion disease				26791950;20583301		FALSE	3	100;0;0	1.76	TRUE		ENSG00000171867	ENSG00000171867	HGNC:9449													
PSEN1	gene	PSEN1	"Eligibility statement prior genetic testing;Expert Review Green;Radboud University Medical Center, Nijmegen;UKGTN"	Early onset dementia	Neurodegenerative disorders	Neurology and neurodevelopmental disorders	"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"	"Acne inversa, familial, 3, 613737;Alzheimer disease, type 3, 607822;Alzheimer disease, type 3, with spastic paraparesis and apraxia, 607822;Alzheimer disease, type 3, with spastic paraparesis and unusual plaques, 607822;Cardiomyopathy, dilated, 1U, 613694;Dementia, frontotemporal, 600274;Pick disease, 172700;Clinical syndrome Alzheimer disease"				22503161;23028126		FALSE	3	100;0;0	1.76	TRUE		ENSG00000080815	ENSG00000080815	HGNC:9508													
PSEN2	gene	PSEN2	Expert Review Green;UKGTN	Early onset dementia	Neurodegenerative disorders	Neurology and neurodevelopmental disorders	"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"	Dementia 				22503161;23028126		FALSE	3	100;0;0	1.76	TRUE		ENSG00000143801	ENSG00000143801	HGNC:9509													
