Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ACTB	gene	ACTB	Emory Genetics Laboratory;Expert Review;Expert Review Green;Radboud University Medical Center, Nijmegen;UKGTN	Malformations of cortical development	Neurodevelopmental disorders	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Baraitser Winter syndrome (lissencephaly, pachygyria, polymicrogyria, ptosis, coloboma)						False	3	100;0;0	2.144	True		ENSG00000075624	ENSG00000075624	HGNC:132													
ACTG1	gene	ACTG1	Emory Genetics Laboratory;Expert Review;Expert Review Green;Radboud University Medical Center, Nijmegen;UKGTN	Malformations of cortical development	Neurodevelopmental disorders	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Baraitser Winter Syndrome						False	3	100;0;0	2.144	True		ENSG00000184009	ENSG00000184009	HGNC:144													
ADGRG1	gene	ADGRG1	Expert Review Green;Illumina TruGenome Clinical Sequencing Services;UKGTN	Malformations of cortical development	Neurodevelopmental disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	"Polymicrogyria, bilateral frontoparietal	606854;Polymicrogyria, bilateral perisylvian	615752"						False	3	100;0;0	2.144	True		ENSG00000205336	ENSG00000205336	HGNC:4512													
AKT3	gene	AKT3	Expert Review;Expert Review Green;Radboud University Medical Center, Nijmegen;UKGTN	Malformations of cortical development	Neurodevelopmental disorders	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Polymicrogyria, macrocephaly						False	3	100;0;0	2.144	True		ENSG00000117020	ENSG00000117020	HGNC:393													
APC2	gene	APC2	Expert list;Expert Review Green	Malformations of cortical development	Neurodevelopmental disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Cortical dysplasia, complex, with other brain malformations 10 OMIM:618677				31585108;25753423;19759310;22573669		False	3	100;0;0	2.144	False		ENSG00000115266	ENSG00000115266	HGNC:24036													
ARFGEF2	gene	ARFGEF2	Emory Genetics Laboratory;Expert Review;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Malformations of cortical development	Neurodevelopmental disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Periventricular nodular heterotopia						False	3	100;0;0	2.144	True		ENSG00000124198	ENSG00000124198	HGNC:15853													
ARX	gene	ARX	Expert Review Green;Radboud University Medical Center, Nijmegen;UKGTN	Malformations of cortical development	Neurodevelopmental disorders	Neurology and neurodevelopmental disorders	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Lissencephaly, X-Linked, 2 300215;Epileptic encephalopathy, early infantile, 1 308350;Hydranencephaly with abnormal genitalia 300215;Mental retardation, X-linked 29 and others 300419;Partington syndrome 309510;Proud syndrome 300004						False	3	100;0;0	2.144	True		ENSG00000004848	ENSG00000004848	HGNC:18060													
ASPM	gene	ASPM	Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Malformations of cortical development	Neurodevelopmental disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Microcephaly 5, primary, autosomal recessive  608716  				12355089		False	3	100;0;0	2.144	True		ENSG00000066279	ENSG00000066279	HGNC:19048													
ATP1A2	gene	ATP1A2	Expert list;Expert Review Green	Malformations of cortical development	Neurodevelopmental disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	hydrops fetalis;microcephaly;arthrogryposis;extensive cortical malformations				30690204;31608932		False	3	100;0;0	2.144	False		ENSG00000018625	ENSG00000018625	HGNC:800													
B3GALNT2	gene	B3GALNT2	Emory Genetics Laboratory;Expert Review Green;Radboud University Medical Center, Nijmegen	Malformations of cortical development	Neurodevelopmental disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies, type A, 11  615181  				23453667		False	3	100;0;0	2.144	True		ENSG00000162885	ENSG00000162885	HGNC:28596													
CASK	gene	CASK	Expert Review Green;NHS GMS	Malformations of cortical development	Neurodevelopmental disorders	Neurology and neurodevelopmental disorders	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Mental retardation and microcephaly with pontine and cerebellar hypoplasia OMIM:300749				21954287;20595373;32700313;33090494;33272775		False	3	100;0;0	2.144	False		ENSG00000147044	ENSG00000147044	HGNC:1497													
