Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ACAD9	gene	ACAD9	Emory Genetics Laboratory;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Literature;Radboud University Medical Center, Nijmegen;UKGTN	Rhabdomyolysis and metabolic muscle disorders	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial complex I deficiency due to ACAD9 deficiency 611126				25929793		False	3	0;0;0	1.78	False		ENSG00000177646	ENSG00000177646	HGNC:21497													
ACADM	gene	ACADM	Emory Genetics Laboratory;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Rhabdomyolysis and metabolic muscle disorders	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	"Rhabdomyolysis; Acyl-CoA dehydrogenase, medium chain, deficiency of	201450"						False	3	0;0;0	1.78	False		ENSG00000117054	ENSG00000117054	HGNC:89													
ACADVL	gene	ACADVL	Emory Genetics Laboratory;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Rhabdomyolysis and metabolic muscle disorders	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	VLCAD deficiency, OMIM:201475				25929793;8739957;9973285		False	3	100;0;0	1.78	False		ENSG00000072778	ENSG00000072778	HGNC:92													
AGL	gene	AGL	Emory Genetics Laboratory;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Rhabdomyolysis and metabolic muscle disorders	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	"Glycogen storage disease IIIa	232400; Glycogen storage disease IIIb	232400"				25929793;20648714		False	3	100;0;0	1.78	False		ENSG00000162688	ENSG00000162688	HGNC:321													
ALDOA	gene	ALDOA	Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Rhabdomyolysis and metabolic muscle disorders	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Glycogen storage disease XII, OMIM:611881				25929793;25392908;14615364;2825199;8598869		False	3	100;0;0	1.78	False		ENSG00000149925	ENSG00000149925	HGNC:414													
ANO5	gene	ANO5	Emory Genetics Laboratory;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen	Rhabdomyolysis and metabolic muscle disorders	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	"Miyoshi muscular dystrophy 3	613319;Muscular dystrophy, limb-girdle, type 2L	611307"				25929793		False	3	0;0;0	1.78	False		ENSG00000171714	ENSG00000171714	HGNC:27337													
CACNA1S	gene	CACNA1S	Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Rhabdomyolysis and metabolic muscle disorders	Neuromuscular disorders	Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	{Malignant hyperthermia susceptibility 5}, OMIM:601887				25735680;28011884;19825159		False	3	100;0;0	1.78	False		ENSG00000081248	ENSG00000081248	HGNC:1397													
CAV3	gene	CAV3	Emory Genetics Laboratory;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Rhabdomyolysis and metabolic muscle disorders	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Myopathy, distal, Tateyama type, OMIM:614321;Rippling muscle disease, OMIM:606072				15668980;12666119;9536092;11251997;16730439		False	3	100;0;0	1.78	False		ENSG00000182533	ENSG00000182533	HGNC:1529													
CPT2	gene	CPT2	Emory Genetics Laboratory;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Rhabdomyolysis and metabolic muscle disorders	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	CPT II deficiency, myopathic, stress-induced, OMIM:255110;Exercise intolerance and rhabdomyolysis, late onset				23911907;10873395;11994355;15622536;21913903;23184072;24843804		False	3	100;0;0	1.78	False		ENSG00000157184	ENSG00000157184	HGNC:2330													
DMD	gene	DMD	Emory Genetics Laboratory;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Rhabdomyolysis and metabolic muscle disorders	Neuromuscular disorders	Neurology and neurodevelopmental disorders	X-LINKED: hemizygous mutation in males, biallelic mutations in females	"Becker muscular dystrophy	300376"						False	3	0;0;0	1.78	False		ENSG00000198947	ENSG00000198947	HGNC:2928													
DYSF	gene	DYSF	Emory Genetics Laboratory;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen	Rhabdomyolysis and metabolic muscle disorders	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Miyoshi muscular dystrophy 1, OMIM:254130;Muscular dystrophy, limb-girdle, autosomal recessive 2, OMIM:253601;Myopathy, distal, with anterior tibial onset, OMIM:606768				25929793		False	3	0;0;0	1.78	False		ENSG00000135636	ENSG00000135636	HGNC:3097													
ENO3	gene	ENO3	Emory Genetics Laboratory;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Rhabdomyolysis and metabolic muscle disorders	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Glycogen storage disease XIII, OMIM:612932				11506403;25929793;25267339		False	3	100;0;0	1.78	False		ENSG00000108515	ENSG00000108515	HGNC:3354													
ETFA	gene	ETFA	Emory Genetics Laboratory;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Literature;Radboud University Medical Center, Nijmegen;UKGTN	Rhabdomyolysis and metabolic muscle disorders	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Glutaric acidemia IIA 231680				25929793		False	3	0;0;0	1.78	False		ENSG00000140374	ENSG00000140374	HGNC:3481													
ETFB	gene	ETFB	Emory Genetics Laboratory;Expert Review Green;Literature;Radboud University Medical Center, Nijmegen;UKGTN	Rhabdomyolysis and metabolic muscle disorders	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	"Glutaric acidemia IIB	231680"				25929793		False	3	0;0;0	1.78	False		ENSG00000105379	ENSG00000105379	HGNC:3482													
ETFDH	gene	ETFDH	Emory Genetics Laboratory;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Rhabdomyolysis and metabolic muscle disorders	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	"Glutaric acidemia IIC	231680"				25929793		False	3	0;0;0	1.78	False		ENSG00000171503	ENSG00000171503	HGNC:3483													
